band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
1,7223,38420,63762,111765,164385,97433,0,2051,20884,69120,129826,157381,103727,70,9682,52308,93885,120478,129012,77554,1879,9121,22782,42564,102056,218653,85934,2412,23956,71516,151406,122365,80827,30507,476,15280,78322,140887,161059,68708,18257,476,14778,87914,132265,160013,69617,17926,960,28299,77589,104195,113233,99390,59323,800,1016,6759,28138,83310,262155,100811,20437,83274,85412,106713,110388,69018,7747,74,3553,39558,110855,185991,119299,23659,13385,94759,152936,112406,66121,38922,4460,80
0,0,3,571,24286,97221,137534,0,7,1888,24457,102519,117776,12968,0,14334,75799,97975,53601,13193,4713,6136,9659,21056,36967,66083,92778,26936,16403,85079,85742,50011,16246,4154,1980,27994,195344,31754,3920,507,96,0,28833,193294,33730,3158,499,101,0,17454,89105,79514,45376,19094,5931,3141,1671,2823,10416,32291,100939,106895,4580,8653,7323,19957,46831,87315,79842,9694,7,158,989,3670,19287,91262,144242,63434,99846,57736,24661,8776,2922,2240,178
0,1,2,2,0,2,7,2,0,7,3,8,7,22,0,1,3,13,22,13,25,60,8,8,3,2,1,2,35,23,11,9,14,6,0,0,17,17,2,0,0,0,0,19,21,2,0,0,0,0,0,4,50,36,33,38,60,19,12,9,10,13,45,93,1,0,0,0,0,10,70,0,0,0,1,1,61,0,0,0,13,82,5,25,339
1397,36489,129135,267406,259516,334826,145733,6891,35988,78842,169755,223831,359187,300008,8464,34000,78196,131473,202378,366905,353086,15469,13507,20452,35388,73249,284719,731718,10614,10382,15672,41483,168667,445213,482471,124,5693,12114,30338,115422,447819,562992,118,5529,13582,29204,112691,461917,551461,8505,12039,24933,69156,160843,396666,502360,14841,13876,21444,32951,73572,376099,641719,50316,206834,217526,227655,249976,194165,28030,314963,529985,231371,55293,20631,11302,10957,7432,49403,161901,258480,283463,275344,138479,469
17,3022,10598,20648,41145,91648,75940,2966,33712,37487,33232,64178,61263,10180,8793,54735,38243,64824,61588,13075,1760,54935,72578,57677,29807,14762,10874,2385,36413,57186,57142,43185,29617,17904,1571,181694,56411,3884,920,101,8,0,184719,53448,3980,772,91,8,0,39135,63442,48983,41802,34418,13268,1970,44316,70653,50020,49305,23185,4233,1306,21941,42275,57678,35810,28542,40218,16554,659,6904,17458,29022,49257,71012,68706,24440,52102,45651,43010,38517,25614,13684,352
13272,26439,14027,19004,17435,7145,1688,14296,24161,12898,16281,18294,11702,1378,10234,26038,13824,15235,18999,13265,1415,12414,17921,20593,22546,17847,6680,1009,9060,21153,23317,21788,16752,6685,255,2492,15355,26954,34318,17539,2341,11,2467,13882,29551,31256,19854,1990,10,5926,23479,18519,17400,19960,12190,1536,14714,17879,16108,18780,20627,10106,796,2257,8909,16421,18976,21031,23300,8116,493,6370,15840,24486,28445,18990,4386,2304,21779,29629,25719,15572,3859,148,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,11,7,1,4,2,2,7,28,13,5,15,7,6,8,185,2,1,3,4,1,0,287,26,2,2,9,8,0,0,79,45,2,0,0,0,2,106,58,2,0,0,0,178,170,162,164,68,20,42,764,37,36,15,1,7,58,79,0,0,0,0,0,162,431,0,0,0,0,0,35,0,2,9,34,82,14,211,598
10787,37316,35069,18097,9082,4139,2390,15589,28083,31400,21471,10903,6534,2900,16986,43151,26473,14210,8435,5457,2168,9599,11161,12005,19128,24506,27779,12702,10893,25284,32446,26042,15823,6049,343,6855,43225,29616,23260,11187,2477,260,6887,42182,32666,21319,11096,2489,241,10053,30148,31329,21789,13832,8104,1625,16013,16472,16799,21098,27047,17326,2125,2694,3391,5443,10008,20801,45964,28579,931,7990,18865,28320,32753,22395,5626,16221,38633,29336,17920,9954,4255,561,22
315646,213073,60245,22989,9849,4926,2779,212705,183069,94496,78886,39629,17696,3330,166639,134800,92959,79544,87832,60091,8271,58111,63625,76945,136505,134285,120470,40516,119020,74897,52322,62612,78570,128151,115806,14130,126477,95148,152329,174607,68238,876,14076,126199,107198,148578,157648,77341,593,131296,82339,71664,72767,91285,129529,52157,138010,132741,99883,88287,79090,83415,16076,15786,17263,74015,109314,111355,131242,169796,318557,80814,56579,48647,42870,35799,38511,131320,69661,57423,60053,68727,79527,156212,574
