band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
18,19021,50327,102194,186568,124861,10,4978,45550,125128,177143,130180,327,19970,84771,130443,146461,101017,2751,15126,33647,80643,226345,124477,4297,38281,125852,169735,102904,41920,992,32141,132721,186466,106225,24444,932,33786,127400,189007,107101,24763,1893,49352,105015,131556,119053,76120,923,2071,16583,63552,239783,160077,34602,95794,109843,131363,97044,14343,168,9774,78350,188257,170867,35573,21687,137010,166054,95414,54903,7921,80
0,0,11,12097,78326,169181,0,49,8712,71233,158221,21400,2,30960,111398,87639,23703,5913,7420,13667,31669,61554,105713,39592,27285,105071,85318,32885,6617,2439,59079,182316,16727,1270,221,2,61381,180997,15728,1289,217,3,29166,106459,76720,33980,9529,3761,1978,4644,21921,74399,148753,7920,9441,11206,33796,82317,105143,17712,13,358,2008,11323,76809,169104,81952,105142,49249,16283,4386,2603,178
0,1,2,2,2,7,2,1,8,5,9,24,0,1,9,22,14,31,61,7,9,4,1,2,45,19,10,14,7,3,0,30,6,0,0,0,2,24,16,0,0,0,0,0,29,54,34,44,70,13,12,13,13,47,93,1,0,0,0,10,70,0,0,0,1,62,0,0,0,85,14,26,339
4038,61430,217741,327159,357875,206259,11631,51751,117409,249305,362585,381821,12234,50124,111943,194505,358845,446851,17564,17190,29734,62597,233508,813909,12138,13486,25317,111758,427722,584081,507,9352,20316,73189,414542,656596,429,9539,19575,73410,413787,657762,10060,16370,44659,135651,368976,598786,16777,18060,29140,55999,280122,774404,76576,253357,255614,282859,257690,48406,406391,553464,152629,34198,15458,12362,10238,86575,243850,324061,330981,178797,469
56,6967,15724,36777,83403,100091,7217,41908,40327,59439,78869,15258,21186,59349,45440,81788,33081,2174,68581,84056,48682,23164,15079,3456,43430,70354,61830,38991,25681,2732,207193,32879,2586,338,21,1,210455,29811,2396,332,24,0,50074,69369,55309,43303,22420,2543,58751,76735,50041,44810,11089,1592,25752,58833,57486,34660,41790,24497,1187,11118,25475,47886,75510,81842,32451,59595,51727,48357,34125,16763,352
18850,25579,17319,24067,10665,2530,19736,22751,16051,21921,16080,2471,16209,24894,16060,20679,18532,2636,15680,21138,25065,24507,11153,1467,12882,24516,27286,22785,10831,710,4289,21027,39099,29103,5446,46,4235,19953,38047,31336,5391,48,9317,26954,19871,22883,17313,2672,18154,19909,19443,23941,15990,1573,3127,12900,20883,23249,27046,11805,964,10082,23209,32303,25999,6453,3769,30801,32662,24168,7287,323,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,13,5,4,2,3,7,29,15,13,11,5,9,186,1,2,5,2,0,292,21,3,4,14,0,3,98,25,0,0,0,16,116,36,0,0,0,210,216,210,72,46,50,770,46,32,5,6,59,79,0,0,0,0,162,431,0,0,0,0,35,0,5,12,103,15,217,598
17094,43958,33037,14009,5826,2956,21111,32532,33220,17516,8802,3699,24517,46501,23740,12216,6985,2921,11531,13051,16727,25992,33228,16351,13776,33088,35885,23798,9631,702,12211,48776,32662,18027,4791,413,12163,49145,31926,18490,4765,391,13901,37680,31891,19731,11110,2567,18845,18978,20536,29976,25099,3446,3196,4418,8134,17698,45061,38373,1624,12395,26887,37196,30952,7826,22631,43420,28308,15076,6646,799,22
380357,170042,53088,15760,7000,3260,254677,168863,116554,57712,27496,4509,199355,136027,104186,92004,82183,16381,66119,77631,120804,143302,168829,53772,133159,78740,67680,77185,129883,144731,34408,135159,141651,188697,129669,2221,37848,134707,138374,189494,129418,1792,146650,89061,85474,90228,142276,77348,138653,166704,99265,106757,97594,28529,16771,33373,109835,128465,146532,193795,335325,83905,61722,53176,43488,44161,146396,73970,67100,75643,89011,170803,574
