band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
0,18,2849,16172,23982,26345,44937,57257,83822,102746,98694,26167,0,10,777,4201,13564,31986,56641,68487,87601,89542,108072,22108,0,327,4141,15829,34021,50750,58885,71558,74970,71491,88945,12072,993,1758,4720,10406,12912,20735,28341,52302,86162,140183,107675,16802,853,3444,13648,24633,44937,80915,92521,77214,56585,46319,35876,6044,3,989,5825,26316,60945,71776,74417,112049,68321,37904,18076,6368,3,929,4981,28805,61108,66292,82458,106549,68937,38164,18314,6449,338,1555,14200,35152,48373,56642,64657,66899,62240,56813,55136,20984,446,477,499,1572,4728,11855,24002,39550,71798,167985,143956,16121,1509,33093,49315,46479,50732,59111,65430,65933,57601,39443,13376,967,11,157,1473,8301,27466,50884,79127,109130,104252,66615,31591,3982,2331,19356,53202,83808,90416,75638,55573,39841,32824,22079,7500,421,80
0,0,0,0,3,8,726,11371,25823,52503,135064,34117,0,0,3,46,1210,7502,22356,48877,84063,74158,16862,4538,0,2,5584,25376,49165,62233,53301,34338,17104,6599,3687,2226,3716,3704,5203,8464,13254,18415,25673,35881,48400,57313,33707,5885,4124,23161,50230,54841,48765,36553,22288,10597,4465,2152,1616,823,3,59076,133385,48931,13697,3030,895,375,173,48,2,0,0,61381,123426,57571,13131,2597,948,341,182,35,3,0,3282,25884,51223,55236,45017,31703,21452,12528,6400,3129,1786,1975,953,1025,1558,3086,7410,14511,24769,49630,87200,61553,6033,1887,7063,2378,3806,7400,12828,20968,34300,48017,58899,46244,17296,416,0,13,66,292,652,1356,3067,8256,22784,54025,117012,52092,21221,60731,60093,45049,30637,18612,10531,5752,2817,1569,1554,1049,178
0,0,0,1,2,0,2,0,1,1,0,7,0,2,0,1,6,2,2,3,6,3,9,15,0,0,1,0,2,7,8,14,8,6,11,20,58,3,2,5,8,1,2,2,1,0,1,1,10,35,9,10,5,5,4,10,6,1,3,0,0,0,10,20,4,2,0,0,0,0,0,0,0,2,8,16,14,2,0,0,0,0,0,0,0,0,0,0,3,26,32,22,16,18,35,9,23,47,8,5,7,5,6,7,7,6,20,27,91,2,1,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,1,0,1,61,0,0,0,0,0,0,18,67,12,2,3,23,339
8,4030,22592,38838,88492,129249,163518,163641,154994,202881,167489,38770,643,10988,21278,30473,40393,77016,122351,126954,150038,212547,325489,56332,1354,10880,19567,30557,46998,64945,84716,109789,156167,202678,377721,69130,10224,7340,7772,9418,12098,17636,25056,37541,68022,165486,395126,418783,7269,4869,6007,7479,9222,16095,35473,76285,160249,267473,384851,199230,0,507,2871,6481,8072,12244,19620,53569,129019,285523,392845,263751,0,429,2447,7092,8139,11436,21799,51611,130434,283353,394475,263287,5589,4471,7007,9363,16124,28535,49509,86142,133413,235563,402213,196573,9836,6941,8014,10046,13013,16127,21311,34688,73907,206215,639830,134574,16473,60103,124316,129041,126736,128878,136770,146089,143649,114041,45044,3362,117529,288862,324610,228854,107364,45265,21358,12840,9015,6443,4669,7693,3879,6359,25344,61231,104224,139626,159930,164131,168391,162590,123850,54947,469
0,56,1226,5741,6368,9356,22447,14330,35879,47524,85236,14855,60,7157,17457,24451,12844,27483,18313,41126,42988,35881,13656,1602,686,20500,33604,25745,20886,24554,41015,40773,26283,6798,1259,915,27430,41151,44821,39235,31303,17379,13812,9352,8480,6599,2908,548,19251,24179,34812,35542,32695,29135,19901,19090,15376,10305,1999,733,1154,206039,27696,5183,1917,669,251,87,18,3,1,0,943,209512,24058,5753,1853,543,260,72,21,3,0,0,18565,31509,39995,29374,29594,25715,22919,20384,14967,7453,1355,1188,21267,37484,36087,40648,29103,20938,32476,12334,8460,2629,816,776,15402,10350,24240,34593,32520,24966,18171,16489,17774,24016,22149,2348,80,1107,3788,7330,11130,14345,20244,27642,32800,42710,47977,33865,12705,19746,31728,27867,26180,25547,24758,23599,19631,14494,10148,6615,352
3523,15327,16417,9162,7650,9669,12466,11601,6694,3971,2181,349,2814,16922,14757,7994,7847,8204,10942,10979,9085,6995,2265,206,1528,14681,15665,9229,7851,8209,9684,10995,11152,7380,2505,131,3672,12008,10334,10804,11826,13239,13243,11264,7625,3528,1055,412,2151,10731,11589,12927,13771,13515,12349,10436,7175,3656,698,12,42,4247,8372,12655,19485,19614,16058,13045,4794,652,43,3,25,4210,7203,12750,17750,20297,18059,13277,4611,780,45,3,1212,8105,14287,12667,10397,9474,10816,12067,10483,6830,2476,196,5439,12715,10326,9583,9975,9468,11965,11976,10453,5537,1526,47,569,2558,4979,7921,9995,10888,11327,11922,13357,13689,10198,1607,62,902,3339,6743,9991,13218,15271,17032,15302,10697,5693,760,464,3305,12394,18407,16818,15844,14040,10128,5421,1866,292,31,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,2,1,3,1,1,1,2,3,4,17,12,6,9,2,11,4,7,1,4,4,5,185,1,0,1,1,1,2,3,1,1,0,0,237,55,15,6,2,1,1,3,12,2,0,0,0,3,62,36,23,2,0,0,0,0,0,0,0,16,73,43,32,4,0,0,0,0,0,0,127,83,95,121,74,136,41,31,40,6,39,11,723,47,23,23,21,11,4,1,1,5,29,30,79,0,0,0,0,0,0,0,0,0,0,162,431,0,0,0,0,0,0,0,0,0,0,35,0,0,1,4,5,7,39,64,9,6,11,206,598
1179,15915,21393,22565,19273,13764,8175,5834,3598,2228,1736,1220,3839,17272,17240,15292,18287,14933,10664,6852,5118,3684,2642,1057,3204,21313,25919,20582,14024,9716,6877,5339,3852,3133,2461,460,4536,6995,6466,6585,7213,9514,11536,14456,16464,16764,11517,4834,4310,9466,14472,18616,18825,17060,13820,9978,6351,3280,693,9,64,12147,26595,22181,18709,13953,9785,8242,3487,1304,361,52,90,12073,24443,24702,18551,13375,10832,7658,3495,1270,343,48,2846,11055,17652,20028,17623,14268,11326,8405,6486,4624,2338,229,8760,10085,9520,9458,10190,10346,14085,15891,15114,9985,3130,316,1237,1959,1923,2495,3342,4792,6932,10766,17416,27645,31123,7250,151,1473,4295,8100,11785,15102,17931,19265,18147,12805,5761,2065,3107,19524,23154,20266,16065,12243,8807,6269,4307,2339,540,259,22
173417,206940,123602,46440,37713,15375,10442,5318,4337,2663,1242,2018,121315,133362,94877,73986,64139,52415,30208,27504,18321,9175,2924,1585,103224,96131,79121,56906,48088,56098,44073,47931,48572,33611,15282,1099,35293,30826,37255,40376,54544,66260,71475,71827,92083,76746,41529,12243,58650,74509,43488,35252,33563,34117,35049,42136,55413,74470,91105,53626,342,34066,78796,56363,66188,75463,77253,111444,87483,42186,2190,31,454,37394,72233,62474,73256,65118,86451,103043,94280,35138,1764,28,79549,67101,45739,43322,42575,42899,44034,46194,61236,81040,68262,9086,61444,77209,97628,69076,63311,35954,56316,50441,46154,51440,26358,2171,13746,3025,8205,25168,48223,61612,65753,62712,70069,76463,84772,109023,265158,70167,46504,37401,32259,29463,27347,25829,22838,20650,17340,26821,85911,60485,39194,34776,33431,33669,36106,39537,43137,45874,57228,113575,574
