band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
0,1,694,6529,16250,22170,23722,40040,49447,62318,74678,89707,83068,14365,0,0,191,1860,6125,14759,27603,41517,65103,64723,79472,77909,96566,7161,0,70,1830,7852,18521,33787,43008,50877,57332,63146,65005,64007,73339,4215,851,1028,3167,5954,9812,12970,17742,24822,37256,64800,98812,119841,76062,9872,693,1719,8462,15494,25433,46083,70546,80860,68002,54363,43901,36926,27115,3392,0,476,2342,12938,35817,42505,71776,69111,86515,74544,37759,30949,13605,4652,0,476,1899,12879,33893,54021,58950,73315,77605,82408,41907,27710,13179,4747,287,673,6300,21999,34816,42773,49412,54783,58851,54382,50647,48743,44937,14386,365,435,362,654,1699,5060,11002,17136,30719,52591,93560,168595,94323,6488,810,19627,43142,40132,40550,44862,51116,55597,57098,53290,42652,26366,7140,607,8,66,596,2957,11770,27788,45107,65748,89564,96427,74699,44600,21413,2246,1372,12013,34349,60410,76764,76172,63671,48735,36107,30014,24589,14333,4264,196,80
0,0,0,0,0,3,8,563,7789,16497,28787,68434,118277,19257,0,0,0,7,151,1737,6866,17591,33231,69288,75130,42646,9133,3835,0,0,1564,12770,29592,46207,52227,45748,34377,19224,9037,4156,2944,1769,3310,2826,4006,5653,9141,11915,15905,21062,28567,37516,46853,45925,23398,3538,3535,12868,38113,46966,46351,39391,30450,19561,11113,5133,2610,1544,1407,573,0,27994,114761,80583,25425,6329,3030,890,299,208,72,24,0,0,0,28833,104044,89250,25907,7823,2249,909,287,212,83,18,0,0,2586,14868,39737,49368,43044,36470,26272,19104,12184,6910,3775,2156,1345,1796,794,877,1112,1711,3859,6557,13633,18658,38021,62918,78769,28126,3150,1430,6612,2041,2705,4618,7688,12269,18510,28321,38587,48728,48153,31689,9587,107,0,7,38,120,360,629,1225,2445,5599,13688,30414,60848,115712,28530,14589,48845,54436,45410,34012,23724,15327,9334,5617,3159,1774,1148,1528,712,178
0,0,0,1,0,2,0,2,0,0,1,1,1,6,0,2,0,0,2,5,2,1,4,4,5,2,9,13,0,0,1,0,1,2,6,7,11,11,2,11,10,15,55,5,1,7,2,6,1,2,2,0,1,0,1,1,4,31,17,6,6,5,5,4,10,4,3,3,0,0,0,0,6,11,13,4,2,0,0,0,0,0,0,0,0,0,4,15,11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,4,25,25,25,11,19,14,29,9,17,43,14,5,7,5,4,5,6,4,8,5,22,23,91,2,1,0,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,1,0,1,3,58,0,0,0,0,0,0,0,13,65,17,2,3,2,23,339
1,1396,14030,22459,55559,73576,116188,151218,119677,139839,145293,189533,116404,29329,398,6493,15209,20779,28076,50766,59070,110685,94626,129205,151121,208066,268958,31050,611,7853,14075,19925,31109,47087,53641,77832,81091,121287,144426,222479,315194,37892,9158,6311,6602,6905,8891,11561,15060,20328,29089,44160,84581,200138,392084,339634,6480,4134,4775,5607,6966,8706,14273,27210,57388,111279,182121,263092,333477,148994,0,124,1496,4197,6375,5739,12244,18094,34659,80763,129895,317924,358262,204730,0,118,1245,4284,6341,7241,10314,18890,29705,82986,153423,308494,339041,212420,5134,3371,5072,6967,9487,15446,25612,43544,61490,99353,150441,246225,363878,138482,8661,6180,6325,7551,10220,11224,13816,19135,27792,45780,92297,283802,571074,70645,13654,36662,93503,113331,108977,108549,110871,116784,123476,126500,114862,79303,26222,1808,86461,228502,281549,248436,155078,76293,36165,19128,11832,8799,6500,4802,4049,6908,3513,3919,13669,35734,65407,96494,121927,136553,140635,142828,144297,131047,96877,41602,469
0,17,387,2635,4153,6445,9110,11538,24413,16732,42411,49237,65903,10037,42,2924,11957,21755,12887,24600,15287,17945,20773,43405,39294,21969,8932,1248,147,8646,29305,25430,17997,20246,24204,40620,28393,33195,10686,2389,996,764,23253,31682,37341,35237,37865,19812,16129,13678,7593,7169,5843,5031,1981,404,16995,19418,25916,31270,31097,26045,24873,18312,15410,14207,11612,6292,941,630,31,181663,47984,8427,3107,777,669,251,69,32,6,2,0,0,76,184643,43664,9784,2815,1165,515,257,59,32,6,2,0,0,16520,22615,33820,29622,27152,21831,23192,18610,19329,15089,9656,3612,887,1083,18443,25873,36884,33769,28054,21966,20538,28767,13873,9312,3110,1123,667,639,14377,7564,15719,26556,30705,26973,20177,15633,14211,14331,17607,22611,15450,1104,38,621,2334,4570,7303,10155,12759,16263,21936,27321,32347,38665,42367,26339,11844,12596,26500,25602,23226,22425,21580,21430,19940,18577,14904,10710,8629,5055,352
1866,11406,16538,9901,7112,6915,8010,10994,10435,7000,4236,2909,1467,221,1824,12472,15220,8941,6083,6815,7183,9098,9686,8608,7016,4686,1276,102,832,9402,16294,9744,6956,6868,7067,8168,9195,9804,8424,4841,1376,39,2100,10314,9291,8630,9504,11089,10955,11591,10010,7837,4651,2029,675,334,1183,7877,9987,11166,11323,11994,11154,10634,9479,7273,4583,2102,247,8,0,2492,5921,9434,10726,16228,19614,14704,12314,5225,2000,341,10,1,1,2466,5342,8540,12837,16714,16335,14921,12838,7016,1701,289,9,1,742,5184,11170,12309,9951,8568,8218,9182,10274,9686,7660,4530,1448,88,3393,11321,9459,8420,8025,8083,8805,9975,10185,10442,6721,3385,780,16,324,1933,3295,5614,7582,8839,9323,9653,10161,10870,11880,11420,7170,946,34,459,2012,4358,6648,9192,11552,12934,14511,13934,11496,7494,3895,491,285,2019,7162,14617,15417,14212,13520,12199,9543,6029,2961,898,129,19,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,2,0,1,3,1,0,2,0,2,3,4,15,13,3,10,3,2,11,4,7,0,2,4,4,4,185,0,1,1,0,1,1,2,2,2,1,0,0,0,207,80,13,13,1,1,1,1,1,8,8,0,0,0,0,0,45,34,43,2,2,0,0,0,0,0,0,0,0,2,67,39,48,10,2,0,0,0,0,0,0,0,115,63,98,72,106,56,126,38,27,41,8,12,40,2,700,64,20,17,17,19,11,4,1,0,3,4,36,22,79,0,0,0,0,0,0,0,0,0,0,0,0,162,431,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,3,6,6,28,61,21,5,9,5,206,598
383,10404,18682,18634,18215,16854,10917,7180,5529,3553,2402,1737,1409,981,2205,13384,16607,11476,14946,16454,11791,9680,6202,4701,3675,2859,2205,695,1794,15192,22802,20349,15210,11263,8148,6062,4825,3610,3024,2433,1962,206,3461,6138,5788,5373,5550,6455,8544,10584,11856,12650,14395,13384,9141,3561,2878,8015,10320,14964,16037,16409,14126,11916,9421,6402,4208,1841,340,3,4,6851,20147,23078,17045,12571,13953,9307,6898,4289,1522,955,227,33,16,6871,18035,24147,17750,14916,11499,9820,6359,4737,1654,835,212,29,1961,8092,13072,17076,16755,14574,11942,9847,7841,5991,4770,3334,1512,113,6938,9075,8066,8406,8510,8289,9075,12023,13123,13924,11883,5443,1980,145,850,1844,1541,1850,2353,3090,4220,5788,8361,12440,19131,26833,23941,4638,90,841,2701,5289,7959,10906,13120,15200,16499,16254,13866,8529,4185,1441,1665,14556,19875,18758,16171,13165,10169,7751,5797,4157,2980,1275,354,207,22
147143,168503,136118,76955,37412,22833,14523,8466,5503,4346,3080,1846,894,1885,107496,105209,110772,72297,48443,46053,49824,29062,21076,18553,12137,5559,1980,1350,90427,76212,78637,56163,46710,46249,45170,34374,48122,39710,33026,27065,7399,872,32601,25510,29950,33675,47162,29783,65873,70632,69128,65157,72301,48169,31488,9028,44646,74374,39802,35095,28734,23588,33340,29272,35742,42828,55731,72420,72862,42944,288,13842,72365,54112,57169,37979,75463,76866,76019,98588,43437,24801,861,15,388,13688,67274,58925,49532,57666,63456,85122,64173,93475,58921,18420,574,19,69052,62244,45285,37054,36008,35656,35886,36881,38096,53189,59288,70241,46854,5303,51771,86239,63914,68827,36659,63224,33988,54299,31910,47180,46429,36986,14407,1669,13393,2393,4418,12845,28419,45596,52915,56399,57229,54126,62039,69203,73097,96699,250381,68176,45174,35640,29969,26610,25002,23645,22088,20782,18978,16821,14064,24447,71879,59441,38057,31604,28927,28496,29062,30991,33136,35591,38486,41041,55756,100456,574
1,0,1174,7977,21250,38286,48302,77552,136212,163685,168965,124570,65797,19496,1,1490,4379,24040,39160,52753,73577,109344,123447,128707,136553,111392,62756,5668,127,2067,7355,22189,35315,52318,78634,99590,117173,133057,139127,123613,59431,3271,62449,100684,75838,62753,54951,52814,52627,56970,65362,76211,78272,73708,46702,13926,17989,13571,22437,33921,49567,58590,67714,81050,103356,129042,131460,104388,51102,9080,0,43,300,1810,4153,5925,19331,34374,60372,102180,121716,214988,234881,73194,0,40,234,1834,3917,7673,16532,36507,52654,109215,138200,201913,230284,74264,12298,5978,7010,15779,28426,46705,65617,82184,100429,122679,160277,149121,69241,7523,17751,39019,45805,50295,61257,54433,67950,73755,90598,102478,105321,105597,55433,3575,37777,86030,103010,117915,113693,99519,83378,68649,55537,44534,33137,21951,7666,471,7357,35614,64170,85881,98804,99198,89868,79643,69516,62460,55965,55692,43370,25729,10923,7411,15178,27682,42004,59332,77603,93543,105933,114807,110632,94360,82064,31795,474
95194,141716,80898,9154,2754,700,462,878,764,147,84,67,77,138,104790,170345,46884,6509,2396,821,459,244,178,96,99,75,99,38,125662,167845,29509,5681,2015,917,566,290,201,121,97,70,53,6,17511,27983,26908,24591,24605,24932,20986,23745,24134,24221,26858,27725,25605,13229,37876,67972,64848,53637,45911,29795,18123,8454,3751,1579,652,299,117,19,4515,123670,154569,29583,11640,4121,3117,1100,462,207,35,13,1,0,5187,121915,145760,38978,11532,5455,2367,1193,380,216,41,9,0,0,56314,118219,101073,34261,11846,4989,2623,1511,1018,624,366,150,30,9,54081,76200,65373,40337,29993,19194,18124,11310,9160,5910,2195,815,286,55,1,12,33,86,131,242,468,958,1891,3784,9624,33327,112663,169813,5227,19820,31609,36687,36437,32561,30653,27681,26054,23711,19733,16740,16270,9850,35225,80467,93510,64594,30581,14054,7032,3578,1921,1069,544,249,138,71,281
227446,140651,20276,4793,1615,763,583,360,322,235,215,235,281,237,211789,139861,29843,7570,3192,2014,1084,755,519,367,304,378,490,207,209924,115083,41557,15128,5983,3808,2184,1528,1028,692,489,592,557,138,18266,18946,22343,32143,35531,38132,50760,52096,43533,36495,26816,13996,6865,3013,67027,125741,60746,38522,28554,21476,17712,12858,10325,7142,4900,2915,1260,337,0,3434,16748,27622,41637,49542,87105,88467,59350,20046,4269,1259,191,7,0,3365,15049,27369,42296,60444,74913,96418,51770,22731,4073,1052,190,7,139219,100366,58596,37149,22600,14475,9327,6292,4292,3139,2037,1276,478,88,69173,132656,105368,45693,19108,12148,5310,3184,2009,1201,808,545,435,174,4399,837,857,945,1190,1534,2044,2897,4696,7663,15559,35231,89116,231708,26953,27716,28424,28805,29804,30783,32880,35657,38643,38421,31289,21950,14809,12206,112313,98516,53954,36683,26399,19235,14456,10448,7636,5768,4071,2956,2647,3823,569
0,0,0,2,32,198,995,5345,25025,58423,76312,65870,24627,2203,0,0,3,84,326,937,4308,15769,42623,71688,75713,41694,5644,243,0,0,116,670,3636,10207,29724,58305,66971,49912,28608,9509,1194,180,4390,18588,21690,29063,32900,36127,31212,31146,23703,17654,9361,2745,418,35,485,829,6499,22695,35088,45870,44927,37866,28587,17799,10275,5348,2080,684,0,1207,20621,46624,46694,33229,38484,25572,18660,12909,7620,5710,1679,23,0,1172,17625,48200,46152,40971,31599,26986,16780,14513,8439,5076,1487,32,309,713,5944,16916,29185,39420,42304,41060,32628,22749,14436,8638,3793,937,340,959,2887,7592,13847,22482,36767,47905,59683,40316,21305,3919,854,176,635,9595,22895,34631,40666,40551,37639,31305,22475,12578,5099,951,12,0,22,513,1787,3242,4877,7207,10275,15627,23405,34930,47682,57680,48466,3319,224,3535,12136,20565,27735,33468,36495,36159,31641,23555,14925,8891,5992,3711,229
0,0,113,1083,3029,4845,10668,18391,20160,25814,39582,82813,61058,7017,0,0,156,2167,10958,13867,13597,12430,23619,40711,59963,62516,32691,1898,0,42,1550,7647,19499,24723,30033,33633,39443,37767,43184,28266,7181,1605,4261,13096,16129,17555,19738,23772,26432,34386,34561,32450,26806,17846,6495,1046,1172,3709,10058,16574,22334,28928,33893,35319,34609,29663,24248,17492,10470,6104,0,2205,35983,47629,36685,25921,31541,25037,20587,17178,12844,13083,5289,591,0,2172,31464,50151,36556,31936,26181,26156,19059,19741,13569,12100,4855,633,874,3831,10793,15673,21404,26534,29730,34334,32849,30727,26220,21500,13917,6187,1307,5014,6312,10720,11136,10436,15077,26069,52156,58113,54586,16934,5203,1510,685,6395,21589,32548,33700,33269,33075,33901,32630,25356,14781,6323,321,0,639,5255,10935,13604,15146,16231,17845,20686,24710,29829,35257,40654,38849,4933,1085,7845,17194,22968,25916,28386,29311,27896,25131,21781,17871,14893,14986,19310,237
29805,118100,211580,137365,59560,30559,14227,6947,4273,2439,1339,806,374,221,14800,51329,97355,111746,101768,82797,59992,40524,25367,15221,9315,5285,1885,211,12117,35108,40100,46734,57961,68757,73439,70758,65319,57741,47003,32529,9746,283,18220,26599,32213,38184,44734,54470,58222,71511,72693,70871,63898,40513,20930,4537,9917,20291,19270,17991,19327,23601,31475,39408,47640,59929,79251,100268,94934,54293,0,411,11002,13129,11875,18812,37508,54978,78744,86317,132544,140005,30942,1328,0,225,9031,13771,12872,20146,30388,51086,73738,111835,129574,131200,32286,1443,10984,19449,24128,21804,22821,29318,40575,51420,60195,73150,87634,98911,64867,12339,21403,34054,42529,58541,68907,67516,67308,65041,53603,50378,42616,31713,13339,647,6240,3273,10457,25654,49289,69857,80799,79857,75219,67896,50678,37681,38029,22666,331533,74046,42742,32762,27865,22854,17928,13852,10876,9904,9667,8982,5527,9057,19465,15273,17734,21351,27016,32768,33407,32921,34395,39045,46160,52579,77898,167583,567
138185,199676,132397,44570,13669,6020,4316,2934,1847,650,325,164,80,382,189948,255099,68355,14181,7118,4056,2718,1527,957,433,304,152,116,251,197890,242070,66879,17361,7712,5025,3297,2048,1231,814,456,166,108,158,65867,117087,75157,50447,35612,31932,28805,23003,23306,19963,19923,18421,17630,18062,89916,137422,98656,71854,51196,37042,22770,14833,9035,5951,3822,2042,622,54,66131,441359,28871,5392,1850,625,579,248,103,49,7,1,0,0,76786,430443,28140,6296,1798,886,469,250,86,51,10,0,0,0,123416,168294,124639,58143,26477,15019,10221,6344,5106,3680,2398,1276,180,22,176413,171744,75541,42039,25134,15924,11325,9206,6614,4280,3701,2030,1017,247,2136,782,1010,1656,2950,4265,5681,7899,13017,24671,47755,94369,161236,177788,15846,28787,37357,43274,44739,44122,44099,45482,46708,46901,43008,41179,37087,26626,74913,114160,97425,74703,53969,39223,28188,19452,13483,9446,6677,4631,4098,4847,315
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,18,4,0,1,0,19,41,0,0,0,0,0,3,17,31,15,3,0,9,34,49,116,27,16,7,1,3,0,10,10,15,5,8,5,15,10,92,9,6,12,24,14,7,8,28,12,7,15,1,0,0,0,0,0,0,0,5,39,32,0,0,0,0,0,0,0,0,0,0,0,8,41,31,0,0,0,0,0,0,0,0,4,58,60,4,7,22,41,13,48,37,126,9,5,4,5,12,8,19,8,10,7,7,37,51,175,1,0,0,0,0,0,0,0,0,0,0,0,110,200,0,0,0,0,0,0,0,0,0,0,0,3,119,0,0,0,2,4,9,20,57,111,35,15,5,4,13,582
0,134,6979,4669,2910,4633,9627,24213,32143,22123,11144,6994,3387,273,1,1355,6402,4710,3102,4463,8794,19315,26721,24213,17307,10116,2654,76,2,1413,8007,4756,4186,6160,10147,15386,21504,25177,21021,9475,1942,53,681,4480,7230,9089,11647,15020,16423,19125,18152,14750,8638,3230,694,70,436,2201,4485,6708,10294,16805,21191,22504,20179,14154,7601,2374,279,18,0,5,103,1296,6394,20595,38240,29170,22005,8203,2648,497,64,9,0,4,91,939,7242,22250,32028,30582,22344,11034,2214,426,67,8,252,1191,4098,5771,6060,7534,11425,16788,21898,23162,19143,9895,1909,103,726,4430,3913,3889,4824,7001,11081,16970,22220,27907,18483,6624,1105,56,322,2694,7611,13950,17615,17699,16145,14252,12605,11297,9308,4671,1044,16,5,123,794,2796,5805,10026,13793,17613,20617,22253,19058,11228,4411,707,158,871,3084,8797,16714,21666,22762,21744,16802,10022,4684,1507,369,49,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,1,3,0,2,18,9,3,6,11,2,3,13,7,8,7,4,0,7,117,8,5,10,3,2,3,4,1,1,0,0,0,0,50,57,30,12,3,2,8,11,12,4,0,0,0,0,0,0,4,5,34,5,16,2,1,1,0,0,0,0,0,0,3,5,38,16,8,2,2,0,0,0,0,0,2,19,25,21,37,6,36,30,44,17,6,18,26,0,164,35,20,18,14,3,5,3,2,4,3,9,31,4,87,5,2,1,0,0,0,4,2,0,1,0,1,94,250,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,1,6,14,33,89,24,9,5,0,51,180
