band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
0,75,6787,16746,27454,39147,65566,75774,107169,110479,33792,0,19,1424,7443,20786,48176,75719,80791,100956,113939,33736,0,691,6340,23012,45494,59454,72576,82619,78099,94949,19755,1054,2096,6762,11568,17422,26372,44907,78117,142457,130003,22231,946,5011,17119,31359,66388,100079,92251,66952,53135,41550,8199,3,1367,10842,45132,69440,75931,112960,88807,48503,21998,8006,3,1265,8286,39593,73313,80176,110402,92571,46997,22767,7616,380,2549,20681,43780,56898,65704,74296,69167,63226,61032,25276,484,495,724,2049,7681,19410,34525,65013,154555,174505,23548,2242,41869,52209,51827,58866,67646,73093,67094,48420,18415,1308,13,246,2510,14365,40373,70034,107285,120896,82820,38873,5574,3149,25394,66970,96475,93713,71916,49009,38057,27465,10194,647,80
0,0,0,0,6,83,5975,24734,49552,134551,44714,0,0,7,192,3153,14442,39941,80241,91883,24588,5168,0,95,10198,35950,63495,62863,46034,25514,8830,4112,2524,4020,4223,6504,10970,16491,23535,33824,48427,61514,42240,7867,4642,30589,57935,58023,47236,32628,16613,6436,2743,1773,997,14,86877,125146,37900,7125,1611,629,225,84,4,0,51,82593,123267,42123,8887,1797,584,231,79,3,0,4224,33219,59808,56433,42836,28982,17032,8861,4039,2064,2117,1009,1204,1881,4872,10260,20050,41001,82515,83918,10800,2105,7297,2674,4946,9677,17088,29493,46417,61910,55687,23605,821,1,20,108,440,932,2192,5962,18449,49164,115537,66810,25896,67981,62058,43921,27516,15401,8126,3936,1926,1595,1259,178
0,0,1,1,1,1,1,0,2,0,7,1,1,0,5,3,1,5,5,4,7,17,0,1,0,1,4,9,10,14,3,14,21,58,3,5,6,4,2,3,1,0,1,1,10,37,9,9,5,8,10,6,1,3,0,0,2,11,20,3,0,0,0,0,0,0,0,2,15,13,11,1,0,0,0,0,0,0,0,0,0,12,31,36,14,21,37,10,28,43,8,7,6,7,7,7,7,18,30,91,3,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,1,0,1,61,0,0,0,0,0,4,70,21,3,4,23,339
27,7328,27608,63859,100168,174631,173825,168115,202709,208276,47956,1030,12778,25738,34691,57486,108343,140877,169476,192590,348803,82690,1833,13405,22703,39021,56980,86967,107606,147130,210359,388407,100091,10967,7942,8889,11208,15116,22924,33889,60936,142244,398193,462194,7782,5298,6811,8513,12517,25376,65344,141176,262230,406396,233059,0,795,4062,8125,9989,15890,40712,101937,262265,410785,319942,0,738,3243,8007,10405,16709,39036,106710,256490,433465,299699,5941,5298,8172,12463,21501,41425,76250,122895,227919,413511,239127,10268,7801,9611,11914,15378,21140,31201,61773,177222,627758,200436,18446,77899,140605,139166,138530,144544,155274,160100,135058,60055,4825,138620,327892,340267,203111,82526,33439,16644,11063,7522,5274,8144,4154,8770,35276,81562,130910,165492,178624,181630,181441,142619,64024,469
0,108,2914,4246,14561,11720,25042,17517,65695,79706,21509,207,7447,28591,13755,24847,31788,21408,46017,47616,19530,1812,778,28345,33877,26681,22835,38990,43293,34873,10658,1667,1021,30853,47336,48725,38714,27534,17398,10873,9408,7619,3800,758,21725,28494,35825,40638,34371,25505,21498,18445,12591,3147,779,2436,218133,17230,3482,1125,403,169,32,7,1,0,3343,214994,18225,4420,1379,454,163,35,4,1,0,21193,36540,40108,32120,30055,27244,24224,18197,10271,1811,1255,24320,39657,37765,41474,36890,23474,24487,10112,2956,1039,844,16037,12901,29852,38694,31529,23216,18313,18738,24697,25676,3365,108,1559,4833,9235,13578,18318,25912,35128,44232,51829,38286,13454,24887,33604,29892,28065,27787,26037,22997,17192,11753,7350,352
4724,18551,15055,9193,9091,12382,13120,8879,4787,2810,418,3750,20391,12779,8536,8549,9909,12512,10916,8129,3259,280,2112,17793,14838,9159,8680,9643,11602,12361,9143,3493,186,4654,12688,11329,12356,13644,14734,13248,9672,4855,1338,492,2797,11488,13488,14612,15032,14370,12211,9070,4787,1138,17,99,5067,8699,17355,22546,19142,17084,7638,1297,80,3,119,5200,8362,15505,22246,20522,18040,7578,1347,88,3,1459,10314,15566,13016,10507,10900,12912,12229,8548,3296,263,6515,13583,10927,10100,10266,12577,13212,11899,7743,2087,101,745,3091,6182,9513,11438,12057,12684,14013,15157,11970,2160,97,1278,4482,8374,12409,15761,17954,17656,12864,7106,1029,591,4579,16041,19636,17823,16482,13146,7481,2745,450,36,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,11,3,4,0,1,3,1,2,0,5,4,18,11,10,5,5,11,8,0,5,3,6,185,1,1,1,0,1,4,2,1,0,0,255,38,20,1,1,1,2,10,6,0,0,0,11,60,51,4,0,0,0,0,0,0,0,35,69,52,11,1,0,0,0,0,0,131,105,86,137,113,91,35,49,7,35,15,734,42,20,31,16,9,1,0,6,19,40,79,0,0,0,0,0,0,0,0,0,162,431,0,0,0,0,0,0,0,0,0,35,0,0,2,3,9,20,71,23,5,13,206,598
1569,19043,23039,25093,17981,12822,6785,4355,2910,1919,1364,4505,19935,17407,18700,18508,14164,8942,6068,4291,3088,1272,4603,24618,27595,20065,13034,8929,6518,4544,3516,2788,670,5212,7714,6663,6924,9278,11544,14535,17510,18173,13988,5339,5153,10724,17195,20743,20377,16502,12669,8059,4383,1061,14,147,16504,28696,23898,17542,12133,10539,5045,1802,496,78,200,15521,27078,24020,19128,13187,10279,5177,1726,496,68,3828,12880,20518,21169,17919,13580,10588,7593,5501,2964,340,9713,10544,10522,10720,11072,13242,16550,18004,11950,4061,502,1470,2056,2223,2938,4232,6276,9772,16238,27445,34983,9247,193,1920,5668,9986,14472,18187,20602,20685,15564,7138,2465,4301,22522,24769,20730,15822,11449,7838,5298,3100,766,285,22
199080,186864,122406,58287,29952,11896,8901,5381,3083,1551,2106,136767,139630,96329,73203,62207,48690,33131,22794,11191,4137,1732,110112,101419,79473,57579,58333,55674,51006,54934,40241,20075,1290,38186,37616,27848,65408,61073,70225,103045,69364,90085,52774,14833,64659,75413,48102,35158,34019,39747,41893,60422,74515,99571,57879,383,59684,77334,62013,73241,77249,113473,99755,63002,5622,49,500,51861,72547,64899,78483,85857,106077,108784,57493,5095,37,89342,65356,52006,49412,43260,44027,52330,61345,84388,77693,11878,74017,94556,101380,67236,36392,60119,54400,62985,48617,35154,2646,14013,3537,12203,35528,59884,70779,69848,73564,80690,91711,117014,272818,72467,47832,38597,33133,31561,27968,26297,23365,19330,28409,93590,59432,42665,36716,36724,37468,41863,45624,49699,59617,119525,574
