band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
0,504,11564,23284,34014,58715,74581,116208,118691,45428,0,89,2943,12450,35056,69918,89265,108386,116921,47961,1,1232,10423,35140,58272,73997,86619,86169,102073,29063,1172,2788,9368,14333,23863,39208,68020,139759,153166,31312,1063,7577,22240,43982,93568,109152,84909,61030,48101,11367,4,1679,14073,67021,83077,102741,115180,60731,29379,9104,4,2016,18970,61829,79299,104599,116783,62570,27208,9711,418,4265,30863,53513,67201,79005,78018,71411,67465,30830,528,583,1051,3714,13701,28802,59571,130704,210738,33597,3616,51754,56174,58790,69905,78858,77004,59512,25528,1848,19,423,4599,25022,58229,99229,134503,104148,48977,7840,4209,34302,84344,108806,93090,64385,44930,33994,13946,983,80
0,0,0,1,10,3275,18140,43646,132871,61672,0,0,11,831,7919,28401,72090,107477,36973,5913,0,772,17632,49589,74367,60317,35994,13146,4977,2821,4368,4895,7791,13336,22366,30745,47715,65236,52851,10312,5591,39917,65128,61649,45389,25171,9862,3725,2017,1166,877,98095,124366,31007,3777,1045,297,140,11,0,904,120775,109295,23288,3844,1048,317,137,7,0,5443,42534,67213,57297,39858,24392,12689,5414,2502,2273,1133,1374,2638,6610,16788,31884,71154,105115,20578,2341,7558,3163,6501,13076,24145,42700,62691,66313,31966,1502,3,31,180,638,1527,4087,13899,43289,112691,83270,31910,75568,63374,41904,23587,11988,5675,2483,1640,1486,178
0,0,1,1,1,2,0,1,1,7,1,1,0,5,4,2,7,5,5,19,0,1,0,1,8,11,18,2,15,21,58,3,7,5,4,2,2,1,0,2,16,34,11,6,7,9,9,3,3,0,0,2,15,17,2,0,0,0,0,0,0,4,19,14,5,0,0,0,0,0,0,0,0,2,27,43,15,25,35,14,36,36,9,8,6,7,6,12,14,34,92,2,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,1,1,61,0,0,0,0,0,50,44,4,3,24,339
78,10765,38695,78612,155059,190364,198590,208004,234677,59658,1451,17771,30033,45663,85873,134133,177514,196927,368360,116777,2838,16255,28550,52872,73786,112211,147649,199728,399556,141057,11747,8854,10333,13189,20365,30813,53178,123056,389510,513457,8333,5961,8198,10502,17947,47387,120814,249458,429206,276696,0,969,4848,10427,13931,29135,80907,224561,468938,340786,0,1189,6278,8816,13260,29456,80743,244127,424772,365861,6186,6083,10010,16713,32097,62760,118211,210370,421939,290133,11361,8595,11510,14211,18300,28885,48929,144326,607687,280698,21472,101213,156594,152085,154183,165503,176091,159810,80544,7007,166253,373121,343928,169018,60164,24330,13958,9067,6015,8648,4540,12426,50273,109890,163534,192532,198400,201616,165747,75544,469
0,284,2944,10033,9486,23280,29249,43491,91232,33019,260,14275,22186,24951,27780,37038,44616,48175,21308,2429,1894,35615,33965,28278,26223,46940,50026,16812,2118,1147,34038,48295,56374,38874,23738,16533,10673,8565,5036,892,24001,32748,41556,43313,33996,24821,20963,15714,5064,842,23246,198299,16560,3841,712,300,46,12,2,0,28967,198878,11383,2638,796,291,52,12,1,0,23744,41941,41807,36050,31210,26731,24086,13093,2966,1390,24873,50682,46192,37510,26270,32681,17363,5242,1247,958,17033,16607,36473,41286,30672,21129,19891,24866,30077,4984,170,2150,6454,11917,17089,24804,33922,46646,56045,43821,14587,30879,35651,32063,30593,29770,26929,20712,13378,8456,352
5654,21080,14644,9253,11117,15510,11730,5981,3491,550,5135,22260,12306,9096,9741,12566,13271,9678,4577,380,3071,20720,13923,9594,9855,11764,13878,11192,4732,281,6101,13754,12323,14019,15686,15651,12437,6646,1840,553,3653,13782,14699,16423,16127,14615,11508,6426,1755,22,287,6026,11534,20499,26069,19252,12764,2409,165,5,265,6509,11297,21676,22488,21768,12209,2618,175,5,1911,12795,16837,13169,11430,13245,14170,10592,4484,377,8017,14221,12064,11293,11911,13816,14856,9597,3054,181,955,3803,7753,11469,12930,13703,14694,16615,14152,2936,129,1780,6117,10803,15426,18678,20112,15798,8704,1463,806,6512,19891,20943,19080,16526,10383,4104,720,45,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,11,5,2,0,4,1,2,0,5,4,20,11,13,2,11,5,6,4,4,6,185,1,1,1,1,2,4,1,0,0,263,36,14,1,2,1,6,11,0,0,0,21,58,44,3,0,0,0,0,0,0,69,55,40,4,0,0,0,0,0,135,127,100,127,147,49,55,14,30,20,740,37,25,25,21,4,1,6,12,47,79,0,0,0,0,0,0,0,0,162,431,0,0,0,0,0,0,0,0,35,0,0,5,5,7,56,51,8,13,207,598
2794,23042,25756,25317,17180,9962,5701,3327,2268,1533,6235,22369,18099,21239,18921,12128,7708,4987,3636,1558,6024,28943,28608,19196,11987,7918,6015,4134,3153,902,6014,8146,7492,8520,11137,14160,18496,19722,16742,6451,6175,12531,20481,23182,20380,16196,10565,5719,1630,21,567,18366,31147,26420,17149,12424,7397,2546,775,89,579,22016,30945,23371,16323,12850,7455,2573,667,101,4938,15168,23815,22256,17295,13100,9460,6676,3706,466,11062,11588,11615,11521,12573,16748,20101,15349,5584,739,1719,2205,2534,3725,5565,8713,14950,26816,38622,12031,270,2634,7398,12819,17785,21729,23014,19311,8996,2924,5943,26150,26258,20869,15139,10298,6659,4099,1144,321,22
225608,194610,111670,47767,23832,11204,6437,4279,1891,2209,153559,146535,97176,71584,71240,39461,28702,14234,5365,1955,117805,115701,79352,59557,67153,54366,60680,47650,26189,1683,41885,34157,45883,75843,66786,104994,71728,104138,66255,18788,77307,75185,47194,35293,44600,41276,60175,74667,105599,70082,544,59800,80263,92199,78412,113877,108575,85110,12976,49,649,80422,73719,72725,83414,107665,118554,86294,8126,65,98693,64112,58253,49931,50196,51913,61092,88251,91561,17035,74196,127023,70591,69205,63607,57991,69904,56161,45043,3781,14295,4498,18704,49003,73479,78559,76882,87431,99231,126689,282224,73830,49278,39884,35736,32677,29897,25950,22067,30234,101780,60912,44254,39778,40742,43809,48802,53061,63403,126382,574
