band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
504,34848,92729,190789,164119,89,15393,104974,197651,164882,1233,45563,132269,172788,131136,3960,23701,63071,207779,184478,8640,66222,202720,145939,59468,1683,81094,185818,175911,38483,2020,80799,183898,179353,36919,4683,84376,146206,149429,98295,1111,4765,42503,190275,244335,55370,114964,148763,136516,27376,442,29621,157458,238651,56817,38511,193150,157475,78924,14929,80
0,1,3285,61786,194543,0,842,36320,179567,42886,772,67221,134684,49140,7798,9263,21127,53111,112951,63163,45508,126777,70560,13587,3183,98972,155373,4822,437,11,121679,132583,4892,454,7,47977,124510,64250,18103,4775,2507,9248,48672,176269,22919,10721,19577,66845,129004,33468,34,818,5614,57188,195961,107478,105278,35575,8158,3126,178
0,2,3,1,8,2,5,6,12,24,1,1,19,20,36,61,12,6,3,2,50,17,16,12,3,2,32,2,0,0,4,33,5,0,0,0,2,70,40,49,72,17,13,18,48,94,0,0,0,10,70,0,0,1,62,0,0,50,48,27,339
10843,117307,345423,406594,294335,19222,75696,220006,374441,485137,19093,81422,185997,347377,540613,20601,23522,51178,176234,902967,14294,18700,65334,370272,705902,969,15275,43066,305468,809724,1189,15094,42716,324870,790633,12269,26723,94857,328581,712072,19956,25721,47185,193255,888385,122685,308679,319686,335901,87551,539374,512946,84494,23025,14663,16966,160163,356066,400016,241291,469
284,12977,32766,72740,124251,14535,47137,64818,92791,23737,37509,62243,73163,66838,3265,82333,95248,40271,19238,5928,56749,84869,58817,36677,5906,221545,20401,1012,58,2,227845,14021,1087,64,1,65685,77857,57941,37179,4356,75555,83702,58951,22605,2205,33640,77759,51801,44757,35061,2320,18371,41893,80568,99866,45466,67714,60363,47641,21834,352
26734,23897,26627,17711,4041,27395,21402,22307,22949,4957,23791,23517,21619,25070,5013,19855,26342,31337,19083,2393,17435,31122,30742,17934,1777,6313,32033,45321,15173,170,6774,32973,44256,14827,180,14706,30006,24675,24762,4861,22238,23357,25727,24453,3235,4758,19222,26633,31309,17088,1909,16920,34104,35910,10167,7318,40834,35606,14487,765,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,16,2,5,2,9,31,15,16,10,10,186,2,3,5,0,299,15,3,17,0,21,102,3,0,0,69,95,4,0,0,262,227,196,69,50,777,50,25,7,59,79,0,0,0,162,431,0,0,0,35,0,10,63,59,220,598
25836,51073,27142,9028,3801,28604,39338,31049,12695,5194,34967,47804,19905,10149,4055,14160,16012,25297,38218,23193,18706,43663,36576,16284,1651,18933,57567,29573,9943,864,22595,54316,29173,10028,768,20106,46071,30395,16136,4172,22650,23136,29321,35450,6323,3924,6259,14278,41766,50653,2904,20217,39514,42325,11920,32093,47127,25437,10758,1465,22
420218,159437,35036,10716,4100,300094,168760,110701,42936,7320,233506,138909,121519,108330,27872,76042,121726,171780,175866,85043,152492,82487,85876,134842,175681,60344,172462,192289,193685,13025,81071,146444,191079,204848,8191,162805,108184,102109,149343,108596,201219,139796,121598,126065,48824,18793,67707,152038,164313,225920,356054,89162,68413,55847,52301,162692,84032,84551,101863,189785,574
