band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
699896,250689,61704,32181,11667,3296,580,236,785539,167317,46422,30145,17741,10321,2519,245,753863,168351,54377,33237,26199,17996,6041,185,181114,261780,198848,149575,114515,82630,52948,18839,427038,270671,111213,76274,57304,50745,44757,22247,1182,305612,477854,148291,80323,39830,6517,640,1205,368584,408426,162418,75044,36875,7310,387,526963,240997,103282,58232,44525,38886,36041,11323,609877,230564,109367,60087,32487,13973,3753,141,22309,8007,19826,33096,50551,88643,234319,603498,145439,94594,92483,93343,106474,162897,267530,97489,340302,263092,124255,86919,65604,49277,41074,89726,563
12,1177,19377,66576,118217,145212,147586,5976,30,4121,34467,68517,92832,133345,164763,6058,176,37513,52023,66236,96829,143023,104906,3427,7783,19314,40304,84264,144381,149468,56434,2185,4973,23996,53309,100403,137335,127975,51379,4763,0,29612,79496,90954,94767,137514,56087,15703,0,34455,70620,99760,94013,128835,63755,12695,4290,30147,47860,80488,118889,127582,86249,8628,4476,3036,12493,55019,151583,191580,83102,2844,8210,61657,95228,98317,87952,74997,65868,11904,445,8194,44384,97835,130339,131484,80955,10497,5996,49301,93532,121526,111013,76699,37012,9053,170
17263,99746,72239,51545,38499,23162,17531,17978,9353,54608,62053,68571,54385,43176,28562,17298,19715,67955,59545,56460,49404,39081,32182,13783,19482,15656,19211,23876,36367,43712,70173,109895,22794,25631,34265,53327,70597,67825,44148,20893,12961,8531,38142,72091,78557,54241,26770,48705,13093,9756,35125,79485,75687,50150,30779,45923,27441,45050,53914,61113,58775,48536,32784,11402,18040,16830,29299,32470,48665,61019,114154,21968,11978,18384,25134,33755,40460,51719,75832,80120,30340,58558,63546,51763,39577,32932,31265,25495,41060,63371,63298,53112,41106,32331,24214,15853,617
400304,17686,3569,996,351,111,87,311,383457,26130,7350,3803,1668,555,179,273,364610,34959,11544,6548,3619,1543,403,189,29635,49407,49417,56566,75410,80914,67294,14772,183276,131105,41963,24709,17985,14170,8411,1796,4450,326728,72104,13964,4805,1289,75,0,4587,339787,58278,15134,4366,1194,69,0,247802,101483,31055,17367,11658,8469,5027,554,221617,114277,49768,22690,10071,3672,1026,294,609,368,987,3147,6101,11791,36163,364249,54674,56680,65741,69379,61035,55488,43097,17321,215017,107535,41223,22988,14022,8998,6055,7577,576
5,888,5310,24674,47474,47050,26158,975,3,695,3876,20879,44599,53857,27619,1006,34,5711,23409,33663,42856,32548,13824,489,886,1017,3210,10639,25872,56118,53249,1543,698,3870,26749,44941,46419,23572,5669,616,0,0,284,30992,87988,31302,1891,77,0,0,217,34719,86971,28675,1896,56,329,11774,30793,36162,35098,24673,11578,2127,495,682,1272,4459,37625,89917,17484,600,1184,6815,11573,18193,29006,42310,39878,3575,57,475,3657,17948,39188,55601,33770,1838,563,35149,51775,34167,18255,9513,2779,333,139
61,24230,139333,184456,213289,152839,69900,11161,96,36318,129088,135145,156756,184428,146420,7018,227,17177,93076,140901,152881,170713,208876,11418,98668,111320,89783,91597,111662,145986,128814,17439,5438,30428,84350,102733,119539,138148,181980,132653,2,1138,5466,12164,61994,216605,280565,217335,2,1277,4970,13603,61189,216541,299888,197799,4754,14148,84985,122115,126970,148964,200749,92584,44914,86617,96820,96686,111488,164675,184882,9187,16820,142884,209845,183289,130534,76409,30086,5402,179704,165772,114456,96329,92683,88300,50491,7534,6985,14821,40466,82595,142073,172836,164431,171062,537
5733,62075,109155,125709,116559,62603,11109,580,7124,41029,83591,112516,118653,96915,33204,491,10255,36071,56971,69141,92184,132123,94782,1996,57156,58264,51624,61965,89610,108235,62783,3886,17898,30746,58915,82246,85779,84234,86993,46712,0,10664,25377,52534,98613,129957,83597,92781,0,11816,22626,58385,97822,125279,90869,86726,14273,18891,49278,73383,101968,108643,92704,34383,24043,32003,56039,97384,113971,106410,61818,1855,40424,88934,78919,78687,71855,65821,55426,13457,92174,82155,67131,66327,66543,62787,37079,19327,13775,38626,55743,63831,83192,101219,71564,65573,125
73,35066,69443,48855,114473,398381,185899,25209,10816,112616,36182,114638,296084,227119,66530,13414,63484,93779,150560,260133,199621,79255,23739,6828,55504,116443,146307,201297,218284,116276,22430,858,91116,98932,181100,226591,174527,80411,20789,3933,375,235364,386389,186164,56603,10871,1301,332,328,257293,343435,213051,51507,10106,1413,266,85568,102655,170983,200234,175701,101082,31089,10087,102766,64627,92451,202731,261221,127692,20796,5115,30674,20487,44369,112391,228098,263603,154117,23660,1167,11044,35200,79390,141743,234106,275470,99279,35993,148482,235431,223163,138538,61792,24419,9581,153
49775,44174,34583,28067,21087,8281,4052,4372,65958,54320,29348,23083,11331,4227,3663,2461,81491,52797,27867,17700,7556,2799,3019,1162,16517,31300,49032,47661,31313,13139,4621,808,36426,55519,38699,30054,19913,10923,2110,747,34993,146123,11680,1230,293,72,0,0,35407,147839,9422,1397,264,61,1,0,52316,53934,36643,26676,16024,5310,1979,1509,60292,63431,38247,18764,8269,2850,1780,758,6498,3594,5185,10845,17473,24019,44201,82576,2035,13093,24278,29961,36515,46085,35891,6533,27037,56006,37714,26623,20666,14596,7639,4110,320
0,198,5149,31087,67103,87960,63863,6106,1,947,9556,26783,54201,82525,81754,5699,187,8079,26247,43842,52926,71357,55554,3274,3765,6036,12573,15536,25751,60887,117340,19578,3638,15050,29404,36078,50907,74261,46770,5358,0,30,2962,25685,66736,97965,57398,10690,0,52,2285,32645,63190,91669,63640,7985,3285,26110,29393,34447,45008,61474,53162,8587,3032,2447,8179,13336,31017,80439,117802,5214,4901,9372,26612,45586,64028,66288,40698,3981,282,4681,28604,71026,67176,44793,35248,9656,6792,39344,49789,65502,58375,32075,8429,1160,161
