band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
347931,530150,87113,44940,23167,16077,7033,2724,676,321,117,564794,339791,59982,33313,22115,16723,12502,7008,3299,628,94,590540,276458,68965,35272,26892,22806,17504,13291,7317,1126,78,100798,204260,186622,124038,132349,85572,82779,59243,44896,31111,8581,233981,355510,128450,86193,58290,45728,38891,37449,34310,28871,12576,0,25095,421873,326385,124789,76682,48411,26212,8321,2329,152,0,17603,488389,266703,121412,81466,47271,26830,8576,1862,137,388488,274503,130386,71264,46539,36055,29995,28384,28054,22074,4507,462534,274164,130813,73797,52147,29292,20392,11374,4994,670,72,21203,3528,8198,14954,21631,29872,40300,60402,116778,282200,461183,115065,75500,66131,67093,67137,71376,81607,114318,175819,190433,35770,203336,288008,140151,87040,66970,54908,44975,36268,29401,33253,75939,563
0,200,2232,10459,39583,61613,97373,111041,121791,58243,1598,5,396,9546,25604,46987,58162,64848,94998,147380,54845,1362,9,7981,38684,39169,42330,54724,82355,102360,105357,29939,1225,5527,8626,17539,30533,52276,82985,113001,112552,67205,13538,351,4222,6690,25675,38819,63184,91836,102468,94711,59475,14642,2411,0,4227,38161,60074,65924,72600,76640,91391,62100,26513,6503,0,2948,45381,53626,63594,75306,72952,96171,64238,24329,5588,3317,11649,26963,34563,53247,74673,88832,95612,80960,30848,3469,3960,1566,3047,9177,30976,68878,119372,153104,97255,15737,1061,4801,21905,59330,69395,72605,68890,61601,55046,50995,37188,2377,147,1950,10555,33887,63113,87369,96415,97587,75742,32528,4840,1561,21431,45850,69955,86651,88309,75976,57490,35121,17854,3934,170
2836,59027,73528,52294,40703,30197,21040,19946,12607,12657,13128,2164,26266,47483,45979,48209,47669,37451,29991,22977,19644,10173,7061,43052,50764,43601,39414,38961,34619,27621,24778,21134,7120,14955,11124,12550,12702,18242,23182,26808,30063,42525,68540,77681,15400,19270,18924,25164,34887,46348,52149,51052,38408,24320,13558,7738,9643,7317,34611,51251,59816,53533,33654,21937,23014,37484,8011,9033,10168,30616,47846,64806,51443,36004,22657,22693,36721,16895,30719,33863,39781,45799,42884,40558,36838,27586,17961,6131,13480,11496,15674,18203,25323,24805,37108,45797,81361,59031,10167,8280,12332,13715,18518,23307,27059,30666,35732,49559,63018,55196,19264,34791,46708,46248,39960,33164,26550,24494,21468,26887,13942,21003,48667,46232,46246,41033,33766,28310,23838,19086,16621,9543,617
379147,33825,6324,2156,885,411,176,78,54,85,274,359089,41616,10547,5297,3132,1837,933,444,158,178,184,335744,50574,16256,8002,5066,3563,2299,1154,434,201,122,17816,35503,35077,37312,39306,51322,48884,61366,57566,32792,6471,101087,165673,57466,29239,19460,15306,12319,10513,7541,4003,808,30,173460,184278,44116,12322,5861,2385,829,131,3,0,70,157355,209519,34941,12132,6131,2294,832,139,2,0,181124,132182,43568,21416,13871,10426,7688,6168,4733,2062,177,167601,121002,61032,32055,20512,10914,5772,2814,1142,375,196,544,187,366,718,1766,3423,4970,8034,16595,48130,338682,40819,38341,43238,48483,50879,47921,43613,40644,33209,31285,4983,123482,157199,51836,28480,18618,12961,9209,6699,4694,4386,5851,576
0,92,1162,3866,12852,28803,37367,33604,26462,8162,164,0,117,813,2763,10319,26547,35778,38847,28830,8453,67,0,791,8143,16814,23188,28811,31155,24630,15107,3880,15,678,603,906,2514,5963,12426,22085,39664,51683,15833,179,455,1021,6348,20720,29852,35466,32268,17714,6254,2259,177,0,0,1,178,9927,58293,59894,20987,2908,330,16,0,0,2,160,9861,59480,59614,20029,3058,316,14,154,2174,14610,22023,26493,26865,24097,18644,11930,4685,859,329,452,542,1021,2167,8320,39554,70444,25231,4445,29,532,3003,6289,8416,11908,16569,23304,30635,33321,18161,396,16,162,562,2695,9796,20802,31838,40936,34998,10091,638,40,9883,35522,37872,28362,17760,11692,7159,3157,958,129,139
0,3537,38973,100173,131011,151139,155077,114090,64904,33889,2476,0,3918,55513,94670,98319,101870,117914,132230,134579,55100,1156,2,2900,23798,71819,99322,107955,113670,121676,156109,96914,1104,60874,92867,74117,65345,65145,71424,84007,107629,112110,56089,5662,4215,8375,34702,63267,73591,78318,92444,98242,121873,138206,82036,0,3,1835,3989,6760,20208,68128,149479,211556,206527,126784,0,3,1906,3894,6636,20062,66966,148682,211213,211280,124627,3690,4744,18204,65709,89505,89587,93876,106139,134807,146850,42158,23114,58736,68873,69630,72283,69146,86697,113666,152162,79868,1094,5583,57788,133590,154398,140213,115420,85436,56980,31893,11102,2866,121147,143545,104039,81824,71315,68480,66952,65736,48132,19670,4429,3746,8274,14567,30433,51633,80951,112784,126928,118497,129039,118417,537
905,21032,60093,84986,95016,86062,77540,49148,16056,2474,211,4419,14812,42196,58870,77768,92431,85549,69368,41970,5972,168,6796,15872,33249,42411,47869,56940,71864,96052,92486,29791,193,37668,48913,38939,35290,42940,53684,69119,81473,64870,19612,1015,15435,12645,29040,43722,57548,62301,62432,60945,64102,57465,27888,0,3800,10102,19103,33077,59187,82904,89532,70897,57589,67332,0,3527,11730,17575,32450,60377,81486,89401,73745,57015,66217,13110,5688,21103,36499,49372,64847,78051,78267,72741,57421,16424,19590,15067,26889,45998,63466,79015,85667,76671,59994,20953,213,14659,72032,56569,57794,57911,55076,51005,47877,44998,31067,4535,63762,69101,54142,48479,48291,48373,47975,46917,34356,16945,15182,8360,19449,33928,40919,45040,51020,65935,75475,57768,49651,45978,125
0,2523,47011,50163,35996,43688,113940,302775,212294,56305,12704,127,84425,45178,25176,59504,151424,229631,174760,74498,26503,6173,5699,112322,55591,115994,182310,184102,124809,58581,22738,12950,2303,34940,69918,90147,105904,140583,163567,147060,90293,30183,4583,221,52148,79926,84342,135108,166053,153670,111694,61213,23112,8464,1669,0,97488,206866,271032,186915,81337,24795,6708,1521,587,150,0,92382,227640,258425,181727,83725,24359,6918,1545,549,129,60989,62465,91894,126112,144050,142692,119565,76121,34286,12764,6461,54663,84546,39866,65330,128025,188471,183188,96617,25350,9955,1388,24113,14745,17697,33145,65599,121989,184903,198613,129148,84593,2854,398,3896,11876,26569,49013,79069,114457,167517,203069,199135,22400,6292,92215,122850,175525,173161,133748,86248,46361,22173,14312,4514,153
29294,43095,27798,25839,20629,16784,15458,6211,3036,3422,2825,46878,47887,30779,22893,17939,12005,6466,2848,2220,3415,1061,58469,52169,30023,19497,14065,9235,4322,1984,2023,2180,424,10204,18483,27384,36117,36223,30831,18492,9869,4481,1973,334,11353,55082,33184,28932,22691,17494,13163,8586,2513,947,446,4,151272,34835,6504,1202,400,136,35,3,0,0,4,147654,39996,4930,1155,481,129,39,3,0,0,34442,44575,35555,25482,20911,16072,9517,3881,1551,1364,1041,28787,63442,41220,25619,17063,8715,4511,2168,1315,1248,303,4804,3368,2615,3849,6603,10792,13396,17009,25058,42886,64011,924,4978,13069,18015,20941,23846,28038,33875,30697,17863,2145,7450,47758,36070,26668,20795,16752,14154,10933,6776,4468,2567,320
0,12,431,3613,17656,35633,53428,63237,60989,24154,2313,0,64,1987,7483,15439,28123,45803,57292,72636,30926,1713,8,1472,10764,20837,28020,33104,41237,53685,53504,17681,1154,3467,1791,6531,9282,10987,13170,21910,41711,81268,66657,4692,2989,5068,16292,19982,26009,29827,40876,53790,48383,15845,2405,0,0,111,2186,11012,48637,46602,65664,58203,25334,3717,0,0,150,1996,9794,50840,44431,66678,61623,22743,3211,2213,10806,20999,21252,24461,27988,35957,43506,47130,23685,3469,2829,656,3043,6457,8254,13875,27015,55170,94917,47762,1488,3292,4073,10370,19908,29928,40206,48917,49203,38688,15613,1268,71,1281,5999,21653,46728,56672,44467,32992,25589,22495,3519,865,23338,29528,36867,46313,47768,39211,24480,9774,2896,426,161
