band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
460572,443549,77439,40244,22666,9955,4318,999,372,135,658215,262515,55994,30390,22309,15012,10022,4708,960,124,643749,244130,58493,35899,27557,21971,16426,9960,1965,99,123562,224920,170511,145753,126571,96141,72856,52271,36899,10765,295221,326813,128989,75360,58813,47184,40878,38967,32754,15270,1,71919,489311,266913,104795,64504,46045,12648,3937,176,1,54516,562654,212541,110921,66451,36670,12965,3349,181,430531,267814,120323,66559,44247,35658,32474,30702,25891,6050,531680,242636,111306,77352,46921,26528,15423,7191,1130,82,21569,4268,10961,18813,27627,38676,57144,106706,268999,505486,123368,80649,72502,74939,74401,83049,109587,174740,217878,49136,245653,281577,133595,86387,67356,53868,43276,33609,35048,79880,563
0,339,4324,20393,62086,88057,112579,129013,85370,1972,11,792,13047,42239,51046,68530,92920,149228,84534,1786,15,14992,43767,42275,54899,74955,102174,124148,45361,1547,6047,10830,22772,39282,72734,110658,130015,89406,21706,683,4406,10201,32629,50348,85097,107616,111634,76689,22610,2903,0,10463,46211,70829,72559,69918,109340,77461,40501,6851,0,8759,55500,62315,78261,79379,94564,82446,35356,7553,3458,16027,30988,44929,67383,93132,104330,96203,43359,4324,4102,1867,4380,17179,47496,107010,159874,132831,28018,1376,5787,30961,69822,78058,78784,71562,62348,57164,45452,4195,203,2961,16686,48713,82295,103573,108450,91535,44018,5699,2289,28275,56479,84808,98504,91045,71046,44637,21916,5133,170
5877,71911,75176,49726,38103,32667,19758,15771,14353,14621,2895,33387,54075,49811,54417,45154,36224,28178,21957,11908,9119,52022,53725,45698,43111,40049,33014,27880,24914,8593,16145,12496,13252,15275,21057,28958,33302,42753,69808,85326,17283,20843,21367,31901,44623,54116,58207,47080,28915,15145,9428,9241,11096,44592,57368,60684,56627,24233,27511,39218,9726,8615,16301,40031,62786,66021,45369,25853,25514,39782,19292,34846,40109,44536,48735,47503,41773,32635,22293,7293,15321,13653,18075,20831,28759,35414,45409,83123,68939,12921,9025,14171,16024,22305,27726,31731,37422,49738,67159,62081,22082,40857,51928,49028,40312,32389,27735,23829,27795,17521,26722,52100,51369,49292,41358,33722,27866,22202,18663,11051,617
388314,26328,5336,1823,754,321,104,64,84,287,367529,35894,10018,4579,2720,1388,666,246,168,207,345841,44569,15065,7291,4895,3030,1720,629,238,137,20514,41113,37966,43089,42343,58306,64887,66046,40806,8345,124409,157600,52345,27970,18729,15055,12143,9097,5070,997,102,238539,137448,31714,9443,4123,1744,282,20,0,158,224118,159351,24318,9841,4017,1329,269,14,0,203059,122394,39106,19920,13228,9677,7320,5634,2832,245,180725,123144,55954,32089,16440,8874,3900,1563,510,216,556,216,482,1102,2755,4592,7311,15062,44558,346781,44434,42965,49075,54712,55288,49918,45640,38722,34346,8315,154859,139230,48589,26647,17438,11668,8313,5536,4834,6301,576
0,194,2128,6352,22203,37301,39296,31921,12899,240,0,200,1329,4817,19107,34817,42279,37279,12583,123,0,1425,11744,21282,28366,34299,30163,19398,5819,38,748,657,1286,3828,9233,19167,35403,58064,23798,350,511,1424,10609,26747,36967,38096,25640,9283,3008,249,0,0,5,1082,30189,69504,45163,5869,700,22,0,0,7,995,33934,76817,34225,5951,584,21,176,4060,18811,26090,29921,28524,22563,15241,5977,1171,371,514,685,1448,3890,24939,72107,42218,6287,75,702,3933,7453,10539,15138,22132,30968,36837,23981,851,24,233,872,5106,15902,29701,42310,42351,15195,840,67,15775,41443,38751,25618,15372,9611,4414,1317,166,139
2,5731,61227,129600,151520,170366,142957,87785,42339,3742,0,8280,75615,107980,108772,121469,139102,154270,77928,1853,21,5219,37316,95479,113346,122232,128270,159752,131560,2074,71592,97270,79021,72081,71404,87155,108737,126236,74058,7715,4402,12757,47360,74899,83531,93466,106090,127004,151170,94590,0,40,2591,5398,10741,35996,146962,196531,253288,143722,0,26,2764,5166,11896,45190,132957,206513,245397,145360,3877,6143,30929,86980,98073,100890,111073,138499,164676,54129,28640,66875,75152,78781,75589,87810,106082,164800,109635,1905,7853,77611,157559,166638,143177,109154,73189,41664,15000,3424,137326,150912,106690,84935,76398,74394,73662,58998,27026,4928,4711,9323,19693,41241,69899,109317,137646,132636,137732,133071,537
2358,27043,80311,95934,97026,93545,67265,25833,3936,272,5334,21575,50214,73508,93629,97796,84845,55148,11268,206,7449,20827,39050,48957,56155,71043,97569,106945,45225,303,43096,51207,41202,41673,51831,69376,85649,79224,28763,1502,15993,16951,35348,54252,67261,68545,67154,69708,65852,32459,0,5620,12215,26167,44573,69979,112724,78022,72649,71574,0,5084,14570,24238,48935,80536,97901,81764,68388,72107,13356,8277,27907,45043,61242,80041,87850,82373,66850,20584,20792,17123,36621,56164,78769,92524,88419,72135,30653,323,18901,79650,61576,64203,62634,58020,53748,50923,37394,6474,71641,72753,57231,53311,52851,53318,52645,42114,21451,16208,9826,23901,39831,46775,51642,63966,82465,69386,54328,51403,125
0,7530,60248,46533,39126,79703,249221,300622,79118,15298,358,100745,36297,34416,102436,232281,222735,106190,34155,7786,17027,111511,70803,158963,209652,171536,87734,31610,15036,3527,39638,83855,102252,125376,168430,183898,120352,45859,7418,321,66555,78346,106377,165281,181180,146601,86480,33663,10729,2187,0,126063,250577,292532,139120,49720,15989,2373,873,152,0,118496,277460,271768,146383,47995,11931,2426,778,162,68284,69913,111809,147678,161756,144842,101679,47994,16125,7319,72163,74437,47327,92967,175681,216429,142951,41615,11644,2185,26323,15377,22696,46154,97371,173068,225793,161378,103364,5875,547,5340,16363,36970,67581,107568,161988,218542,224353,38147,10810,107492,152457,198662,173648,118018,64838,29311,16410,5753,153
34747,44327,29136,25375,23014,15873,11369,3891,3426,3233,54251,49170,31116,22621,15551,9990,4329,2439,3548,1376,64775,53723,28723,19489,13145,6739,2644,2126,2426,601,11780,21730,32562,41607,36831,27148,13293,6493,2482,465,17519,56241,35253,29049,22636,16594,11440,3984,1156,519,23,163409,25857,3904,833,248,113,4,0,0,14,161034,29235,2934,848,238,84,4,0,0,39984,46344,36290,26077,20874,13788,6371,2022,1467,1174,40179,63080,38852,24991,13632,7154,3122,1578,1373,430,5450,3209,3055,5074,9334,13653,17043,24655,43667,69251,1172,6683,16284,21042,24186,28654,35164,35755,22497,2954,12361,50955,36859,26614,20591,16901,13423,8604,5103,2980,320
0,31,802,9080,26521,50564,67452,71664,32241,3111,0,128,3194,10868,23097,38315,61785,78216,43374,2489,30,2631,14813,25161,35720,40406,52451,62390,26334,1530,3539,2648,8227,10952,12544,19808,34199,78711,83447,7391,3115,7745,18657,25172,29481,37899,55382,58562,22484,2969,0,0,274,4592,23811,51499,71059,65985,39980,4266,0,0,403,4530,30049,54502,61818,70641,35166,4357,2361,14858,23025,24710,28281,34390,45017,53240,31144,4440,2870,985,4218,8148,10773,21779,49638,94264,66752,2039,3961,4678,14178,25513,38141,50038,55388,46165,21680,1724,113,1857,9415,33630,59578,56003,40472,29469,26642,4287,1779,27997,33836,44763,53052,48504,32826,14173,3924,612,161
