band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
904121,117683,32621,5317,507,920730,86384,37321,14730,1084,887879,94392,49528,26386,2064,348482,316264,222712,125127,47664,622034,204349,105997,79845,48024,71920,756224,169299,58693,4113,54517,775195,177372,49635,3530,698345,186882,79905,63176,31941,774316,188658,73449,22614,1212,25837,29774,66303,163850,774485,204017,147441,157450,284327,267014,527230,219982,121224,76885,114928,563
339,24717,150143,241592,87342,803,55286,119576,242148,86320,15007,86042,129854,226322,46908,16877,62054,183392,219421,22389,14607,82977,192713,188323,25513,10463,117040,142477,186801,47352,8759,117815,157640,177010,42909,19485,75917,160515,200533,47683,5969,21559,154506,292705,29394,36748,147880,150346,119512,49647,3164,65399,185868,199985,49717,30564,141287,189549,115683,27049,170
77788,124902,70770,35529,28974,36282,103886,99571,64402,33865,61141,99423,83160,60894,33507,28641,28527,50015,76055,155134,38126,53268,98739,105287,44060,18669,55688,118052,80860,66729,18341,56332,128807,71222,65296,54138,84645,96238,74408,29586,28974,38906,64173,128532,81860,23196,38329,59457,87160,129240,62939,100956,72701,51564,45316,78822,100661,75080,50068,29714,617
414642,7159,1075,168,371,403423,14597,4108,912,375,390410,22356,7925,2349,375,61627,81055,100649,130933,49151,282009,80315,33784,21240,6067,238641,169162,13566,2026,20,224276,183669,13858,1598,14,325453,59026,22905,12954,3077,303869,88043,25314,5463,726,772,1584,7347,22373,391339,87399,103787,105206,84362,42661,294089,75236,29106,13849,11135,576
194,8480,59504,71217,13139,200,6146,53924,79558,12706,1425,33026,62665,49561,5857,1405,5114,28400,93467,24148,1935,37356,75063,34923,3257,0,1087,99693,51032,722,0,1002,110751,40176,605,4236,44901,58445,37804,7148,885,2133,28829,114325,6362,4635,17992,37270,67805,24832,257,5978,45603,84661,16035,15842,80194,40990,14025,1483,139
5733,190827,321886,230742,46081,8280,183595,230241,293372,79781,5240,132795,235578,288022,133634,168862,151102,158559,234973,81773,17159,122259,176997,233094,245760,40,7989,46737,343493,397010,26,7930,57086,339470,390757,10020,117909,198963,249572,218805,95515,153933,163399,270882,111540,85464,324197,252331,114853,18424,288238,191625,150792,132660,31954,14034,60934,179216,270282,270803,537
29401,176245,190571,93098,4208,26909,123722,191425,139993,11474,28276,88007,127198,204514,45528,94303,82875,121207,164873,30265,32944,89600,135806,136862,98311,5620,38382,114552,190746,144223,5084,38808,129471,179665,140495,21633,72950,141283,170223,87434,37915,92785,171293,160554,30976,98551,125779,120654,104671,43868,144394,110542,106169,94759,37659,33727,86606,115608,151851,105731,125
7530,106781,118829,549843,94416,101103,70713,334717,328925,41941,128538,229766,381188,119344,18563,123493,227628,352328,166211,7739,144901,271658,327781,120143,12916,126063,543109,188840,18362,1025,118496,549228,194378,14357,940,138197,259487,306598,149673,23444,146600,140294,392110,184566,13829,41700,68850,270439,387171,109239,5887,53333,175149,380530,262500,118302,351119,291666,94149,22163,153
79074,54511,38887,15260,6659,103421,53737,25541,6768,4924,118498,48212,19884,4770,3027,33510,74169,63979,19786,2947,73760,64302,39230,15424,1675,163432,29761,1081,117,0,161048,32169,1086,88,0,86328,62367,34662,8393,2641,103259,63843,20786,4700,1803,8659,8129,22987,41698,112918,7855,37326,52840,70919,25451,63316,63473,37492,22027,8083,320
31,9882,77085,139116,35352,128,14062,61412,140001,45863,2661,39974,76126,114841,27864,6187,19179,32352,112910,90838,10860,43829,67380,113944,25453,0,4866,75310,137044,44246,0,4933,84551,132459,39523,17219,47735,62671,98257,35584,3855,12366,32552,143902,68791,8639,39691,88179,101553,23404,1970,43045,115581,69941,30929,29776,78599,101556,46999,4536,161
8,784,8250,39231,47622,40,687,5417,48505,41246,73,2378,14981,59791,18672,5043,13810,32948,39290,4804,1663,8513,34516,43885,7318,0,415,16593,55272,23615,0,430,20379,53597,21489,1249,5484,20244,50842,18076,1115,2175,15767,66992,9846,16691,36819,32590,9288,507,143,7636,28896,39723,19497,1673,16909,43406,27524,6383,88
97508,359336,224759,143966,58874,48804,288225,287147,189587,70680,38654,229972,254729,241000,120088,193613,156076,175699,227438,131617,96104,94780,203118,251612,238829,2775,138398,128128,228832,386310,2583,138900,142097,221562,379301,109946,103109,181633,266820,222935,122580,194070,220756,242212,104825,91169,345439,171031,151484,125320,346129,253243,110559,61502,113010,127375,84489,107974,160092,404513,559
50837,346461,462067,147544,9119,138871,411058,343087,119730,3282,135732,329337,323275,218782,8902,397673,421447,148936,43439,4533,163289,235170,283090,273817,60662,1767,86833,319940,425960,181528,1614,85727,357130,399252,172305,155053,249867,287035,278984,45089,301088,434159,225443,53292,2046,125069,312201,280584,220915,77259,195788,272596,203438,188871,155335,82645,185138,240103,247074,261068,517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
