band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
776400,194837,59409,21525,6798,978,302,840267,127763,47352,25310,14696,4528,333,801351,140496,48628,35872,23827,9756,319,221840,281975,203606,152347,107587,68180,24714,499097,232047,116344,71826,60243,52477,28215,2968,550572,314404,123869,52342,15411,683,2960,560765,306625,118506,58214,12230,949,578343,227271,93777,57217,45771,42187,15683,659781,221278,98949,49290,24789,5921,241,22890,11865,27888,47059,80079,213998,656470,160140,106099,106273,110805,154458,285711,136763,395056,250764,122311,86010,62899,46865,96344,563
19,3320,42421,106322,156157,181105,14789,82,11757,53794,88413,137364,198233,14490,979,52357,61527,91677,142285,148370,6938,9326,26129,59687,133236,178533,92960,4262,5836,35249,79413,137010,158422,80907,7296,7,55337,92213,115973,118233,105798,16572,12,56005,91822,109227,137883,89796,19388,6221,40358,64129,118929,145815,114893,13788,4739,4486,25375,111649,219572,133323,4989,11431,84077,111816,108087,90460,78778,19484,752,14995,73084,135136,154145,109455,16566,10216,67012,122273,137512,103234,51387,12498,170
33335,104457,78910,49787,30200,20619,20655,13733,65093,76593,72954,52640,35461,21532,26852,80596,67074,58878,48661,37872,18192,21415,18647,23152,35467,47592,72100,119999,26840,29318,45310,71059,83738,57565,25650,14275,15477,62552,96593,60850,39872,50379,14504,16005,63872,88570,70820,34032,52195,32904,53500,65404,70005,60899,41486,14817,20851,20357,33952,45240,68498,119803,33744,14700,21796,32427,42639,52953,80189,92678,37015,70253,68964,51852,39784,35533,30075,50253,72489,69240,53564,40467,29424,18908,617
406012,13709,2359,733,181,95,326,390311,21454,6883,3280,936,248,303,373051,30807,10440,5630,2596,666,225,36809,54436,57880,76154,93822,82547,21767,215322,113757,38857,23948,17702,11241,2588,19725,355319,36597,9410,2096,268,0,23262,352715,35828,9133,2286,191,0,273627,87070,28110,16194,10737,6740,937,246397,107557,42941,18560,5981,1608,371,646,508,1741,5291,10316,31678,373235,62292,66635,78765,75295,65356,51750,23322,242018,95557,37342,20538,12197,7348,8415,576
26,1377,11560,44176,55137,37935,2323,18,1185,9241,37367,61532,40811,2380,198,11253,30190,45080,44036,20480,1297,992,1437,5953,20229,50329,70019,3575,848,8722,39097,55695,37694,9414,1064,0,5,4326,86436,55694,5960,113,0,5,4051,85322,58570,4472,114,557,19089,37444,43058,32620,16799,2967,580,858,2119,15632,95435,36380,1530,1722,9142,15489,26321,43216,49411,7233,88,818,8564,32460,58865,48278,3461,1890,49240,53660,28532,14259,4451,502,139
410,52196,184330,234307,205409,99864,18753,435,68605,154129,160959,200439,193444,17258,635,32482,135893,169208,183846,243068,30137,116554,120115,103967,112354,151092,164765,26422,6747,48771,107354,126253,149027,198387,158730,3,2379,7865,34577,166897,342916,240632,3,2231,7823,32877,181887,315690,254758,5914,26808,123025,141885,157593,217783,122261,56319,103774,111867,113339,157654,228389,23927,27566,190675,235316,181095,108283,45022,7312,208292,173030,120696,107816,104352,69943,11140,8494,21313,61612,127600,192471,187856,195923,537
8654,81948,137593,146336,95804,22163,1025,9371,58680,107490,137113,123206,56516,1147,13069,48481,70736,89171,136414,129403,6249,66908,62731,61893,84628,119198,90862,7303,20196,42408,78083,98387,95907,100206,58336,25,17258,37781,92827,127694,120053,97885,19,17224,37530,89289,140836,107069,101556,15154,29369,65221,100695,125209,112135,45740,27276,40557,79099,124047,132006,85295,5243,56959,94270,91336,86476,77246,67610,19626,105775,88334,75869,76058,74872,50023,22592,17372,49945,67107,81238,114427,88351,75083,125
217,58840,66874,70862,330616,314847,35143,39240,94150,56230,242769,322737,103721,18552,88517,95754,232200,282608,134819,34278,9223,70679,136890,188314,258928,178294,42727,1567,104713,126573,237876,238950,130083,33632,5572,16332,346149,362509,129635,19538,2878,358,16570,338949,366126,131494,21536,2309,415,96348,134142,214846,221356,149161,49090,12456,118869,66410,147134,290851,209882,37090,7163,33374,26712,71593,192502,311680,199557,41981,1869,17044,56171,124320,225937,314804,137254,56629,187778,279258,209678,98341,33249,12466,153
55870,47105,37472,29736,14396,4783,5029,76877,55143,29747,19387,6324,3791,3122,91086,52279,27931,14091,4135,3297,1572,20190,41568,56989,46368,21330,6762,1184,48305,55838,41121,27669,16737,3786,935,82491,106569,4498,715,114,4,0,86319,102785,4460,686,137,4,0,60880,57268,36794,25415,9765,2469,1800,70420,65142,36699,14223,4819,2082,1006,7113,4096,7722,16575,24174,43649,91062,2933,18505,30365,37808,49195,45666,9919,36585,59157,37480,26602,19462,10142,4963,320
0,595,15711,59521,88496,86974,10169,4,2487,15656,49576,79746,103303,10694,431,13714,37777,52772,75618,75280,5874,4017,8856,16056,21865,49570,126166,34936,4433,21465,36325,48794,76218,65916,8315,0,233,7962,68359,76346,96458,12108,0,229,7663,65296,90176,84078,14024,4722,32833,34899,44814,62945,68273,12980,3165,4214,11434,22036,68998,139825,11794,5513,14511,37802,63261,78227,55424,6728,475,8547,51324,86056,59604,40703,14757,11966,46350,64689,74262,48603,13928,1668,161
