band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
839066,157910,47494,13449,1958,372,885333,103238,40852,21926,8379,521,849944,110589,49295,33820,15932,669,286853,283680,220784,146369,89374,33189,563590,214108,107498,74186,64924,35943,9967,702399,220573,101282,24579,1449,7310,699895,233428,93704,24484,1428,629057,215650,84767,57495,51131,22149,718422,201295,90178,38014,11856,484,23949,18227,41062,73438,190150,713423,179310,122183,124366,149833,293197,191360,456981,235867,121720,83788,57546,104347,563
114,8676,78352,162699,215725,38567,205,27653,79277,128119,234004,34875,3884,69863,82201,136062,193954,18169,11571,38930,101164,198702,144766,9000,8001,53601,121079,183219,126037,12196,1063,82636,116363,146544,133538,23989,552,82548,121735,140044,134913,24341,10958,51685,100142,160392,156008,24948,5166,8120,61738,213812,204373,10924,19558,112576,131278,114149,95048,31524,1450,30580,118828,175924,149217,28134,17506,95548,157301,141066,74994,17717,170
48116,123147,69530,47436,25617,24117,21984,84692,87909,69494,47336,26591,40155,89461,74059,62770,47628,24052,25219,21163,31843,50908,71898,137341,31441,37517,67059,93285,77508,32670,16326,30632,84767,105350,46922,56001,16043,28763,92653,99080,47340,56119,41590,67637,78291,76880,54420,20197,24366,30731,41542,63611,124807,57388,18468,27617,43166,55692,83723,108716,47268,84112,72827,51015,41262,36992,61620,85540,73681,52788,37381,23335,617
410402,10447,1706,396,119,345,397136,17703,5901,1907,429,339,382068,26447,9146,4345,1122,287,46192,66585,72248,100536,105695,32159,250111,95067,35875,23172,15312,3878,114046,281038,22162,5588,580,1,98642,296221,22923,5051,577,1,300001,72433,25273,14807,9244,1657,274291,98288,35773,11579,2990,494,696,818,3597,9014,27072,382218,72639,81612,92223,80957,64728,31256,267472,85535,33756,17493,9657,9502,576
63,3366,27448,64055,51989,5613,60,2313,23080,62370,59273,5438,512,19001,43304,55380,31618,2719,1173,2379,12200,40488,86297,9997,1192,19034,56032,57427,16964,1885,0,42,31234,107157,13886,215,0,39,34897,104236,13162,200,1384,29963,47711,44210,24929,4337,729,1173,5006,68798,73722,3106,2720,12465,22580,41878,59194,13697,142,1920,20075,56815,66375,7207,5952,65457,50245,22320,7733,827,139
1624,104529,241927,273542,144300,29347,1641,119561,179445,216313,238730,39579,1666,66262,183453,205901,267447,70540,138406,132979,119983,155412,201815,46674,9732,77775,135442,163126,212160,197034,3,4326,14441,122524,357513,296462,3,4384,15465,122221,352955,300241,7252,58649,160101,173096,232275,163896,71624,123542,129871,157365,258787,54080,47517,253169,252152,161675,69794,10962,243672,181234,131355,123768,96803,18437,10578,33989,100300,199815,222594,227993,537
14903,125371,162398,144980,43994,1877,14094,85539,144627,156369,89498,3396,18450,64968,89020,131555,170847,18683,79260,68565,81184,124023,126077,14414,24594,59356,105855,113347,115562,74809,2530,23359,62686,149495,142778,112675,2184,23640,67003,145675,142162,112859,17079,45946,92800,139306,136208,62184,30960,57757,120752,152484,117913,13657,76147,105245,105572,94279,83360,28920,122781,96543,88463,88525,69292,27919,23364,65379,83232,118131,115874,87543,125
559,84196,68682,221785,448870,53307,69941,75167,129144,391547,185133,26467,107671,133196,327089,238387,58439,12617,91207,172219,256125,271358,83303,3187,120875,181332,295532,210692,60911,8057,72285,411803,324204,63413,5130,564,70363,422251,321493,57630,5109,553,112634,183467,263339,218281,83448,16230,131308,86992,244275,325594,79512,9718,36638,39615,131668,324474,275453,69551,3115,28780,94906,207715,355443,187440,82855,253193,307021,166275,51846,16209,153
66149,49975,40475,24755,7262,5775,89469,50043,33197,13288,4428,3966,103266,51053,25536,8637,3681,2218,25286,54523,64701,37316,10743,1822,59959,59647,41092,24909,7594,1190,134404,57422,2200,349,16,0,131087,60686,2292,311,15,0,71596,60323,37650,18710,3947,2165,84849,65500,30385,9588,2724,1345,7765,5375,12982,24489,42587,101193,4516,26131,38720,51404,57944,15676,48182,61591,37607,26346,14496,6169,320
4,2593,33837,94551,111337,19144,40,5799,31448,80009,122025,22145,878,24081,53396,74271,96378,12462,4635,13263,20012,39844,128498,55214,6261,31455,46454,73472,90273,13551,0,1236,27441,98594,114422,19773,0,1106,33876,92117,114535,19832,9550,38925,44760,63112,84430,20689,3389,7167,16438,50563,151626,32283,6531,23588,56352,87213,75539,12243,912,17933,85748,84284,50924,21665,19534,57630,84263,72528,24926,2585,161
1,371,2368,13401,51606,28148,14,273,1823,10038,61608,22139,16,1065,6027,23455,59046,6286,3719,8870,19318,34900,27087,2001,1349,4032,18670,36927,31575,3342,0,43,3772,33248,46255,12577,0,43,4603,32599,46321,12329,842,3352,9351,28317,43232,10801,1006,983,5230,28425,55766,4485,12213,27478,32996,18537,4445,226,43,3108,16261,30544,32192,13747,907,8922,28523,37342,15769,4432,88
47339,302912,232241,154711,106964,40276,21042,207207,267711,200741,140521,47221,17833,166205,215083,204290,203745,77287,158928,143940,126990,167105,198339,89141,78036,76367,122840,202134,208424,196642,262,97280,101098,148638,214713,322452,102,98570,104775,145407,213983,321606,87099,91862,102810,198765,227472,176435,91807,158274,172308,194228,195839,71987,42547,301494,189364,120236,140121,90681,297114,232006,140495,59464,59503,95861,110050,72999,77929,106136,147177,370152,559
26036,230294,383018,307694,63920,5066,74097,340118,331562,220490,47874,1887,85133,270074,274696,252815,131405,1905,307335,407098,201861,72890,24501,2343,128769,184127,224224,241158,206467,31283,928,38600,182683,371558,302407,119852,874,38555,193771,363660,300003,119165,119889,197550,225286,246227,210680,16396,226220,375825,277343,111935,23751,954,87768,242676,255056,212555,168898,49075,146863,237924,192348,155049,161793,122051,60799,138567,183470,211030,199707,222455,517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
119159,62137,16638,3408,400,669,156120,37839,6436,1105,343,568,155001,34431,9165,2524,770,520,12223,17769,30271,46862,59410,35876,73311,63599,35313,19115,9783,1290,88,46634,115936,32235,7156,362,59,47747,117521,29700,7050,334,112810,55629,18562,11531,3467,412,51885,88472,44790,13554,3148,562,2034,3102,5279,8515,21961,161520,32733,34705,33185,34899,43722,23167,111699,50041,16441,8471,5422,10337,588
295,67966,104792,92906,75469,14534,5507,93933,103991,87256,60675,4600,32751,154707,97048,59533,11748,175,18413,26566,63274,135135,106213,6361,32393,180052,119977,21586,1930,24,1129,251410,101561,1852,10,0,1102,259088,94404,1358,10,0,37423,198835,90968,24842,3664,230,12739,23929,102160,179652,37257,225,5673,9972,29600,69823,143305,97589,51,1762,10235,52869,201097,89948,62079,211714,66462,13546,1949,212,216
70695,252035,228332,237488,90063,19296,96712,321857,307073,117949,46115,8203,271485,366023,137882,81483,35263,5773,163947,77662,111114,156820,198826,189540,287325,207809,162730,138868,79574,21603,1110,254150,311691,199371,99821,31766,364,250772,322341,194536,98378,31518,353140,225911,146037,105198,55879,11744,157621,136257,202866,246675,144033,10457,72728,50613,71328,110801,206184,386255,92238,133826,112042,84051,134921,340831,368904,198782,135752,95321,57750,41400,547
275881,20984,3133,1147,666,1440,285414,12393,2594,846,672,1332,277862,17500,3693,1833,1167,1196,19072,18403,29479,61449,104117,70731,143912,104802,35695,12379,4849,1614,7039,94221,176396,21976,3454,165,6261,89857,184793,18665,3505,170,216430,63087,14262,6387,2195,890,118868,106616,52377,18848,5408,1134,4934,2388,3363,4943,13428,274195,42632,58139,55720,55873,61374,29513,220702,56322,12482,5495,3071,5179,589
1208,278183,401331,127583,21421,531,3685,272559,345242,164997,43379,395,5831,144592,339124,238686,101605,419,478666,254694,72044,20376,4266,211,32068,357213,300299,122848,17567,262,596,5327,4229,37913,159306,622886,434,5500,4581,38649,159816,621277,7988,115419,397617,254803,54257,173,212275,328566,216702,67522,5088,104,138179,320108,193053,117435,55533,5949,1215,18072,82435,264980,420389,43166,9260,81490,232146,324087,148661,34612,514
141758,159315,171267,273904,156927,2664,180792,163372,209535,285118,64752,2266,199900,182917,221696,203259,94705,3358,44895,156663,339073,290259,69323,5622,133685,136710,161593,207215,202646,63986,5712,402022,369485,108265,18424,1927,4486,402852,377898,100265,18403,1931,168566,154984,184657,194786,164901,37941,114848,177851,273781,260591,75266,3498,13642,43154,169839,266212,205521,207467,164138,213164,177376,157448,141425,52284,94817,184505,168053,199929,152552,105979,406
311,22442,39656,52846,73331,34885,3816,31494,45238,55418,67008,20497,12080,57247,54788,57849,36426,5081,13612,27375,59970,77448,42457,2609,21510,85944,83139,24120,6436,2322,1436,79054,115040,25803,2094,44,1367,82353,114372,23316,2015,48,18292,87484,70599,31167,11380,4549,7250,13456,49193,101512,47595,4465,15696,23138,34815,52857,68903,28062,7,366,3994,27238,117193,74673,25202,114339,53964,18898,7679,3389,220
2970,67137,56486,31897,15229,2081,1703,44682,58980,43147,24620,2668,19699,58682,42773,32501,20541,1604,787,3425,12664,41146,86045,31733,11642,61098,52027,39423,11133,477,0,14423,92783,59750,7944,900,0,12176,100224,54326,8173,901,18505,57941,43121,35302,18858,2073,461,2939,14136,68418,88015,1831,2048,7822,12875,28048,63724,61283,467,6094,22900,49061,80843,16435,45552,75274,37124,14884,2576,390,70
11310,14067,42308,139020,498989,63525,11330,49034,111898,287444,289746,19767,21277,118280,228075,222978,166928,11681,209044,269668,167919,82416,32464,7708,201525,164331,135932,129023,117512,20896,36191,570125,127195,22197,12335,1176,27984,583614,123383,20551,12489,1198,165211,170260,136801,122754,140178,34015,92447,177302,235875,170693,85592,7310,77698,253648,206600,135416,70877,24980,4958,54544,104038,113082,181675,310922,95918,188834,152102,109635,108204,114526,335
