band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
0,59,3282,150360,329288,3,730,20960,208071,253225,667,12372,71119,223958,174873,1912,9376,57770,273931,140000,5436,30689,129642,225599,91623,6245,74190,170304,159555,72695,6060,73429,160949,176682,65869,4383,28983,78769,200687,170167,537,1482,15294,244246,221430,75090,162254,140272,91164,14209,460,49166,203104,189080,41179,20251,136583,176641,122175,27339,80
0,3322,87688,138389,30216,432,24025,118177,104109,12872,8110,83521,111749,51485,4750,7864,16886,50098,154579,30188,18661,74172,106026,56383,4373,28809,136216,85123,9426,41,27743,138201,83416,10229,26,18572,79545,99320,54768,7410,5436,24861,89009,134261,6048,8154,7295,47143,145203,51820,1025,19762,80708,115148,42972,42796,139062,63331,11346,3080,178
4,1,2,1,6,4,9,7,7,22,2,13,17,15,30,62,11,1,7,3,52,19,14,10,3,0,15,5,16,0,0,13,8,21,0,0,16,65,41,39,68,10,22,13,55,95,0,1,0,10,70,1,0,2,58,0,1,86,12,24,339
37529,234690,293197,270304,338782,14195,95380,240897,352896,471134,18646,92833,191762,360426,510835,8235,16157,43626,141620,964864,6348,13346,91878,391281,671649,962,5835,41382,403772,722551,910,5810,38649,427813,701320,6875,43450,135549,334899,653729,7940,13813,31463,239609,881677,142541,256180,273190,267140,235451,417804,613504,120004,18048,5142,60486,253973,307686,370058,182299,469
8015,53965,54601,93000,33437,6722,56587,50346,99605,29758,11348,65810,78272,82805,4783,69553,104827,53483,13553,1602,36717,64662,77862,52640,11137,54331,146090,39492,3057,48,52457,144336,42420,3770,35,34320,69645,75071,51145,12837,51106,55193,77259,55436,4024,21731,95934,91323,32593,1437,2192,31596,61959,83146,64125,20361,55605,77969,62542,26541,352
28873,18067,17950,27417,6703,18176,20138,14562,28527,17607,9853,21963,18756,32378,16060,24202,23455,24675,24458,2220,5225,29609,30136,31208,2832,332,4209,20156,48405,25908,319,4232,18893,49799,25767,3266,24272,26627,33701,11144,21559,19452,14934,32109,10956,9262,38951,29040,16748,5009,412,13551,52248,28639,4160,1618,19115,51702,26299,276,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,5,19,0,0,0,2,0,0,14,0,6,256
0,0,0,0,0,20,2,6,2,12,54,21,10,8,5,209,2,5,1,0,349,7,11,4,0,0,140,0,0,0,0,192,0,0,0,402,290,133,38,26,895,52,10,25,33,113,0,0,0,170,470,0,0,0,54,6,24,135,24,239,598
27427,25126,34622,24130,5376,37167,22043,30575,22330,4587,39496,24686,28154,20976,3405,21109,21729,30744,35832,7327,23319,31409,32408,27665,2041,28542,51333,29207,7506,288,28071,51803,28768,8001,233,26999,30458,27876,26090,5379,28945,20190,29406,35048,3132,3209,8953,24115,41219,39221,5016,27399,37142,34068,13073,20217,45072,33880,15777,1791,22
578269,98332,21688,3858,1277,376708,186137,101268,36031,3280,283837,151550,133400,119555,15082,55472,121436,221870,235553,69093,146700,93312,100097,172802,190513,114595,285175,259745,43371,538,110873,295854,249331,47032,334,174037,112528,117761,182928,116170,171046,206850,166526,134330,24672,11431,42051,154512,195689,299741,432507,98846,71681,58282,42108,163926,102046,102987,115382,219083,574
9468,71598,188719,404564,198918,8358,70205,186593,414913,193198,6810,63403,219962,406538,176554,188802,155726,161756,225590,141393,48128,120064,188727,362219,154129,362,14229,45459,152688,660529,329,14392,43258,164031,651257,20390,70945,194978,391223,195731,76708,110817,179501,327006,179235,236017,305001,199630,105181,27438,65781,283016,211922,197703,114845,23810,106598,267267,334739,140853,474
331590,1332,89,10,12,331796,1058,136,28,15,331999,810,175,36,13,77595,48149,52244,65433,89612,236816,76119,18185,1791,122,332689,341,3,0,0,332683,348,2,0,0,319623,11903,1230,249,28,207850,68211,38355,16638,1979,22,70,477,2691,329773,55592,73345,61822,62778,79496,315768,15642,1335,224,64,281
357824,34937,5244,1280,676,368308,24924,4281,1566,882,364067,26034,6598,2409,853,30959,94632,170314,86160,17896,227923,94230,47161,25076,5571,31757,263222,96873,7957,152,31064,263267,96995,8530,105,292844,69243,25365,10521,1988,239498,135263,20422,4009,769,5187,2549,6828,26768,358629,64397,69429,79505,112102,74528,245624,87112,36631,17408,13186,569
668,22364,154423,77535,4042,1320,63112,120901,62194,11505,31510,89602,84298,45234,8388,23642,39435,86677,92579,16699,15237,79816,87434,63671,12874,3174,125827,76270,29290,24471,2950,125298,75233,31775,23776,22980,74554,84953,63023,13522,7319,49495,124800,70915,6503,11003,39254,56774,86296,65705,7260,55283,81748,90863,23878,39412,77594,72412,50131,19483,229
