band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
0,14,553,11787,259017,211618,1,153,4130,47808,264451,166446,238,5775,28870,98331,232881,116894,1438,4924,22157,96705,284636,73129,3536,15309,67364,149254,187577,59949,3345,30898,122027,156797,125882,44040,3562,35469,117926,152651,130108,43273,2631,16243,45743,94527,199525,124320,432,805,3712,38686,316300,123054,43112,140412,128890,103772,58955,7848,158,14365,124396,188280,129842,25948,10815,90541,145437,136372,83346,16478,80
0,361,25510,117633,99594,16517,195,8442,63916,114209,66380,6473,3151,53514,93178,80063,26401,3308,6563,10127,25586,70182,137781,9376,12110,50723,83763,80949,29453,2617,11237,86553,127237,31375,3203,10,12444,94070,118969,30759,3364,9,11663,54577,83392,72548,32881,4554,4301,13260,45165,113567,80087,3235,7524,4179,17376,73609,126339,30588,558,8327,44632,86128,91953,28017,24984,113776,85742,27171,5470,2472,178
4,1,2,0,1,6,4,5,6,9,5,20,1,7,14,15,14,26,60,12,2,4,4,2,46,19,15,9,7,2,0,9,9,8,10,0,0,10,6,11,15,0,0,3,57,34,43,24,64,13,16,12,23,40,93,2,1,0,0,10,70,0,1,0,2,58,0,0,41,53,5,24,339
18849,152038,246927,236184,251350,269154,9892,47427,160770,233596,338629,384188,11378,59318,124669,197778,376422,404937,6753,10734,23574,53859,185593,893989,5003,8227,31737,151751,420164,557620,44,3102,13145,93229,489557,575425,39,3469,12788,86912,497379,573915,4976,23019,75185,157731,357589,556002,6437,9820,17857,45555,390799,704034,79343,233634,223114,223504,227519,187388,315226,558081,251266,35102,10751,4076,34866,184822,243858,273772,311462,125722,469
2699,37493,43543,62945,74692,21646,2236,47896,34127,58979,86354,13426,5044,51338,50346,80555,53024,2711,52467,85520,70693,26478,6941,919,28599,47935,64587,60782,34660,6455,30340,116603,81723,13200,1135,17,31422,123952,73033,13354,1235,22,25518,53248,62610,56647,37497,7498,39615,47468,51638,73228,28347,2722,15665,62463,91711,56592,16038,549,936,17604,43322,59278,72157,49721,15303,38663,59545,66088,43287,20132,352
23965,18091,12693,18800,22453,3008,13613,19135,12520,14197,31161,8384,6429,18492,16429,16901,33435,7324,19191,21521,18286,23022,15980,1010,2861,20495,26355,26369,22074,856,136,1816,9380,26763,44454,16461,157,1976,9123,24948,45869,16937,1659,16304,23409,22764,29078,5796,17080,18793,11763,16037,31270,4067,4239,31510,28822,19646,11373,3420,208,4802,33316,41915,16372,2397,730,9960,33850,43796,10588,86,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,5,19,0,0,0,0,2,0,0,13,1,0,6,256
0,0,0,0,0,0,16,5,6,2,6,7,49,11,22,5,7,4,209,1,4,3,0,0,344,11,6,7,3,0,0,105,35,0,0,0,0,148,44,0,0,0,351,253,160,70,37,18,880,61,11,9,27,27,113,0,0,0,0,170,470,0,0,0,0,54,5,12,96,68,9,238,598
21133,23584,23991,28897,15751,3325,33210,18745,21047,26736,14306,2658,34685,21419,21858,23695,13204,1856,17910,17293,20275,31542,25500,4221,18660,24838,27511,26807,18443,583,21072,41204,35321,15548,3662,69,20955,43731,33034,15294,3797,65,21187,26521,23770,23340,19481,2503,25367,17908,16755,31903,23265,1523,2267,5734,13679,26865,36908,31264,2779,18143,30372,30449,25562,9393,12916,38337,32744,22848,8647,1245,22
534396,125317,31974,8711,1998,1028,328137,180664,113213,60352,19411,1647,249792,139401,114968,110885,82977,5401,45364,77452,148334,212878,177377,42019,125804,85669,74218,98740,170491,148502,63410,221854,275591,126497,16009,63,62117,236268,263619,124607,16759,54,152148,98478,92112,111496,171539,77651,133857,174765,154827,130234,100429,9312,10421,17962,90852,152389,167096,264704,409864,92846,66783,54211,46122,33598,142729,90889,82048,91577,95438,200743,574
