band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
0,0,4,55,508,2774,20848,129512,323251,6037,0,3,49,681,3551,17409,54864,153207,250285,2940,0,667,3404,8968,21844,49275,83652,140306,169893,4980,740,1172,2917,6459,17231,40539,93922,180009,135781,4219,882,4554,8709,21980,50084,79558,108282,117317,78429,13194,200,6045,16826,57364,75835,94469,84463,75092,57081,15614,204,5856,19454,53975,77468,83481,100927,75755,49096,16773,524,3859,9472,19511,31251,47518,76609,124078,128080,42087,223,314,466,1016,2930,12364,49844,194402,217263,4167,894,74196,81481,80773,75070,65202,55423,35741,12834,1375,9,451,6037,43129,89293,113811,110637,78443,36046,5133,1641,18610,55956,80627,89959,86682,71838,50337,25496,1843,80
0,0,108,3214,22549,65139,77746,60643,26562,3654,0,432,3716,20309,48096,70081,63431,40678,10733,2139,176,7934,33689,49832,58212,53537,37522,13963,3764,986,4625,3239,5973,10913,17526,32572,62973,91606,29997,191,4835,13826,30149,44023,53763,52263,39459,16924,3731,642,60,28749,49464,86752,60002,25121,7725,1701,41,0,71,27672,55488,82713,59539,23877,8892,1337,26,0,3986,14586,33620,45925,51515,47805,34984,19784,5255,2155,2675,2761,7665,17196,32429,56580,84980,49281,5272,776,5969,2185,2386,4909,13630,33513,65178,80025,46934,4886,119,906,4407,15355,32730,47978,58913,56235,35616,7356,4788,38008,71283,67779,42644,20687,8399,2947,2412,668,178
2,2,1,0,2,0,0,1,2,4,3,1,4,5,2,5,4,3,13,9,1,1,5,8,7,10,8,7,23,7,57,5,7,4,1,0,6,1,1,2,25,27,11,8,9,5,8,2,3,0,0,0,4,11,3,2,8,8,0,0,0,0,8,5,3,5,15,6,0,0,0,0,0,16,44,21,20,21,29,10,42,26,8,2,15,7,7,6,35,20,87,8,0,0,1,0,0,0,0,10,70,0,0,1,0,0,0,2,2,56,0,0,0,1,40,46,8,4,1,23,339
2533,34996,96269,138421,145595,147602,130687,139617,290995,47787,3578,10617,24048,71332,108514,132383,157169,195727,424742,46392,3551,15095,36155,56678,83886,107876,142237,218189,451588,59247,4237,3998,6483,9674,16669,26957,45503,96117,401911,562953,3031,3317,5088,8258,25273,66605,143261,248020,410835,260814,0,962,1341,4494,9494,31888,107983,295789,383369,339182,0,910,1576,4234,9576,29073,121795,306018,357411,343909,2782,4093,13586,29864,52855,82694,123679,211220,366556,287173,4070,3870,6021,7792,12361,19102,47762,191847,773246,108431,10013,132528,129547,126633,137370,135820,131539,135601,148278,87173,128970,288834,346258,267246,93265,26739,11640,6408,2440,2702,6569,53917,114042,139931,149087,158599,177064,192994,141131,41168,469
6,8009,25946,28019,21755,32846,48364,44636,30187,3250,64,6658,31607,24980,20950,29396,47402,52203,28081,1677,674,10674,32876,32934,29570,48702,49025,33780,3711,1072,27535,42018,50420,54407,34300,19183,9814,3739,1558,44,15879,20838,29761,34901,39742,38120,32928,19712,9889,1248,984,53347,71671,74419,28245,11247,2472,585,44,4,886,51571,79222,65114,31614,10806,3245,525,31,4,13775,20545,31055,38590,37411,37660,29955,21190,10887,1950,17418,33688,29525,25668,32422,44837,38258,17178,3026,998,11182,10549,38797,57137,52174,39149,23683,8910,1406,31,51,2141,10208,21388,28074,33885,39737,43409,43396,20729,8171,12190,23541,32064,37545,40424,37118,25424,18812,7729,352
11686,17187,10803,7264,7809,10141,13046,14371,6637,66,4584,13592,12062,8076,6954,7608,10273,18254,17577,30,1303,8550,11153,10810,9534,9222,12087,20291,16045,15,7384,16818,12603,10852,11341,13334,14735,9723,2063,157,346,4879,12539,17070,14877,15259,16975,14233,2819,13,2,330,998,3211,6791,13365,20617,27788,22359,3549,2,317,1053,3179,6705,12188,21012,28787,22386,3381,241,3025,10103,14169,13834,12793,15340,18361,10851,293,6702,14857,11188,8264,6625,8309,12574,19535,10944,12,368,8894,19809,19142,16358,12682,9997,6751,3773,1236,37,375,2501,11050,24363,27885,19305,9334,3863,297,41,1577,5584,13531,23807,27895,21219,5080,260,16,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1,0,0,0,6,256
0,0,0,0,0,0,0,0,0,0,14,6,1,1,5,1,1,1,8,4,38,16,6,15,7,3,4,4,4,1,208,1,1,1,3,2,1,0,0,0,313,36,6,1,5,6,4,0,0,0,0,0,77,63,0,0,0,0,0,0,0,0,97,95,0,0,0,0,0,0,206,196,148,142,72,61,12,26,26,0,853,42,40,12,5,5,7,18,32,1,113,0,0,0,0,0,0,0,0,170,470,0,0,0,0,0,0,0,0,54,2,4,8,16,83,52,20,4,4,235,598
8751,18676,11601,13525,16155,18467,13952,10178,4626,750,18644,18523,10420,11623,13792,16783,13061,9269,4429,158,20624,18872,12528,12158,13780,14374,13174,7802,3347,58,10852,10257,10664,11065,12640,18104,20171,15661,6490,837,9812,13507,14850,16559,16281,16127,15863,11802,1998,43,10696,17846,26787,24546,17722,11485,5232,2274,288,0,10528,17543,28783,23020,17846,10922,5933,2068,233,0,9880,17119,15932,14526,14021,13855,14307,11783,5209,170,17178,11767,10532,9658,10895,18511,21315,13733,3065,67,372,2837,3289,5664,9518,14597,19013,22206,25589,13632,540,4476,10828,16571,18879,18263,18305,15763,9174,3899,2546,17671,23617,21455,18708,15172,10804,4973,1262,529,22
375883,202386,68371,29961,15086,6602,2762,1096,699,578,202535,174173,101151,84986,59169,42099,24434,11597,2884,396,163743,120094,82119,69431,68774,64626,67746,51809,14762,320,28259,27213,46098,75338,94242,127628,128448,107105,60364,8729,64090,82610,49901,43411,45679,54418,70943,101859,124784,65729,100,114495,128991,156184,161085,98660,34206,9165,538,0,102,110771,139967,155887,155277,94054,39611,7421,334,0,97921,76116,59154,53374,56173,61588,78182,104746,101963,14207,66680,104366,106636,100214,85553,80973,71662,62668,24157,515,8602,2829,9665,32386,65753,88759,95927,99762,110683,189058,350207,82300,54371,44475,38140,33541,30927,27355,24008,18100,83223,80703,53420,48626,49694,53293,58504,56878,66303,152780,574
