band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
0,0,0,0,14,45,233,716,2333,9013,33121,108226,250253,78892,143,0,0,3,13,138,579,1932,4689,14339,30399,61087,116585,189674,63493,58,0,24,643,1992,3354,7026,13172,21885,36062,49056,73681,101221,122349,52462,62,485,567,860,1707,2743,4926,9379,17703,30688,56166,83723,134042,114869,24796,335,432,1455,3549,5171,8238,17280,29961,43876,55805,69696,79364,76539,58151,30755,2717,0,876,5369,9483,18515,46192,48770,53803,67731,62328,53766,43461,45524,19437,7734,0,943,5117,9649,23322,40458,50666,54937,55346,69170,57109,50403,38463,19315,8091,176,1168,3039,5403,9088,14492,18505,26654,33610,47009,66101,87577,90030,67345,12792,134,199,204,286,414,782,1614,3631,10049,26322,59329,158595,175256,46114,60,99,11350,63641,55270,53164,53820,51328,46695,42249,38570,31247,21347,10478,3442,289,4,44,412,2380,11683,35103,55878,70102,77124,74469,67708,46903,26732,14081,366,140,4896,15215,33387,47718,55478,59416,60611,56614,49690,41859,30626,19847,7271,221,80
0,0,0,23,338,2961,10274,28595,48819,52494,46746,39149,23231,4653,2332,0,23,409,1563,6642,15820,30159,41175,46843,44128,35063,24918,9277,2828,767,0,812,7298,20000,28555,34966,39409,38212,34128,26526,17635,7324,2442,2304,4,3839,1659,2366,3469,5357,8060,10747,15343,24008,37610,57414,59555,28367,1801,20,3416,4147,11098,18301,25871,30000,35591,36971,33464,28686,19069,8628,2895,1392,86,0,960,27849,35090,33891,67235,43918,27024,14181,6254,2718,454,39,2,0,0,1173,26570,36756,42015,59430,44384,26335,12697,6882,2836,511,25,1,0,2855,3757,11960,20513,27155,31877,34051,33871,31398,24743,18578,11447,4444,1640,1326,1793,1616,2027,4193,7932,12736,19308,26014,43687,56987,55486,21788,4028,2007,13,3833,3045,1276,1466,2083,3746,7464,14343,25336,40096,52444,52663,37213,13874,733,44,244,737,2199,5661,11902,19881,27377,33450,38150,41150,35848,27177,12686,3109,1903,10393,30500,46005,49959,43098,31308,20084,11939,6484,3249,1613,1393,1470,217,178
1,2,1,1,0,0,1,1,0,0,0,1,0,3,3,2,2,0,3,2,4,1,2,4,4,1,2,7,12,3,0,1,1,2,4,7,3,7,7,5,7,3,11,13,6,50,8,4,5,5,1,1,0,0,4,3,0,1,0,2,1,39,12,7,6,6,5,6,3,4,5,1,2,1,0,0,0,0,4,5,6,3,0,2,6,7,3,0,0,0,0,0,0,2,8,3,3,2,3,6,15,0,0,0,0,0,0,0,0,3,13,30,25,10,13,11,17,22,11,6,26,28,14,6,3,1,9,10,3,5,3,5,25,17,13,77,14,4,0,0,0,0,1,0,0,0,0,0,0,10,70,0,0,0,0,1,0,0,0,0,0,2,1,57,0,0,0,0,0,0,1,9,55,22,7,3,2,0,1,23,339
421,7178,29930,55473,77885,101332,100512,100387,92298,88582,85815,95907,188038,135991,14753,1115,5548,7532,12395,30729,52256,69899,85051,85947,101213,117181,134502,247193,213832,10109,1879,4422,12345,21766,30284,40783,54569,60929,76264,89902,112622,157902,248385,253952,8498,3235,2160,2840,3911,5341,6905,10372,13642,19612,26902,40564,74154,198555,475670,290639,2402,1496,2450,3218,3664,6464,14147,26653,51078,85146,130158,175977,250557,308259,112833,0,2,960,783,1401,3651,5037,10676,25669,61341,139470,202961,269618,216196,236737,0,1,909,866,1732,3212,5349,10632,22668,57839,145317,224657,251985,211115,238220,2216,1583,3076,7104,14016,22330,33152,43093,59304,75037,107544,152318,211670,338733,103326,3152,1929,2859,3891,4426,5496,7535,10005,13923,26453,51268,161888,449341,419964,12372,2609,22985,116947,89469,80967,85744,90743,92423,90024,87684,87935,91521,97896,96546,41009,57806,160051,199947,227182,228321,158001,74944,30585,14475,8363,5984,3701,1824,1222,2096,1029,16293,43164,71649,87553,94771,98861,101839,106986,115173,126908,127977,105690,56438,20171,469
0,303,7712,13464,18713,21788,14476,15080,25045,30099,33281,29620,23214,8267,1956,0,249,6473,18322,25088,13177,15765,14226,20355,29583,35331,34691,26209,2620,929,13,2146,9189,22664,22370,20776,19404,25101,33767,31853,30811,20141,3015,1566,202,16456,23477,29620,30629,37805,36393,25074,17074,11335,7295,3945,2313,1181,418,3,11628,9616,15473,18181,21636,24845,25922,27663,24277,22662,17738,12240,8035,2667,435,0,12793,41538,51194,41418,53478,21673,11455,6364,1953,889,215,42,5,1,0,13616,38841,55176,47741,41419,25134,11899,5387,2548,1004,218,29,5,1,10905,7993,15422,18685,25761,25199,22403,26299,26369,18987,18500,13658,8882,2687,1268,10872,17603,22631,19690,16287,19216,18536,29767,28956,28391,18919,8126,2276,1542,206,9379,3296,9056,22514,33883,39537,35846,30943,24534,17443,10565,4585,1269,165,3,7,293,1892,5561,10787,15248,18167,20534,23258,25393,28725,29028,28841,24984,10300,2189,9523,8649,14539,19066,22000,24792,26830,26347,25664,21495,15383,12450,11386,2705,352
5115,12229,11529,6957,6226,4884,5586,5437,6927,8659,9133,9625,5987,707,9,1422,7656,9098,8391,6181,5566,4645,4929,4988,6589,8370,13568,16343,1259,5,333,3151,6369,7601,7467,6895,6598,5982,6176,7679,10072,14627,14800,1260,0,2092,11253,10857,8847,7663,6945,7296,8655,8724,9688,9028,5742,1792,364,64,84,1149,3992,7577,10554,11478,9841,9835,10460,11110,11376,8722,2705,124,3,0,32,300,586,1034,2589,3969,6076,10111,13398,15210,19797,16546,8537,825,0,39,280,525,1289,2418,4037,6022,8834,12760,17996,19043,16515,8459,793,58,679,2529,5883,8814,9575,9614,8327,8686,9971,11408,12322,9238,1895,11,2480,9328,9751,7700,6614,5138,4260,4923,5751,7728,10384,13997,10329,625,2,51,1331,7880,12971,13516,12464,11251,9761,8028,6964,5632,4152,2813,1669,527,7,94,311,1151,3447,8953,15174,18816,18258,14030,9398,5211,3153,955,52,9,234,1375,3031,6041,10043,14856,18125,18721,15901,8383,2015,239,32,5,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,6,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,1,0,1,4,2,0,1,0,1,7,1,4,31,11,12,6,0,15,4,3,3,2,5,1,1,4,0,207,2,0,1,0,1,3,0,2,1,0,0,0,0,0,246,88,15,3,3,1,3,3,5,1,3,0,0,0,0,0,0,0,56,49,35,0,0,0,0,0,0,0,0,0,0,0,0,41,107,44,0,0,0,0,0,0,0,0,0,151,123,128,119,83,88,56,38,39,9,11,18,17,9,0,818,45,32,32,14,6,2,4,4,4,8,13,22,11,0,111,2,0,0,0,0,0,0,0,0,0,0,0,0,170,470,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0,4,2,4,7,13,23,85,27,16,6,2,4,2,233,598
4146,9827,13454,8820,8470,7836,12037,11125,11460,10430,7721,5979,3459,1876,41,9260,17500,10407,7333,7455,7255,8531,12155,9889,9953,6795,5582,3268,1311,8,10526,18272,10698,8596,8012,8078,9136,9771,9247,9321,6699,4956,2752,648,5,7264,7148,6697,6998,7096,7635,7787,10737,12220,13438,12927,9467,5232,1868,227,5008,9334,8977,9616,10563,11230,10807,10779,10822,10680,10088,6897,1900,137,4,172,15980,12390,19744,13990,17599,12215,10016,6976,4063,2447,996,283,5,0,184,15987,11900,20300,16315,15188,12568,10026,6174,4372,2580,1049,227,6,0,4678,10833,11488,10536,10173,9749,9597,8915,9364,9485,8948,7657,4547,805,27,12278,8706,7961,7897,6433,5860,8115,8264,13027,13392,14275,7381,2689,432,11,90,1286,1833,2011,2781,4161,5843,8005,10267,12268,13724,15227,16521,17369,5331,157,1187,3672,6487,9419,11493,12632,12275,12235,12186,12069,9813,6490,5844,739,443,6324,13450,15850,15186,14036,12907,11358,9615,7676,5537,2564,949,516,326,22
236926,238884,102459,47872,33572,16888,12182,5935,3571,2109,1135,614,481,383,413,133633,134407,108668,71121,60972,54044,40221,35233,25814,18253,11595,6183,2440,593,247,115823,94680,73334,54490,50866,46194,44830,44082,44488,46259,40495,32801,14014,904,164,20984,14868,19620,28000,39344,54092,60818,74345,86707,85250,83358,66945,47127,19209,2757,26540,72351,47809,34057,30716,28539,29860,32740,37497,44322,57228,71252,84075,71054,35384,0,10498,104097,91660,79009,114506,110916,90072,58757,27837,12619,2915,532,6,0,0,9239,101634,90847,96665,108342,107814,87584,53933,30553,13292,3187,329,5,0,56873,69694,47470,40139,36450,35939,36439,38097,43225,49908,60769,72251,74968,38730,2472,38682,59512,72852,69210,68366,69274,55425,56903,54198,49261,45312,39757,22440,1986,246,7902,1545,1984,4480,12472,25099,40712,53276,60524,63630,64726,67333,71497,84496,143748,307104,76147,49256,37801,32402,28643,26008,23306,22367,20670,20046,17566,16595,13923,11590,28240,89270,46416,36515,33177,32354,32893,33934,36160,38284,40031,37067,39314,62063,117706,574
