band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
0,426,4175,44570,207754,184748,41316,8,980,24105,135474,145894,126675,49853,348,42712,113889,107120,89047,93397,36476,2648,4779,10236,25180,92490,263128,84528,6380,45453,101515,134798,95840,74065,24938,615,94792,191329,100619,71046,22047,2541,633,95645,188163,108684,65102,22204,2558,9806,81439,113272,87887,69126,74877,46582,1278,2355,8986,44910,137542,237491,50427,4761,42627,50046,65201,105466,169090,45798,17,1411,38149,142795,163871,96156,40590,39226,179989,123705,68237,48018,22315,1499,80
0,2,108,4654,54513,173311,27027,0,376,12980,71912,108417,61762,4168,405,41429,80911,72243,47800,15127,1700,6086,5126,10945,24708,56349,134073,22328,9645,41729,64606,68941,50908,21688,2098,2417,136704,86542,19789,8622,4746,795,2787,139318,83835,20200,7919,4748,808,13172,53166,60473,56690,45551,27307,3256,2565,5153,18334,43624,114798,73096,2045,5634,2805,7011,22371,66906,126788,28100,586,4745,21081,43287,61841,85836,42239,31378,105923,72467,32290,12030,4043,1484,178
0,0,1,3,2,1,7,0,2,5,10,7,4,21,0,0,8,21,8,19,21,55,7,4,5,8,3,2,39,20,9,13,12,4,1,0,2,7,20,5,2,0,0,1,11,24,4,2,0,0,0,31,45,24,33,28,52,22,8,9,13,20,44,91,5,0,0,0,0,10,70,0,0,0,1,1,60,0,0,1,80,16,2,21,339
1603,19148,103162,228991,282482,266498,272618,3002,11534,46964,153471,259129,359315,341087,2851,16833,60764,127249,207609,408185,351011,6558,8692,15695,32965,69100,257175,784317,4067,5011,12605,58257,185101,404711,504750,26,3550,13208,44030,253374,544520,315794,29,3564,12502,52163,245659,548000,312585,3132,8672,34225,84817,161867,354285,527504,7234,7963,12077,26362,87203,535396,498267,50188,238575,222414,195032,196174,216158,55961,190158,397184,391208,152527,29955,9579,3891,9270,121508,196089,201066,260493,271721,114354,469
430,31583,48790,65834,68963,23585,3833,11444,61737,52271,74752,33197,7540,2077,43400,68330,61632,48965,17096,2378,1217,30371,76548,76997,37763,15287,5474,578,35976,57134,59732,50070,28117,11115,874,48369,180267,13423,943,16,0,0,43425,184545,14089,950,9,0,0,49850,62733,52398,46860,22517,7350,1310,33983,82184,75953,35202,12677,2063,956,13156,4798,24570,54864,49347,55473,40810,2087,17097,36938,45914,46855,56499,37628,22515,61879,54272,45602,35989,16154,6607,352
34143,20177,16168,16754,8472,3092,204,36408,17648,17247,13934,9340,4171,262,36674,19059,15308,12772,9638,5373,186,9169,12122,16500,21989,21489,12009,5732,22299,25281,23014,15911,9648,2810,47,12269,52836,28924,4516,450,15,0,12249,51883,30500,3998,366,14,0,27991,22558,17063,14620,10645,5645,488,16797,14328,19106,23014,18363,7217,185,671,3228,6032,10012,16066,21930,41071,706,7818,18319,21261,20982,20290,9634,27398,31440,21661,13435,4600,470,6,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,18,4,5,1,1,8,5,42,19,17,5,3,7,5,207,2,1,3,3,1,0,335,16,2,5,12,1,0,0,26,107,7,0,0,0,0,20,161,11,0,0,0,345,213,161,72,38,45,15,864,45,25,9,8,29,35,118,0,0,1,0,1,170,470,0,0,0,0,0,54,6,7,34,113,18,8,240,598
6735,25473,26844,32052,17597,6336,1788,11391,25271,27884,28407,15866,6293,1724,18071,39439,26661,17845,9208,4707,913,8776,10912,13810,20974,28772,28135,5467,12074,27849,36073,25451,11797,3555,47,10134,52276,40867,11208,2241,130,0,10664,52094,39723,12405,1839,131,0,12464,36274,32507,19477,10184,5409,531,13697,14755,18192,24054,33389,12053,693,1736,2809,4622,9042,19875,47158,31598,185,2710,12032,24973,35774,32524,8632,15248,51437,28087,13552,6588,1671,257,22
295250,198421,122543,58326,23560,4763,561,184165,149123,126601,108824,87429,44887,2395,136669,109193,93015,100236,120732,131080,12499,30906,47800,82266,149456,200643,164856,27497,81595,58728,49883,57090,82084,161264,212780,665,86893,89059,114971,189488,159344,63004,755,85595,88056,128713,167041,168848,64416,98328,64351,57944,65445,94196,186011,137149,66039,118985,120870,122482,133182,128762,13104,7278,40246,123171,134096,118837,120475,159321,460703,81940,51432,37926,28456,23311,19656,102168,61833,51500,54008,63055,72541,298319,574
