band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
0,1,78,563,1767,5035,17068,71506,127926,120388,85420,52710,527,0,12,257,1423,7430,31918,76006,93380,78444,64532,69420,60066,101,0,656,12495,44172,61332,63581,59456,52701,45827,46827,51421,44374,147,1239,1702,2360,3360,5017,7630,12965,25348,53219,102071,162769,99719,5590,1534,6910,22956,29518,51631,72319,74452,62357,49387,43315,38189,27976,2445,0,1118,30682,91136,109361,83420,53970,46097,34800,20073,9192,2824,316,0,1048,28987,88554,121225,76235,58369,42168,33754,21396,8189,2712,352,978,12598,40686,54578,61922,57700,45656,40165,36574,38204,41348,42050,10530,620,759,1037,1767,4028,10491,20932,47555,78204,129888,125508,61773,427,236,7041,22344,24519,26939,29619,34579,43683,58541,80227,96689,55754,2818,4,17,320,2072,13956,48692,77853,93591,87342,68073,44413,43866,2790,3141,46375,96775,97957,69145,48125,36240,29870,25524,18016,9565,2229,27,80
0,0,0,2,16,291,2291,7756,31329,80339,99340,36517,1734,0,0,72,713,4508,18633,37730,56311,59752,48557,27570,5102,667,0,732,16292,36582,43553,43655,39994,33105,23488,14692,5397,2012,113,3860,2702,2522,3565,5215,8659,12905,19005,31822,53409,82357,33421,173,4058,7714,20074,28447,34389,37015,37235,33860,26966,18032,9076,2624,125,0,5152,55142,104405,48539,19697,10399,5179,4484,2603,2952,1013,50,0,5424,54383,103913,52287,16535,10884,5288,4292,2705,2770,1079,55,3379,12557,27689,31529,33132,32699,30701,27173,24085,19508,12785,3769,609,1242,1497,2150,4476,9054,14588,22602,36592,67111,77649,20024,2564,66,4590,1200,1332,1922,3372,6146,11544,21735,38140,60001,72852,35968,813,126,589,1723,4611,10398,17250,23412,28521,33725,42469,47591,42964,6236,3682,34834,58330,54963,40845,27193,17150,10189,5837,3005,1846,1441,300,178
0,0,0,0,0,2,2,1,1,0,1,1,6,0,0,1,2,1,5,6,5,4,1,3,12,9,0,0,0,0,5,8,11,13,0,3,13,19,5,48,8,4,2,1,3,4,3,4,4,1,0,2,0,40,10,12,4,3,7,6,11,2,1,2,0,0,0,0,2,5,7,7,11,2,2,0,0,0,0,0,0,2,0,13,15,6,4,2,0,0,0,0,0,0,0,17,32,24,8,13,15,17,29,6,13,45,14,3,5,5,4,8,6,9,10,32,14,81,13,2,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,1,0,1,11,49,0,0,0,0,0,6,62,25,2,4,0,1,20,339
43,1875,5859,22649,50014,83569,122228,155224,154300,137975,142966,264381,33419,427,3536,5314,9072,20073,46535,82544,115773,139253,167893,210195,347656,26231,396,3021,5989,15590,30549,47230,71197,89196,112974,155295,249467,360569,33029,3562,3531,4442,5567,8176,11033,17125,26205,39558,65469,165747,511652,312435,2279,2076,2532,3311,5650,12464,29898,62447,105115,157682,238851,371966,180231,0,86,1581,2957,5532,12546,22374,63019,141866,242924,328751,241545,111321,0,78,1459,2899,6415,11515,26618,60902,138498,263886,309803,238197,114232,1837,1662,3338,7828,16462,29779,44682,64710,91041,135337,212990,367783,197053,4179,3431,3945,4837,6343,8560,13760,22659,48494,130639,360445,529828,37382,6734,60300,134017,119942,123288,114303,104363,101658,105974,114836,118700,64727,5660,52815,164932,208827,225304,221630,164072,77827,29401,13522,7798,4110,2345,1919,1267,11417,52854,94357,105703,106663,107957,116023,144129,167237,135678,100831,30385,469
0,803,11659,27384,26953,24625,34220,45737,34961,24297,8195,2732,1452,302,15329,37997,26764,26361,35199,43336,30277,15303,7077,2745,1620,708,2791,47396,39841,31240,32235,34233,26429,16187,8027,2361,938,1063,277,16801,17315,36818,50571,43581,30408,20691,11934,7327,4269,2475,795,33,16335,23636,29979,32855,32024,30146,27247,21407,14218,9642,4473,734,322,0,71265,130936,30501,7845,2062,358,51,0,0,0,0,0,0,65383,131192,35542,8591,1882,388,40,0,0,0,0,0,19565,35620,35274,29365,29183,28625,26041,16741,11279,7464,2443,662,756,15091,23868,42858,49034,42563,29710,18178,11877,6032,2075,701,836,195,11275,2213,2192,3662,11346,22838,30473,30165,25764,24695,31950,39798,6647,202,2505,7642,13245,19083,23949,24881,24470,24935,29587,30621,26506,15392,10605,15882,33628,33661,29613,26188,24482,22991,18980,12244,7249,6012,1483,352
15075,21194,11679,8677,8459,10498,8496,6537,4215,2585,1304,290,1,19652,18274,10294,8120,9260,8999,7799,6159,5084,3231,1729,408,1,20468,18139,10578,9258,8153,7605,6905,6133,5084,3918,2434,334,1,3975,6099,6364,7011,8668,10537,12070,12464,11074,8628,5706,4090,2324,9497,14627,13388,13925,12667,10553,8685,6812,4938,2840,1009,69,0,11,16025,26988,27300,19181,7146,1658,512,158,27,4,0,0,8,16333,26287,27866,18814,7375,1719,446,132,27,3,0,0,12051,18198,12996,10258,9197,8670,7856,6788,5598,4148,2581,660,9,9817,7736,7543,8228,9881,11306,13145,12306,9364,6566,2792,325,1,80,776,1530,2172,3158,4050,5371,7065,8989,10447,12250,20196,22926,68,854,3080,6846,9709,11260,11345,11525,10988,11677,10585,9312,1761,5842,24753,18051,13959,11860,9971,7253,4489,2069,666,86,8,3,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,1,3,1,1,0,1,3,4,2,4,33,12,11,9,8,7,1,3,1,4,3,4,2,205,2,2,1,0,0,2,1,2,2,0,0,0,298,40,11,2,1,3,3,3,7,3,0,0,0,0,0,0,48,73,17,2,0,0,0,0,0,0,0,0,0,46,100,39,6,1,0,0,0,0,0,171,191,140,110,86,34,46,32,15,17,25,22,0,824,50,21,17,21,5,4,2,3,11,18,38,1,118,0,0,0,0,0,1,0,0,0,1,0,170,470,0,0,0,0,0,0,0,0,0,0,0,54,4,2,3,7,13,35,81,23,8,8,2,3,237,598
935,7438,15326,10775,15369,17347,16295,14787,8662,5047,2784,1852,208,1651,11735,14354,12800,15616,14836,16754,11715,7860,4589,2831,2086,9,1893,19553,22733,17553,15275,12087,9836,6702,4419,3287,2311,1195,0,3641,5910,5765,6167,7442,8819,11030,13309,16642,17050,14200,6216,655,3199,10387,13986,17639,20023,17995,13889,9225,5777,3459,1171,96,0,466,13428,27662,29078,21948,14922,5638,2715,778,204,17,0,0,435,13390,26799,28545,25111,13098,6238,2274,744,207,15,0,0,2306,12365,19998,19734,18340,14382,10188,7101,5275,4048,2400,705,4,6656,8199,7774,8453,9517,10752,11955,17670,17970,13302,3651,934,0,298,1664,1407,1675,2337,3407,4767,7130,11122,18291,28163,32640,3939,20,218,946,2773,5845,9828,13469,16913,19584,21001,15957,8861,1415,606,18672,30193,23032,15570,10791,7124,4885,3423,1647,605,207,85,22
158752,153642,115553,92578,64731,48354,31732,20034,10514,5127,1704,587,116,101863,94319,86698,71450,65502,65629,60256,53743,43691,36786,19618,3819,50,84374,61563,61612,52662,51439,50500,52980,58292,66699,72576,71058,19590,79,17173,16852,23234,31694,43787,55693,79650,98444,110831,111637,79715,31479,3235,27038,60482,32962,27591,26945,26908,30760,35914,45112,61665,96953,130345,100749,47,1596,46162,52201,45495,57160,59553,90665,96072,95089,86626,48636,24122,50,1527,40349,55586,51157,50133,68525,80870,93601,105081,84307,45918,26320,55628,48520,35491,31941,29853,32583,34659,41125,52814,74137,111751,126387,28535,28514,46091,59225,72732,65030,65107,63784,65007,73174,80549,64645,19411,155,6109,1635,13624,39963,66828,74691,72427,67436,63071,62510,65743,69045,100342,387475,81845,47742,34577,28202,24067,20403,17308,14903,13621,12008,11903,9370,55720,52215,34601,29530,27659,27754,28926,31137,34627,36620,39548,71886,233201,574
