band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
28,2986,75709,301497,102769,119,13676,172051,193680,103463,4336,128485,151032,122642,76494,4237,10323,37750,224389,206290,21044,103924,184484,121103,52434,11099,244221,147445,73531,6693,10262,247520,150688,67841,6678,36680,146041,123754,99197,77317,1917,7595,65876,276041,131560,20264,66461,92585,186840,116839,146,22767,194847,193430,71799,104346,220131,97520,53968,7024,80
0,51,8082,157170,94312,21,8964,98164,132681,19785,6791,99828,100795,47565,4636,8018,11685,35352,119953,84607,22505,79022,95365,55661,7062,28841,191058,27145,9669,2902,29243,190980,27524,8908,2960,31611,83642,78347,54970,11045,3932,16024,65178,165679,8802,6537,6824,32961,133589,79704,1559,18846,60220,101014,77976,72478,126589,46565,11223,2760,178
0,0,4,3,7,1,6,12,6,24,0,7,28,8,34,58,7,8,8,3,45,21,16,13,3,0,8,22,6,0,0,7,29,6,0,0,20,59,35,47,68,12,15,18,55,96,0,0,0,10,70,0,0,1,61,0,1,87,11,21,339
5187,89651,319375,370979,389310,6729,38127,213857,407199,508590,6388,57047,178011,377203,555853,9667,17080,46292,156873,944590,5847,11449,86369,360202,710635,996,11617,69697,554356,537836,985,11767,79878,549020,532852,5173,31105,118797,315758,703669,9928,14251,38267,288620,823436,148245,320137,275744,290495,139881,339449,573611,227731,27417,6294,37969,248757,284825,395338,207612,469
5057,65985,92735,71809,7432,38717,72807,99451,28296,3747,75728,84418,67717,13276,1879,53053,119018,53919,14875,2153,57742,83428,69133,29772,2943,154600,86786,1628,4,0,161233,79988,1796,1,0,76405,78749,62493,23009,2362,60598,120636,49839,10559,1386,14754,19704,74041,67490,67029,6623,40525,63902,71838,60130,46084,82709,63841,38941,11443,352
44375,22866,22216,8639,914,44510,22818,20399,9957,1326,45248,22928,17875,11454,1505,13857,19996,30635,24931,9591,32002,34425,22503,9603,477,31263,60150,7298,299,0,32209,58772,7807,222,0,38557,25887,20297,12320,1949,22080,23529,32186,19669,1546,1723,6761,14178,25654,50694,2435,20268,29709,29333,17265,42097,34480,18882,3500,51,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,21,5,2,5,9,55,18,11,6,8,208,2,3,4,0,347,6,5,13,0,0,125,15,0,0,0,160,32,0,0,447,259,96,50,37,891,42,11,18,53,118,0,1,0,171,470,0,0,0,54,9,24,133,19,241,598
16888,35395,43947,17080,3515,21804,36487,39202,15646,3697,35791,43961,24713,9914,2465,12934,17593,29231,41862,15226,21568,47519,35777,11400,582,30871,66755,17721,1506,3,30655,67368,17594,1236,3,26550,49490,27185,11670,1951,19505,22893,34877,36972,2586,2838,5126,12974,41095,54807,638,10793,34986,51535,18878,37735,52834,19468,6236,567,22
390622,207404,83204,20649,1545,246719,188532,153651,100419,14103,184792,137108,139301,181620,60603,46085,94972,204763,279388,78216,109181,70886,81556,147430,294371,17872,141765,162247,264569,116971,19924,137662,173898,254181,117759,126256,81345,94018,173996,227809,108238,176302,171232,192240,55412,13503,129538,186524,164183,209676,500349,84684,53283,36843,28265,129662,75657,75849,92367,329889,574
1783,74701,285639,386931,124213,8550,125308,293300,317561,128548,12556,128918,290881,314014,126898,220789,175475,171989,225718,79296,71216,173402,244091,287726,96832,1861,48619,151288,385342,286157,1946,49467,161315,378216,282323,27211,140752,243616,320246,141442,99251,150271,222114,297863,103768,191539,319161,181088,135141,46338,32399,242164,232106,211265,155333,35805,155696,285739,289496,106531,474
291224,17284,1619,1328,3025,304810,4882,1399,1330,2378,307696,3404,1393,1148,1552,55218,35413,42259,59664,123091,198858,82317,28705,4809,2308,317477,278,10,0,0,317489,265,11,0,0,296315,13366,3328,2018,1443,151427,64701,56040,38339,8212,300,583,1419,5383,307042,63689,60511,50005,52691,85222,295467,13405,2642,749,419,281
324209,58452,13227,2702,1371,327540,57010,10960,3092,1359,331292,49393,13589,4489,1198,25887,59528,157462,132127,24957,193944,99875,60244,35840,10058,11323,118548,195461,70864,3765,11089,118049,202690,64366,3767,259328,85351,35057,16812,3413,161649,177088,50524,9507,1193,5043,3420,10116,39871,341511,100047,88431,83524,81716,46243,232035,89776,39952,20392,17806,569
7,1287,9305,177222,71211,138,3709,43916,194986,16283,520,13438,128648,110536,5890,21615,74209,110114,51001,2093,1436,31633,110228,96065,19670,1409,71328,134210,50853,1232,1219,72121,140435,43903,1354,1490,30713,108616,97884,20329,4287,30047,118183,101767,4748,5807,88670,127361,36633,561,5302,50798,87956,93140,21836,1096,39526,99347,86213,32850,229
