band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
0,149,1978,12970,88549,211956,143300,24087,1,489,7295,65731,146421,116716,115853,30483,115,21121,90362,101753,86844,75286,84488,23020,2231,3749,7116,14091,35996,121668,246423,51715,4448,33600,66581,119393,103330,77092,61952,16593,216,54424,171663,120279,70426,48764,15392,1825,231,55875,169499,117397,75692,49436,12980,1879,4972,61324,96304,89723,66115,61135,66850,36566,1071,1672,4888,19955,64905,169128,189517,31853,1862,33814,41931,49500,68353,110532,149235,27762,11,548,12503,88387,147238,129054,75076,30172,25182,147763,133228,74651,50251,36477,14796,641,80
0,0,17,1062,11320,86980,146679,13557,0,131,4505,36724,84781,88368,42602,2504,83,24828,66756,69780,54915,33042,9043,1168,5502,4214,7593,15037,30299,64559,122701,9710,7348,30426,51932,61533,55034,37850,14252,1240,396,88447,123379,27655,8638,6386,4274,440,442,91998,119524,26163,10734,6338,3964,452,8981,42002,53121,52371,45877,35590,19584,2089,2197,3574,11020,24878,60021,121615,35142,1168,5404,2104,4375,11574,32259,77228,110767,15904,415,2801,12595,29973,44832,60787,77257,30955,20858,90796,76721,41033,18716,7337,3057,1097,178
0,0,0,3,2,1,1,7,0,2,2,8,9,4,7,17,0,0,5,13,19,0,21,19,54,7,2,3,8,7,1,2,31,23,12,6,12,11,2,1,0,0,7,13,12,3,1,0,0,0,2,25,9,6,0,0,0,0,14,50,20,24,38,15,42,31,7,7,10,12,19,40,91,5,0,0,0,0,0,10,70,0,0,0,0,1,3,58,0,0,0,41,53,5,1,20,339
746,11015,55288,152807,241373,238312,259282,215679,2217,8955,23117,87102,177381,245226,360129,270375,2056,10248,38265,82776,141360,213559,410261,275977,5653,7151,11258,20177,38036,82196,319834,690197,3533,4111,7096,25373,92265,205809,410753,425562,0,2260,7548,22678,78337,296343,512655,254681,0,2253,7342,21308,84015,325719,481947,251918,2694,5492,20240,51765,99225,178813,360859,455414,6350,6405,9179,15267,35159,128620,601449,372073,29118,203448,196534,182392,166091,178176,182878,35865,147407,334446,365787,238051,61301,17581,6622,3307,5396,81326,165507,173949,185931,254934,219003,88455,469
130,16891,46422,43621,70656,48695,13618,2985,5997,54184,40878,60662,56804,18301,4518,1674,30913,66552,52669,52586,29131,8536,1638,993,25874,57676,76134,47672,21874,9713,3770,305,30068,48087,52987,48391,35999,19970,6806,710,17639,195088,27694,2457,140,0,0,0,17606,194492,28058,2680,182,0,0,0,40484,58012,46902,45736,30867,15804,4066,1147,27435,68090,74054,44039,20739,6657,1217,787,12577,3724,12340,39471,49498,40754,53804,30850,1288,11849,26754,39170,39961,43735,49228,31033,17159,51598,51044,42000,37853,26203,11974,5187,352
29956,20264,13500,16024,11481,5645,2037,103,32752,17631,14608,13979,10283,6876,2781,100,33184,18376,13959,12256,10196,7419,3561,59,7760,10179,13286,17162,20209,16410,9340,4664,19185,21913,21450,16700,11628,6547,1570,17,6656,42536,39179,9547,904,177,11,0,6758,42895,38232,9832,1135,153,5,0,23593,22392,15692,13694,11422,8047,3922,248,15058,12049,15197,18925,19671,13731,4325,54,375,2479,4406,7010,10977,15636,20825,37302,437,4956,13851,18397,18472,18428,17145,7324,21814,30628,20607,15443,8075,2270,169,4,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,16,6,4,1,1,2,8,4,41,18,14,7,4,4,5,5,206,3,1,0,3,4,0,0,333,17,2,3,7,9,0,0,0,0,120,19,1,0,0,0,0,2,138,50,2,0,0,0,286,232,178,61,59,23,42,8,851,48,31,9,5,12,37,22,118,0,0,1,0,0,1,170,470,0,0,0,0,0,0,54,5,5,19,90,52,11,4,240,598
4707,21108,22250,28244,23495,11333,4359,1329,7540,23093,21441,27579,21267,9966,4790,1160,12763,36365,26288,19066,11751,6456,3747,408,7462,9227,11140,15199,21953,26957,21526,3382,9685,21944,30693,28591,16178,7822,1920,13,5189,44116,42549,19168,4874,912,48,0,5352,44013,41966,19332,5290,875,28,0,8820,30713,31129,22002,12527,7648,3706,301,12072,12766,14883,17447,25286,27474,6622,283,1334,2435,3256,5879,10885,22943,46831,23277,109,1544,7253,17078,26349,33282,24844,6371,9205,46913,30328,16247,8695,4278,971,203,22
259025,199419,121011,71627,35364,13702,2881,395,161856,134751,117401,104854,85503,67635,30467,957,121193,101952,80486,83503,95068,111645,105039,4538,26592,37584,63397,97440,156911,180808,123774,16918,69581,58184,43587,45781,56607,84424,163439,181821,306,59746,84806,89261,118941,160686,138456,51222,314,59114,81322,85305,128107,168362,128789,52111,89015,58680,50457,53254,64780,98240,184300,104698,53677,100166,106870,107792,106195,121393,101651,5680,6821,21678,90513,120401,111423,101507,108313,142768,444709,81949,49943,37994,29066,23090,19589,17084,92398,57883,46036,45564,49702,57960,68634,285247,574
83,5809,45323,139187,224509,254435,169680,34241,1865,20167,83810,160602,202562,200784,180797,22680,3302,24494,87372,160273,197343,192511,192259,15713,138145,130172,108771,101196,115202,141326,124425,14030,27046,82890,111270,132157,172963,183803,138325,24813,0,5433,32912,76158,120763,218917,326091,92993,1,5415,31998,73145,128211,229224,312218,93055,15297,31202,95098,142285,163211,200217,185635,40322,54664,80237,92902,118963,156524,189993,165260,14724,67371,214971,196869,134443,95895,85546,68291,9881,5054,68347,165079,165551,127133,127881,154829,59393,11814,50980,102133,157074,195455,190791,126006,39014,474
237038,64736,6306,1426,784,815,1127,2248,285382,21622,2432,1029,798,784,1220,1532,301010,8097,1753,1037,738,716,890,952,40209,23480,22667,23615,28506,36145,53564,87459,144177,81050,49085,27041,9560,2952,1855,1277,313930,3712,109,11,3,0,0,0,314318,3329,103,12,3,0,0,0,240397,62541,6002,2716,1650,1262,1030,872,112610,55674,41415,35281,31863,26127,13706,2043,58,387,334,654,1199,2742,10744,298609,39389,40397,37410,33301,29556,31532,43350,57183,258320,43401,6511,2454,946,527,240,283,281
256066,91191,32287,12454,4567,1647,916,833,252445,99496,29333,10873,4011,1952,1104,747,261779,90130,25701,11957,5543,2938,1450,463,15682,19272,40442,77429,115422,85524,38306,7884,125817,98045,60904,43234,32155,22874,14105,2827,59,34114,77779,119912,112656,45162,9397,882,63,34091,75057,115963,120682,45143,8067,895,188978,101134,48564,26946,16800,11298,5470,771,81676,136615,104882,50009,17732,6845,1704,498,4486,1106,2211,4295,8861,20771,66575,291656,64470,58152,54850,53495,51189,51497,45632,20676,161859,101724,51033,30424,20146,13208,8977,12590,569
4,11,862,3174,10233,84470,157115,3163,13,498,2502,8525,54875,145379,45527,1713,22,1517,8117,47502,107620,76939,16477,838,8691,25617,48579,69766,63915,35624,6575,265,533,2806,21423,57648,76152,63463,33730,3277,3,10107,46929,91866,72344,31267,6511,5,3,10491,44869,89839,78236,30642,4946,6,372,3225,20594,55695,75746,64273,35353,3774,1086,6933,18851,54698,93113,70451,13035,865,554,15435,61231,88499,65791,24897,2594,31,668,11922,34324,51650,57518,59831,39993,3126,114,4263,27377,54660,66765,57465,33837,14551,229
0,651,13601,29517,15617,58420,149469,7298,234,14453,27573,12679,28219,93096,94242,4077,732,21455,25299,23521,68000,98658,34225,2683,6210,26309,24701,39418,71942,78859,25295,1839,2719,7162,19850,45776,64869,63516,56844,13837,7,2957,33270,87881,78788,56014,15476,180,6,2912,32465,84271,85200,56550,12976,193,1861,9219,24087,43133,60532,65809,57646,12286,4855,21080,17688,23148,68993,99522,36349,2938,1192,8567,41728,81708,79767,47676,13673,262,5256,32099,53702,55325,48725,45190,30119,4157,657,10907,38710,54907,57595,51026,36841,23930,237
62565,165418,152547,115979,72876,34936,12331,943,31872,121014,100159,99108,99658,93795,67162,4827,32709,76273,52682,58022,71822,105746,186552,33789,53532,65906,67421,78616,93822,114532,112806,30960,40742,37941,23816,29765,46458,74886,140151,223836,0,4204,46988,45314,51063,110949,257665,101412,0,3961,46545,42942,54389,116099,253823,99836,48528,38191,24752,30313,48162,84783,176909,165957,44246,69036,77015,80771,84931,100149,132789,28658,4632,133324,192634,81751,51480,43401,59532,50841,402927,76768,31690,17994,14762,19003,32186,22265,43529,43813,23343,21860,26092,35846,52748,370364,567
