band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
755963,199138,51790,22712,15375,8882,3785,1789,434,249,132,773226,165888,43260,23905,16362,14346,10698,7941,3680,804,139,704073,180881,58794,30256,24448,19535,16233,13304,10114,2495,116,112282,203382,169169,131220,108207,107519,75347,64176,47973,31030,9944,257729,338030,126043,72176,50317,43330,38731,37914,38612,37714,19653,0,8662,252345,289719,159789,136539,75175,56749,46471,27445,7355,0,16918,231243,290142,195053,118302,71936,55073,47825,28108,5649,407337,275105,109063,59755,41910,35187,30196,29370,31270,31852,9204,540905,256051,107193,55818,36829,24496,16586,12192,8276,1787,116,20128,2605,8952,16476,21625,27174,33752,43652,71867,189450,624568,181689,98437,90627,84446,81821,84609,92003,108111,104675,95686,38145,237669,304477,122327,72390,51746,42242,37139,34412,31457,34370,92020,563
0,3821,15594,24887,46899,82332,130006,107720,63681,27464,1729,3,1307,7125,21058,59579,89820,114514,98699,81633,28779,1616,10,2908,12232,27509,59694,102108,124484,105943,52159,15428,1658,5912,17275,32092,35389,47868,70307,93910,102438,70326,26525,2091,4490,1967,5642,18402,53071,99791,129845,108009,61361,18446,3109,0,307,3609,13552,22705,38703,40987,52054,71268,98748,162200,0,416,3103,12732,27908,34831,40666,50748,72733,109566,151430,3561,2075,7254,19895,45698,80343,108017,105860,88254,37715,5461,4437,2269,7038,21272,56164,76479,105769,121568,86983,20508,1646,4957,9218,36766,59947,79605,94404,92570,72324,40885,12800,657,688,5563,35205,89754,112065,97561,73744,49874,25539,8789,5351,1478,7365,28684,61210,85360,91793,83200,63783,42683,28970,9607,170
92,16106,45261,55158,48485,51911,49056,32664,22502,11377,4263,111,12887,38200,59288,56123,55631,35769,33663,26423,14735,3975,877,25214,55802,51713,48940,43630,34227,29592,23551,18740,4529,21312,20237,20393,19396,19003,29157,33549,47458,55493,47783,23059,12776,9051,12527,19698,29493,38490,44335,54585,53361,41437,21735,0,119,125,493,2225,9954,15223,35057,59565,80011,135216,0,160,81,468,2669,9773,15027,32721,62849,88615,125625,12444,12432,22615,30029,33890,38130,42756,46310,45565,37960,15049,12592,18753,21173,22427,38037,37924,56016,50556,51067,28456,4607,7850,14269,23818,28074,28290,29807,34606,40975,52553,57081,18669,36362,60969,60329,50017,37173,25841,17402,12605,8747,9053,13590,13685,19271,27483,32560,33708,33961,32563,32532,31360,32218,43304,617
350178,51957,9447,3230,1838,1023,803,495,384,678,3382,317677,66120,15383,7697,4756,3368,2215,1525,876,1042,2756,284989,80838,22629,10509,7380,5197,3975,2719,1865,1187,2127,21456,27754,24325,29315,31717,46031,56566,66820,65973,39763,13695,81500,146298,61757,34758,25772,19755,15956,13397,11472,8649,4101,1402,41873,143025,115844,54353,33953,13846,8381,5838,3340,1560,1393,52170,126264,119987,61540,28841,14101,8320,5750,3656,1393,156959,119328,48710,29929,19151,13606,10707,8832,7786,5893,2514,109610,119331,77538,47975,27481,17243,10945,5845,3161,1609,2677,841,965,1018,1881,3427,5352,8625,13973,25427,57407,304499,56058,56180,57340,54164,49017,40809,35199,29040,22433,17880,5295,134479,132620,41419,25759,19743,16304,13515,11308,9046,8171,11051,576
0,66,1666,7409,15592,25737,28767,35898,25115,11637,647,0,783,2292,8584,23965,33808,39566,22913,14076,6434,113,8,2813,24826,45791,31427,18196,11410,8862,6095,3105,1,1121,2079,3983,7019,12308,21678,36309,37587,23539,6317,594,787,3262,31472,51157,32086,17333,8425,3966,2842,1155,49,0,32973,66593,31084,14354,6465,882,149,32,2,0,0,39815,56224,34179,15972,5277,887,147,31,2,0,390,12697,43176,36429,22181,14011,9378,6574,4355,2944,399,548,789,938,1524,4569,14801,48769,62039,15628,2924,5,830,3135,5472,5840,6991,9352,14841,27854,49525,27753,941,4,73,237,566,2169,5936,13016,30990,57643,40380,1520,408,27366,55724,31381,15453,8442,5901,4501,2473,728,157,139
8613,193562,224289,102291,100339,54134,45911,28756,21391,13419,2564,6547,119398,160100,119846,76508,105008,76725,65604,43512,20522,1499,3209,39312,93947,96414,98434,104511,100697,121850,91685,43757,1453,31445,75041,91079,81127,90887,98186,91853,100691,80214,43946,10800,7081,11173,35549,66759,80096,86970,92505,105944,132574,125353,51265,1,62,1731,5733,8963,33389,79585,138289,170399,211536,145581,1,111,1407,5460,11613,31901,77928,129928,181794,227433,127693,6176,9658,34931,71931,88464,95097,104886,127744,136860,102008,17514,20388,72324,90515,111175,92626,99766,87636,102633,80154,36438,1614,6836,27461,68364,106155,118706,115870,107705,97638,83920,52721,9893,228967,156991,108577,86076,65070,49089,34901,25957,19272,13279,7090,6324,15145,32280,52185,68316,81226,95113,107649,107985,110773,118273,537
0,11280,53993,68354,79688,87833,79546,67753,38457,6349,270,679,17871,53620,67490,72737,85916,89074,63637,35423,6930,146,7186,19607,53187,66734,65991,64063,66558,68766,59517,21737,177,37118,42658,40864,42552,50248,62673,72035,72528,53796,17845,1206,20257,15011,35800,53168,62053,63930,59882,58646,58605,47526,18645,0,304,13191,13655,36475,99313,116251,101760,65099,34308,13167,0,616,12294,14020,45448,94994,116349,99497,63652,35879,10774,17714,9600,36848,52476,58537,65142,71773,68084,60815,43059,9475,22934,16144,33401,54679,75681,83367,76968,64713,47748,17645,243,16279,33935,57355,47678,46058,52209,65195,75834,68662,29391,927,38254,60664,56395,52516,50735,51776,52173,49815,37897,21783,21515,14009,14569,38319,53139,59485,63125,70247,70720,48199,33087,28624,125
1889,6150,2689,3410,9256,23839,34013,70974,279676,337108,108395,67,13444,34964,23358,38226,46097,92591,169521,247822,188168,23141,1072,57816,56997,43873,68119,105447,161451,189012,133351,52563,7698,18027,39067,77510,104304,128122,171054,183968,105357,41262,8139,589,69692,66856,75856,109088,102765,107384,121188,112419,75196,30958,5997,3,236869,183032,133588,102210,108924,55766,31516,18073,6743,675,0,250328,162820,134142,126002,94681,52726,30465,19094,6630,511,82744,64585,97222,92582,96235,104487,108103,104518,73594,40065,13264,5058,24954,48097,55562,62847,88335,169041,224703,146993,46741,5068,34322,36540,84096,132455,144588,133562,108586,78860,62925,57727,3738,402,5988,23022,43135,59011,71033,81477,102133,121432,211391,158375,38737,86774,95102,124646,127214,119880,108673,84640,49974,29594,12165,153
2340,16723,21047,21270,21140,22332,22253,23951,25384,12796,5155,11811,38035,27605,23037,21621,21772,22861,15111,5448,5984,1106,16732,46780,36487,28459,25047,20908,9767,3400,3040,3520,251,15029,36346,38303,39892,32313,18604,8876,3572,1191,244,21,6745,41375,33398,25850,22703,21137,19917,15604,5913,1525,224,8,75432,86610,21446,6587,2986,943,307,69,3,0,9,88636,71952,22674,7419,2431,905,296,65,4,0,15082,36063,33356,27800,24944,22971,18151,8158,4019,2688,1159,14035,51888,34040,30792,26536,19319,11358,3054,1674,1532,163,4797,5257,5013,8202,15242,21993,25951,27658,30418,33622,16238,181,2551,9939,16175,18701,21406,25313,31473,33394,31725,3533,3358,25369,27445,26601,24026,21634,20340,18494,13925,8111,5088,320
0,0,0,1,365,4886,22119,43618,88396,93409,8672,0,0,0,81,2359,10824,27147,39116,90939,89222,1778,0,117,5887,15944,18969,26781,44159,63500,69266,16129,714,3646,4345,8569,9687,10371,12259,17080,30613,68608,87172,9116,3309,2843,11215,20475,35091,45724,55311,52582,27828,6167,921,0,50,4135,50125,55137,53875,36844,27020,17731,10629,5920,0,74,2798,52341,60552,47420,37104,26250,18381,11215,5331,2570,6186,13056,22497,32427,40501,47830,45618,35510,13646,1625,2447,807,1462,3484,7585,9635,16318,43440,125824,49591,873,3485,3437,8310,20563,36819,51281,56195,48727,22455,9735,459,1,3,110,1347,7911,24199,43591,63644,70200,44310,6150,2436,17627,46752,57990,52961,37842,24418,13866,5527,1757,290,161
0,0,121,1389,2099,4168,6393,12451,23078,40858,5338,0,74,1515,3000,4195,5838,10571,14650,28120,27278,654,2,1369,3160,5463,7376,10782,17535,21655,19670,8722,161,2355,6941,5599,5372,5801,7627,11634,18805,21550,9456,755,955,7645,12776,15735,15879,15171,11378,7905,5428,2811,212,0,8166,31379,26445,14502,9683,4584,973,143,20,0,0,9941,27472,27819,16553,8708,4261,971,151,19,0,547,6347,10374,10822,11943,13673,14227,11759,9472,5699,1032,679,683,1236,2116,3635,5778,10220,27741,34848,8744,215,5165,7964,7207,9348,12361,14618,15071,11763,6966,4483,949,0,31,581,2302,4980,6847,8375,11354,15939,33715,11771,2263,16709,16446,13495,11426,12166,10895,7037,3948,1395,115,88
186,17608,57772,88434,91598,142440,150557,134744,116206,72214,12684,188,11149,57375,90790,102017,118000,132519,116088,138308,111402,6607,1240,22164,54567,64296,76234,100370,116947,123388,143367,165704,16166,55526,83204,73547,63239,71490,79211,90039,108909,112501,106607,40170,18285,45251,29067,35109,52476,80940,110728,118255,127276,144053,123003,0,88,5235,21622,54364,87637,90585,108780,154210,195460,166462,0,196,4755,20741,65653,81604,87776,104956,157141,214082,147539,23951,48220,37570,38350,54605,85658,112462,119821,134963,149232,79611,16283,37987,64420,78510,98516,100964,109072,109309,115538,133656,20188,7899,98466,235872,136762,92888,69811,57606,55056,57537,57560,14986,107493,147041,140969,131143,104356,73904,47453,30841,24674,49941,26628,40576,42882,32996,34106,40208,51973,71426,96254,114880,137144,221998,559
3198,66913,142225,157764,159851,174966,151932,109340,39753,9259,827,8677,97159,169304,162755,163136,143178,122743,90346,49336,9151,243,10777,96659,152655,149131,147706,133037,111692,91447,74031,48510,383,145351,176059,166827,153394,118870,89662,66721,49179,31653,15585,2727,63176,95200,106670,111811,113147,111950,108282,106888,104624,79635,14645,0,478,8361,42395,56684,137996,177174,194275,177367,132948,88350,5,626,6905,41622,72959,134874,172740,187763,178674,140666,79194,62933,95648,112711,121293,117314,118947,116998,115173,111183,43559,269,101489,163928,191023,160726,130641,86607,63656,49337,39740,28123,758,42292,51449,124255,143685,142194,135217,122389,107356,89403,51999,5789,43456,116314,126462,116439,104225,92935,85943,87553,87663,94600,60438,32264,45514,79340,91297,100850,109789,119563,128553,121623,112208,75027,517
