band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
559426,367115,62095,28155,17576,10896,6855,4978,1972,579,293,218,91,693341,215597,59044,24141,18036,15037,10286,10504,7220,4548,1983,418,94,629835,220738,71713,34120,24991,19125,15660,14228,11914,10692,6242,916,75,79529,180823,137931,141903,107569,95704,80670,71931,55450,46673,33073,21750,7243,168665,363129,146259,76334,50671,42156,36858,32805,32870,32104,33321,30202,14875,0,2227,70184,299805,194185,144114,132967,59947,43536,52084,36531,20184,4485,0,1965,121503,248526,212382,151155,99912,74208,48662,45104,33945,19713,3174,317725,307280,122478,69394,45937,35060,27812,24813,26576,25015,27565,24806,5788,451739,294532,121740,56951,43888,29597,19767,16779,11149,8463,4742,828,74,19750,1944,4898,10531,15327,19308,22716,27762,33408,46149,80272,221594,556590,163973,86951,77401,75025,72183,66700,76743,72646,89143,89319,87996,73801,28368,157176,319928,141320,77500,54207,42195,35420,31847,29848,27903,25818,32228,84859,563
0,844,9855,17652,26119,40133,75433,93410,110479,70756,45278,12901,1273,0,359,3896,9996,21692,55618,73178,98966,89860,81913,55214,12322,1119,0,1168,6933,15150,31109,53543,84690,107978,98616,66588,28877,8264,1217,5243,11020,22473,28786,30611,45079,57502,80016,89335,73918,45079,13943,1128,4197,1539,2976,8107,21436,51258,88081,104978,98732,74685,35509,10283,2352,0,134,1094,5758,12629,20558,35753,32417,31339,58082,69413,99141,137815,0,117,1582,5005,14543,23293,28360,37450,39092,52807,67468,109337,125079,3338,1292,3883,10146,21451,41691,66246,94287,91895,82196,61817,22120,3771,4131,1773,3725,10527,27022,47100,69245,87149,100302,92722,50482,8764,1191,4151,4955,21510,41032,55838,69875,79858,80501,67473,47466,24434,6820,220,442,2812,15659,50674,87485,94432,83289,64544,49011,30590,15119,5444,4632,1019,4209,15102,36872,59807,74264,77701,72272,59393,44396,30423,22495,6180,170
20,7755,28482,42815,45803,53486,38502,39948,29088,23068,15942,9030,2936,52,5767,25542,43383,51953,40348,46028,34972,31064,25259,18686,11000,2751,260,14201,38883,46627,42310,40579,36133,32265,28625,21833,19336,12590,3173,18156,18700,14371,17252,14969,23465,21149,31588,36340,38667,49098,36666,16419,10928,8292,8355,14115,18256,25251,32405,37685,42983,48628,43142,29885,17563,0,25,171,119,623,2024,9421,10538,15640,44698,59456,78909,116364,0,15,200,99,676,2402,7529,13208,20998,44193,56832,86380,105456,10814,9929,13921,23172,25535,32303,31975,34752,37453,39280,39070,27563,11413,10391,15691,17923,18151,23856,28915,34424,40275,51467,42148,35756,19316,3295,6659,9416,18270,22324,23708,24005,25452,28436,32696,39331,48094,45269,12332,28239,49898,52415,48263,38498,29909,21806,15616,11743,8663,6808,9036,11194,11313,15008,20552,25660,28075,28816,28718,27674,27442,27182,25998,28944,37263,617
320865,73470,14048,4274,2797,1347,834,697,482,314,432,618,3237,293403,81629,19218,8490,5647,3586,2826,2025,1414,985,623,1035,2534,260775,89762,29792,12998,7665,5665,4613,3479,2570,1976,1183,1083,1854,16478,24799,21806,20408,23770,28435,38939,48251,55145,58564,47476,28958,10386,50761,145497,71317,37101,26213,20931,16903,13704,11750,10398,9202,6267,3371,297,27007,73425,132682,78742,44344,32098,13115,6949,6798,4204,2647,1107,253,25569,98070,108119,84781,45046,25232,14709,8152,5539,4182,2830,933,119690,133243,52366,32240,22053,15623,11609,9309,7883,6895,6174,4282,2048,88004,110056,79702,50917,32987,21114,15726,9595,6189,3497,1864,1270,2494,657,863,781,1080,1992,3037,4546,6781,10194,15704,28130,61401,288249,47424,46862,48454,47812,45624,39792,34727,30441,26450,21473,16875,14319,3162,91401,153470,47613,27108,19607,16283,13649,11842,10100,8593,6993,7147,9609,576
0,4,422,3765,7425,14814,23079,25444,28417,25352,16566,6906,340,0,242,1446,3370,10636,20954,30444,35631,21768,14692,9542,3780,29,0,1236,9615,32812,38511,24328,14680,10785,8382,6388,4069,1728,0,897,1492,2653,4455,7138,11298,17912,27500,33291,28880,13058,3596,364,557,1996,11464,42696,39125,24993,14062,8141,4175,2567,2164,569,25,0,18342,47690,47746,19993,11233,6330,916,196,75,12,1,0,0,15871,59044,37301,22334,11844,4673,1221,182,52,10,2,0,273,4158,31844,35281,27129,17721,11777,8108,6302,4559,3030,2143,209,422,660,695,905,1577,4297,13387,35458,59811,27111,7071,1139,1,609,1847,4475,4733,5093,6121,7895,11456,18945,34212,42504,14202,442,1,31,145,267,734,2173,4986,9513,20210,38797,52890,21997,790,181,12626,47190,38131,21335,11683,7066,5189,4271,2966,1349,432,115,139
2821,126614,224709,103633,76178,98415,48645,32258,32364,21840,17605,8372,1815,2289,72072,146134,119427,79475,96055,65722,73956,55771,38178,33543,11759,888,2088,20715,69857,77885,87150,81211,94716,91073,88567,86730,71309,23183,785,22959,58042,75718,75390,72897,77468,75080,84461,82305,77673,56956,28540,7780,6385,6545,21169,40729,66848,68186,68385,77897,89219,99848,113058,99315,37685,0,28,359,3306,4338,8459,30381,53980,76288,151383,165549,191898,109300,0,22,498,3127,4832,10294,23622,65033,95343,141428,158905,199435,92730,5710,5254,19307,45498,63775,76217,79871,84548,101506,116770,113758,72326,10729,13932,51204,75293,85385,82696,80336,96427,69701,76386,83988,58751,20259,911,5692,15117,45739,74652,94444,100914,98094,92916,85250,76822,63956,35483,6190,197909,145886,104787,81979,66897,52844,40929,31378,24067,18397,14986,9067,6143,5074,10236,21192,35082,48807,59892,68793,78532,88310,93208,88748,99522,97873,537
0,3308,35494,53266,62346,61967,81289,63665,62609,46433,20707,2253,186,280,9916,33410,54629,53449,64963,74684,80928,59655,39600,19665,2232,112,5432,10443,35742,53811,58098,53037,54918,53746,60370,57496,40921,9406,103,30421,36385,34504,34287,37273,44585,52937,62268,63281,54164,33158,9631,629,19082,9374,24333,37785,47904,51836,55150,51411,50013,49466,47801,35484,13884,0,20,5792,11210,13405,33198,93497,91925,80281,83557,44534,27422,8682,0,11,8266,8661,15717,41649,74471,108916,91005,68548,41933,27723,6623,17050,5282,20768,39517,47414,49543,54168,60485,61013,54580,46963,31104,5636,21270,11488,21634,37469,55829,63080,68804,64570,60182,47777,33379,7916,125,15499,16863,50396,43888,39109,39289,44160,53219,62422,64071,48819,15468,320,29208,51533,49170,45992,43660,42823,43933,44196,43705,37435,27304,15272,19292,12330,9178,25401,39263,47197,50967,53086,58367,62125,51234,33249,27703,23423,125
43,6714,2604,2184,3921,8878,21297,26705,46609,116214,325087,247796,69347,1,5065,32278,19638,21850,32353,42684,76960,109639,182553,217338,121262,15778,249,39958,54551,35966,41880,61770,92561,130685,153011,150566,77851,34834,3517,14352,27044,54678,71333,94967,119890,137797,158078,116595,58820,19607,3917,321,33137,88301,48530,83956,89103,87558,95814,98821,98803,80249,48918,20691,3518,0,203608,111924,153717,94794,91659,105784,46371,27773,24164,13421,3791,393,0,193144,157240,117550,105206,100973,80674,56955,29864,20226,11849,3431,287,69380,55454,74348,81951,76432,82210,93830,87662,89358,78328,50776,28092,9578,3293,17903,34663,45149,46987,54187,77944,124586,198105,163700,81714,27055,2113,29933,25828,53822,92485,118544,122489,113015,96268,73249,57078,53436,39537,1715,192,3068,12986,27629,41397,51288,59838,67481,80649,94950,112963,260648,64310,17476,87595,66028,95705,108611,106838,101720,93593,79083,56477,32445,23576,8252,153
1379,11751,15862,17695,19025,17450,20188,17085,19983,20744,22288,6939,4002,6625,32600,27238,20596,18306,18809,18561,18031,15606,8830,3546,5092,551,11488,38180,34640,27417,22551,21102,17526,9809,3800,2401,2918,2432,127,11016,26994,33188,34682,32055,25649,15771,8422,4145,1740,614,105,10,2288,33562,31292,24843,20694,19060,17792,17122,14818,9071,2733,1007,109,0,55713,71900,44861,12181,5428,2922,817,382,163,23,1,0,0,52114,88369,32087,12865,5297,2148,1002,379,109,21,0,0,9901,30297,29603,25850,22734,20556,19743,16197,9285,4527,2804,2026,868,7022,43905,34063,27817,22692,22915,16457,11449,3893,1612,1398,1086,82,3402,5338,3768,5210,8332,13891,18709,21512,23212,24205,27478,27675,11659,101,1255,5646,11400,14495,16173,18126,20661,25298,27819,28452,23509,1456,1089,19602,22788,23142,21966,19992,18218,17547,16071,14112,9611,6197,4056,320
0,0,0,0,5,432,4023,14378,31624,55696,90823,59956,4529,0,0,0,0,218,3297,8842,21396,25604,51883,104436,45050,740,0,0,1650,10910,14623,14586,23334,34974,47245,61993,45112,6709,330,3459,2900,5581,8304,8869,8051,9762,14469,20374,39118,72588,64511,3480,3087,1522,6192,12506,21677,31444,38190,45973,48838,33855,14372,3221,589,0,25,258,16407,48291,44466,50696,31323,21551,22153,13302,8622,4372,0,19,473,15158,53202,47810,39611,36460,24943,18883,12240,8909,3758,2356,3040,9878,13081,22756,29358,33492,39614,40188,35063,24161,7286,1193,2175,856,745,2052,4107,6498,8276,12409,25565,76594,104322,17530,337,2818,2951,4473,11254,21389,33205,43465,48026,44013,31901,10588,7313,70,0,3,21,277,2107,8125,20307,34471,49050,60066,54588,28409,4042,1384,11173,30000,45748,49987,42999,32035,21965,14524,7510,2810,1195,136,161
