band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
918267,93107,30513,12969,4312,785,296,901785,83565,32825,22740,13782,5133,419,835011,112144,44659,30293,23599,13873,670,227273,270669,201708,147897,117698,71300,23704,503268,230765,96699,66511,61482,60936,40588,408,260599,382867,230263,91624,76767,17721,781,309457,383984,176189,98652,72718,18468,600695,201589,81189,53034,47522,49545,26675,725798,183114,78182,39342,22600,10575,638,21415,12187,29409,42870,61451,132061,760856,239698,142289,130936,131804,161764,162601,91157,449130,227521,98516,66546,55991,49306,113239,563
280,23093,52397,138786,176864,102917,9796,225,10850,50278,148516,168512,116123,9629,753,16853,62372,156126,185390,75500,7139,13736,44179,65876,108535,160070,100121,11616,5477,8060,50253,159492,184703,86272,9876,63,3853,25338,60784,67198,128760,218137,57,4849,31344,52263,71204,123667,220749,4397,10380,46533,126458,170487,125378,20500,5641,9657,55670,122814,188118,115387,6846,8108,50135,107414,146799,128525,57916,5236,2477,48655,160642,152619,94443,36408,8889,4204,40091,113992,142830,113829,64071,25116,170
6178,59802,93568,72957,59925,34703,9742,3181,56494,89305,86220,50637,39243,11725,9872,79554,78416,66117,52594,36945,13317,33385,29244,35162,41478,60012,91938,45621,18086,18502,37518,59371,78786,82408,42817,2,242,1494,14988,33592,110902,176768,6,265,1805,13945,36506,104948,180513,18664,32498,50424,58405,70812,72677,33700,22589,31084,47047,67585,75278,82089,15936,13905,36091,44046,47578,59999,84146,50227,70259,95256,69754,41138,22768,13514,19399,23652,41157,52274,53323,50793,48975,62471,617
392388,19736,4022,1861,871,698,3839,370405,30360,9606,5496,2609,1468,3471,342491,47382,14628,8303,5108,2704,2799,38257,41345,44417,69817,101254,94725,33600,182360,112415,49080,30874,22517,17636,8533,17451,168849,151628,57356,16002,9006,3123,20059,186076,141779,46955,16492,8855,3199,241313,88985,38440,22222,15031,11898,5526,184106,129171,61722,28233,12421,4185,3577,1418,1588,4022,8491,18171,45885,343840,87612,89690,81981,65502,49403,33922,15305,233607,79303,36017,25484,19266,13904,15834,576
4,3086,16154,37896,54907,35265,5222,89,3385,21984,57889,46606,19763,2818,844,30984,65941,28397,16112,9103,1153,2106,5780,14107,34384,60556,32784,2817,2172,41625,67683,27473,9134,4041,406,6220,93346,40532,11874,514,47,1,8291,96122,38789,8713,574,44,1,2485,59830,47518,22215,12046,6491,1949,958,1419,3590,27055,94147,24681,684,1997,8312,9874,14858,33866,73332,10295,24,344,1811,9467,35315,89297,16276,8557,80700,37610,13753,8058,3417,439,139
110438,328342,151656,109480,54386,32143,8824,68137,224480,179559,146686,99468,67155,9784,16247,128595,155933,166798,171472,139763,16461,74547,126426,146072,139714,160871,116195,31444,11150,51341,116483,133530,159217,202507,121041,16,1778,9713,56399,156188,322277,248898,18,2493,12103,49475,166089,303992,261099,9671,49617,123971,147461,183568,211929,69052,51876,151607,150941,149354,156945,119950,14596,16629,100254,176765,181081,161113,124904,34523,326550,182602,119672,76983,46699,29490,13273,13287,46638,93241,128176,161146,168363,184418,537
1440,77245,109021,136219,115089,52869,1640,8302,76434,104072,141877,113018,48503,1317,13322,77523,102907,99818,108864,85194,5895,62299,64047,71491,98595,116790,72681,7620,26302,51924,89513,99886,92947,89891,43060,3,13492,30165,155581,162965,102230,29087,7,14846,41209,139055,172598,96703,29105,21094,49157,87300,101812,110606,92509,31045,30107,49635,105709,121889,111132,70001,5050,26589,88256,72918,83127,112555,98668,11410,73362,89611,81241,80788,80810,56029,31682,19456,54353,88525,99379,112779,71891,47140,125
5926,5115,8948,34129,85833,476857,260591,4196,48501,44153,82841,219090,369185,109433,30987,91553,82106,173293,281485,185955,32020,36828,109077,185466,261402,226021,55325,3280,114669,111452,167068,176792,178877,108507,20034,165756,254148,190363,174755,60187,29875,2315,169859,270997,201234,140588,64067,28037,2617,119530,137310,150293,161716,168894,107472,32184,16935,71740,87244,155244,324753,197764,23719,50884,120925,218878,209216,143216,101598,32682,2418,31941,79441,110795,145531,201917,305356,97004,140414,199585,188600,149900,73605,28291,153
9786,32685,32320,35686,36329,38308,9277,33232,48490,34798,34140,29512,9187,5032,44355,60057,42031,31823,9009,5046,2070,33614,62165,58492,29857,8463,1705,95,31118,54019,38701,33080,28094,8468,911,40976,121074,25919,5510,805,107,0,42524,124593,22331,3991,855,97,0,35804,53166,41419,36149,19164,6156,2533,45785,60131,42991,32257,9628,2638,961,8149,7936,17294,34211,42444,49105,35252,1022,13641,27368,33579,45425,52418,20938,17365,42736,40066,34185,30488,20304,9247,320
0,0,139,8643,52664,149145,50875,0,0,1068,19765,51849,158764,30020,0,9140,25501,43467,85700,92816,4842,5538,11764,15889,19947,37568,114961,55799,4203,15003,43125,71293,87082,37749,3011,8,4177,84481,86427,46305,29338,10730,9,7184,93865,72255,49079,28003,11071,4855,19277,43077,63730,74002,49909,6616,2947,2126,8188,16348,47581,173936,10340,5386,11950,42906,79914,82625,32458,6227,2,154,5733,37899,86857,104625,26196,10412,64243,89361,59725,28838,7764,1123,161
