District_name,District_code,State_code,State_name,MSL_2001,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011,MSL_Actual_2001,MSL_change,MSL_change_old
Shimla,33,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Kinnaur,34,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Gurdaspur,35,3,PUNJAB,3,3,1,2,2,3,3,0,0
Kapurthala,36,3,PUNJAB,3,3,3,3,3,3,3,0,0
Jalandhar,37,3,PUNJAB,3,3,3,3,2,3,3,0,0
Hoshiarpur,38,3,PUNJAB,3,3,3,3,2,1,3,0,0
Nawanshahr ,39,3,PUNJAB,3,3,3,3,3,3,3,0,0
Fatehgarh Sahib,40,3,PUNJAB,3,3,3,3,3,3,3,0,0
Ludhiana,41,3,PUNJAB,3,2,3,2,2,3,3,0,0
Moga,42,3,PUNJAB,3,1,2,3,3,3,3,0,0
Firozpur,43,3,PUNJAB,3,3,3,3,2,3,3,0,0
Muktsar,44,3,PUNJAB,3,3,3,3,2,3,3,0,0
Faridkot,45,3,PUNJAB,3,3,3,3,3,3,3,0,0
Bathinda,46,3,PUNJAB,3,1,3,3,2,3,3,0,0
Mansa,47,3,PUNJAB,3,3,3,3,3,3,3,0,0
Patiala,48,3,PUNJAB,3,3,1,3,2,3,3,0,0
Amritsar,49,3,PUNJAB,3,3,3,3,3,1,3,0,0
Rupnagar,51,3,PUNJAB,3,3,3,3,3,3,3,0,0
Sangrur,53,3,PUNJAB,3,3,1,3,2,3,3,0,0
Chandigarh,55,4,CHANDIGARH,3,3,3,3,3,3,3,0,0
Uttarkashi,56,5,UTTARAKHAND,3,3,3,3,3,3,2,1,1
Chamoli,57,5,UTTARAKHAND,3,3,3,3,2,3,2,1,1
Rudraprayag,58,5,UTTARAKHAND,3,3,3,3,2,3,2,1,1
Tehri Garhwal,59,5,UTTARAKHAND,3,3,3,3,2,3,2,1,1
Dehradun,60,5,UTTARAKHAND,3,3,3,3,3,3,3,0,0
Garhwal,61,5,UTTARAKHAND,3,3,3,3,3,3,2,1,1
Pithoragarh,62,5,UTTARAKHAND,3,3,3,3,3,3,2,1,1
Bageshwar,63,5,UTTARAKHAND,3,3,2,2,2,3,2,1,1
Almora,64,5,UTTARAKHAND,3,3,3,3,3,3,2,1,1
Champawat,65,5,UTTARAKHAND,3,2,3,2,3,3,2,1,1
Nainital,66,5,UTTARAKHAND,3,3,2,2,3,3,2,1,1
Udham Singh Nagar,67,5,UTTARAKHAND,3,2,3,2,2,3,2,1,1
Hardwar,68,5,UTTARAKHAND,3,3,1,3,3,3,2,1,1
Panchkula,69,6,HARYANA,3,3,3,3,3,3,3,0,0
Ambala,70,6,HARYANA,3,3,3,1,3,3,3,0,0
Yamunanagar,71,6,HARYANA,3,3,3,2,3,3,3,0,0
Kurukshetra,72,6,HARYANA,3,3,3,1,3,3,3,0,0
Kaithal,73,6,HARYANA,3,3,2,1,3,3,3,0,0
Karnal,74,6,HARYANA,3,2,1,1,3,3,3,0,0
Panipat,75,6,HARYANA,3,3,3,3,3,3,3,0,0
Sonipat,76,6,HARYANA,3,3,1,3,3,3,3,0,0
Jind,77,6,HARYANA,3,3,1,1,3,3,3,0,0
Fatehabad,78,6,HARYANA,3,3,3,3,2,3,3,0,0
Sirsa,79,6,HARYANA,3,1,3,3,3,3,3,0,0
Hisar,80,6,HARYANA,3,3,1,2,3,3,3,0,0
Bhiwani,81,6,HARYANA,1,3,3,3,1,3,3,0,0
Rohtak,82,6,HARYANA,1,3,3,3,1,3,3,0,0
Jhajjar,83,6,HARYANA,1,3,1,3,3,3,3,0,0
Mahendragarh,84,6,HARYANA,3,3,2,3,3,3,3,0,0
Rewari,85,6,HARYANA,3,3,3,3,3,3,3,0,0
Gurgaon,86,6,HARYANA,3,3,3,3,3,3,2,1,1
Faridabad,88,6,HARYANA,3,3,3,3,3,3,3,0,0
North West ,90,7,NCT OF DELHI,3,3,3,3,3,3,3,0,0
North,91,7,NCT OF DELHI,3,3,3,3,3,3,3,0,0
North East,92,7,NCT OF DELHI,3,3,2,3,2,3,3,0,0
East,93,7,NCT OF DELHI,3,3,2,3,3,3,3,0,0
New Delhi,94,7,NCT OF DELHI,3,3,2,2,3,3,3,0,0
Central,95,7,NCT OF DELHI,3,2,2,2,2,3,3,0,0
West,96,7,NCT OF DELHI,3,3,3,3,3,3,3,0,0
South West,97,7,NCT OF DELHI,3,3,3,3,3,3,3,0,0
South,98,7,NCT OF DELHI,3,3,3,3,3,3,3,0,0
Ganganagar,99,8,RAJASTHAN,1,1,3,3,1,3,2,1,1
Hanumangarh,100,8,RAJASTHAN,3,2,3,2,2,3,2,1,1
Bikaner,101,8,RAJASTHAN,2,3,3,2,1,2,2,0,0
Churu,102,8,RAJASTHAN,2,2,2,2,2,2,2,0,0
Jhunjhunun,103,8,RAJASTHAN,3,3,3,2,2,3,2,1,1
Alwar,104,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Bharatpur,105,8,RAJASTHAN,3,3,3,2,3,2,2,0,0
Dhaulpur,106,8,RAJASTHAN,2,2,2,2,3,2,1,1,1
Karauli,107,8,RAJASTHAN,2,3,3,2,3,2,1,1,1
Sawai Madhopur,108,8,RAJASTHAN,2,3,3,2,3,3,2,0,0
Dausa,109,8,RAJASTHAN,3,3,3,3,3,2,2,0,0
Jaipur,110,8,RAJASTHAN,3,2,3,3,3,3,3,0,0
Sikar,111,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Nagaur,112,8,RAJASTHAN,2,2,2,3,2,2,2,0,0
Jodhpur,113,8,RAJASTHAN,2,2,2,3,2,2,2,0,0
Jaisalmer,114,8,RAJASTHAN,2,1,1,1,2,2,1,1,1
Barmer,115,8,RAJASTHAN,2,3,3,2,2,1,1,0,0
Jalor,116,8,RAJASTHAN,2,3,3,2,3,2,1,1,1
Sirohi,117,8,RAJASTHAN,3,3,3,3,3,2,2,0,0
Pali,118,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Ajmer,119,8,RAJASTHAN,2,2,3,3,3,3,2,1,1
Tonk,120,8,RAJASTHAN,3,3,3,3,3,2,2,0,0
Bundi,121,8,RAJASTHAN,2,3,3,3,3,2,2,0,0
Bhilwara,122,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Rajsamand,123,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Dungarpur,124,8,RAJASTHAN,2,2,3,3,3,2,1,1,1
Banswara,125,8,RAJASTHAN,3,3,3,3,3,1,1,0,0
Chittaurgarh,126,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Kota,127,8,RAJASTHAN,3,2,3,3,3,3,3,0,0
Baran,128,8,RAJASTHAN,3,2,3,3,3,2,2,0,0
Jhalawar,129,8,RAJASTHAN,3,3,3,3,3,3,2,1,1
Udaipur,130,8,RAJASTHAN,3,3,3,3,3,2,2,0,0
Saharanpur,132,9,UTTAR PRADESH,3,3,1,3,3,2,2,0,0
Muzaffarnagar,133,9,UTTAR PRADESH,3,3,3,3,3,1,2,0,0
Bijnor,134,9,UTTAR PRADESH,3,3,1,3,2,2,2,0,0
Moradabad,135,9,UTTAR PRADESH,3,3,3,3,1,1,1,0,0
Rampur,136,9,UTTAR PRADESH,2,2,3,1,2,1,1,0,0
Jyotiba Phule Nagar,137,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Meerut,138,9,UTTAR PRADESH,3,3,3,3,2,3,2,1,1
Baghpat,139,9,UTTAR PRADESH,3,3,1,3,2,2,2,0,0
Ghaziabad,140,9,UTTAR PRADESH,3,3,3,3,3,3,2,1,1
Gautam Buddha Nagar,141,9,UTTAR PRADESH,3,3,3,3,3,3,2,1,1
Bulandshahar ,142,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Aligarh,143,9,UTTAR PRADESH,3,3,2,3,1,1,1,1,1
Hathras ,144,9,UTTAR PRADESH,3,3,3,3,3,2,1,1,1
Mathura,145,9,UTTAR PRADESH,3,3,3,3,3,2,2,0,0
Agra,146,9,UTTAR PRADESH,2,3,3,2,1,3,2,1,1
Firozabad,147,9,UTTAR PRADESH,1,3,3,3,3,2,1,1,1
Mainpuri,148,9,UTTAR PRADESH,1,3,3,3,1,1,1,0,0
Budaun,149,9,UTTAR PRADESH,3,3,3,2,2,1,1,0,0
Bareilly,150,9,UTTAR PRADESH,3,3,3,1,3,1,1,0,0
Pilibhit,151,9,UTTAR PRADESH,3,2,3,2,3,1,1,0,0
Shahjahanpur,152,9,UTTAR PRADESH,2,3,3,2,2,1,1,0,0
Kheri,153,9,UTTAR PRADESH,3,3,2,1,1,1,1,0,0
Sitapur,154,9,UTTAR PRADESH,3,2,3,1,2,1,1,0,0
Hardoi,155,9,UTTAR PRADESH,3,2,1,2,1,1,1,0,0
Unnao,156,9,UTTAR PRADESH,3,3,2,2,1,1,1,0,0
Lucknow,157,9,UTTAR PRADESH,3,3,2,1,1,2,2,0,0
Rae Bareli,158,9,UTTAR PRADESH,3,1,3,2,3,1,1,0,0
Farrukhabad,159,9,UTTAR PRADESH,3,3,3,3,3,1,1,0,0
Kannauj,160,9,UTTAR PRADESH,1,1,3,3,3,1,1,0,0
Etawah,161,9,UTTAR PRADESH,1,3,3,3,2,2,1,1,1
Auraiya,162,9,UTTAR PRADESH,1,1,1,3,3,1,1,0,0
Kanpur Dehat,163,9,UTTAR PRADESH,3,1,3,3,1,1,1,0,0
Kanpur Nagar,164,9,UTTAR PRADESH,3,3,1,3,1,2,2,0,0
Jalaun ,165,9,UTTAR PRADESH,3,3,3,3,3,1,1,0,0
Jhansi,166,9,UTTAR PRADESH,3,2,3,3,3,2,2,0,0
Lalitpur,167,9,UTTAR PRADESH,3,3,3,3,3,1,1,0,0
Hamirpur,168,9,UTTAR PRADESH,3,1,1,3,1,1,1,0,0
Mahoba,169,9,UTTAR PRADESH,3,3,3,3,1,1,1,0,0
Banda,170,9,UTTAR PRADESH,3,2,2,2,2,1,1,0,0
Chitrakoot,171,9,UTTAR PRADESH,3,3,3,3,3,1,1,0,0
Fatehpur,172,9,UTTAR PRADESH,3,3,3,3,1,1,1,0,0
Pratapgarh,173,9,UTTAR PRADESH,3,3,3,2,3,1,1,0,0
Kaushambi,174,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Allahabad ,175,9,UTTAR PRADESH,2,3,3,3,3,2,2,0,0
Barabanki,176,9,UTTAR PRADESH,3,3,1,1,3,1,1,0,0
Faizabad,177,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Ambedkar Nagar,178,9,UTTAR PRADESH,2,3,1,3,1,1,1,0,0
Sultanpur,179,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Bahraich,180,9,UTTAR PRADESH,2,3,1,2,1,1,1,0,0
Shrawasti,181,9,UTTAR PRADESH,3,3,1,1,3,1,1,0,0
Balrampur,182,9,UTTAR PRADESH,1,3,1,2,2,1,1,0,0
Gonda,183,9,UTTAR PRADESH,3,3,2,1,2,1,1,0,0
Siddharthnagar,184,9,UTTAR PRADESH,3,3,1,2,2,1,1,0,0
Basti,185,9,UTTAR PRADESH,3,3,1,1,2,1,1,0,0
Sant Kabir Nagar,186,9,UTTAR PRADESH,3,3,1,3,2,1,1,0,0
Mahrajganj,187,9,UTTAR PRADESH,3,2,3,3,2,1,1,0,0
Gorakhpur,188,9,UTTAR PRADESH,3,3,1,1,2,1,1,1,1
Kushinagar,189,9,UTTAR PRADESH,3,2,1,3,2,1,1,0,0
Deoria,190,9,UTTAR PRADESH,2,2,1,3,2,1,1,0,0
Azamgarh,191,9,UTTAR PRADESH,3,3,2,1,2,1,1,0,0
Mau,192,9,UTTAR PRADESH,2,3,1,3,3,2,1,1,1
Ballia,193,9,UTTAR PRADESH,3,3,3,1,2,1,1,0,0
Jaunpur,194,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Ghazipur,195,9,UTTAR PRADESH,3,3,3,3,2,1,1,0,0
Chandauli,196,9,UTTAR PRADESH,3,2,3,3,3,1,1,0,0
Varanasi,197,9,UTTAR PRADESH,3,3,1,3,3,1,2,0,0
Sant Ravidas Nagar Bhadohi,198,9,UTTAR PRADESH,3,3,1,3,3,1,2,0,-1
Mirzapur,199,9,UTTAR PRADESH,3,2,3,2,3,1,1,0,0
Sonbhadra,200,9,UTTAR PRADESH,3,2,1,1,3,1,1,0,0
Etah,201,9,UTTAR PRADESH,1,3,3,3,3,1,1,0,0
Pashchim Champaran,203,10,BIHAR,3,1,3,3,2,1,1,0,0
Purba Champaran,204,10,BIHAR,1,2,3,1,2,1,1,0,0
Sheohar,205,10,BIHAR,3,3,3,3,3,1,1,0,0
Sitamarhi,206,10,BIHAR,2,2,1,1,2,1,1,0,0
Madhubani,207,10,BIHAR,1,3,1,1,2,1,1,0,0
Supaul,208,10,BIHAR,1,2,1,3,3,1,1,0,0
Araria,209,10,BIHAR,1,2,1,1,1,1,1,0,0
Kishanganj,210,10,BIHAR,3,3,3,3,3,1,1,0,0
Purnia,211,10,BIHAR,1,2,1,1,2,1,1,0,0
Katihar,212,10,BIHAR,2,2,2,2,1,1,1,0,0
Madhepura,213,10,BIHAR,3,2,1,3,2,1,1,0,0
Saharsa,214,10,BIHAR,3,2,1,3,2,1,1,0,0
Darbhanga,215,10,BIHAR,1,2,1,3,3,1,1,0,0
Muzaffarpur,216,10,BIHAR,1,2,3,1,2,1,1,0,0
Gopalganj,217,10,BIHAR,1,2,1,1,2,1,1,0,0
Siwan,218,10,BIHAR,1,1,1,1,1,1,1,0,0
Saran,219,10,BIHAR,1,2,2,1,3,1,1,0,0
Vaishali,220,10,BIHAR,1,2,3,3,2,1,1,0,0
Samastipur,221,10,BIHAR,3,2,1,3,2,1,1,0,0
Begusarai,222,10,BIHAR,3,2,1,3,3,1,1,0,0
Khagaria,223,10,BIHAR,3,3,1,3,2,1,1,0,0
Bhagalpur,224,10,BIHAR,1,2,1,1,1,1,1,0,0
Banka,225,10,BIHAR,2,2,1,3,3,2,1,0,0
Munger,226,10,BIHAR,3,3,3,3,3,1,1,0,0
Lakhisarai,227,10,BIHAR,3,3,3,3,3,1,1,0,0
Sheikhpura,228,10,BIHAR,3,3,3,3,3,1,1,0,0
Nalanda,229,10,BIHAR,3,3,3,1,2,1,1,0,0
Patna,230,10,BIHAR,2,3,3,1,2,1,2,0,0
Bhojpur,231,10,BIHAR,1,2,1,3,1,1,1,0,0
Buxar,232,10,BIHAR,3,2,1,1,1,1,1,0,0
Kaimur (Bhabua),233,10,BIHAR,3,3,1,2,3,1,1,0,0
Rohtas,234,10,BIHAR,3,3,1,3,2,1,1,0,0
Aurangabad,235,10,BIHAR,1,3,3,3,3,1,1,0,0
Gaya,236,10,BIHAR,2,2,2,2,3,1,1,0,0
Nawada,237,10,BIHAR,3,2,3,3,3,1,1,0,0
Jamui,238,10,BIHAR,2,2,1,3,3,1,1,0,0
Jehanabad ,239,10,BIHAR,3,2,3,3,3,1,1,0,0
North ,241,11,SIKKIM,3,2,2,2,2,3,2,1,1
West,242,11,SIKKIM,3,2,2,2,2,3,3,0,0
South,243,11,SIKKIM,3,2,2,2,2,3,2,1,1
East,244,11,SIKKIM,3,2,2,2,2,3,3,0,0
Tawang,245,12,ARUNACHAL PRADESH,3,2,3,3,2,3,2,1,1
West Kameng,246,12,ARUNACHAL PRADESH,3,2,2,3,2,3,3,0,0
East Kameng,247,12,ARUNACHAL PRADESH,3,2,2,2,2,2,2,0,0
Papum Pare,248,12,ARUNACHAL PRADESH,3,3,2,3,2,3,3,0,0
Upper Subansiri,249,12,ARUNACHAL PRADESH,3,2,3,2,3,2,2,0,0
West Siang,250,12,ARUNACHAL PRADESH,3,2,3,3,2,2,2,1,1
East Siang,251,12,ARUNACHAL PRADESH,3,3,3,3,2,3,2,1,1
Upper Siang,252,12,ARUNACHAL PRADESH,3,3,2,2,3,3,2,1,1
Changlang,253,12,ARUNACHAL PRADESH,3,2,2,3,3,2,2,0,0
Tirap,254,12,ARUNACHAL PRADESH,3,3,2,3,2,3,2,1,1
Lower Subansiri,255,12,ARUNACHAL PRADESH,3,3,2,3,2,3,3,0,-1
Dibang Valley,257,12,ARUNACHAL PRADESH,3,2,2,3,3,3,2,0,0
Lohit,259,12,ARUNACHAL PRADESH,3,2,2,3,3,2,1,1,1
Mon,261,13,NAGALAND,3,3,2,2,3,1,1,0,0
Mokokchung,262,13,NAGALAND,3,2,2,3,3,3,3,0,0
Zunheboto,263,13,NAGALAND,3,2,2,3,2,3,2,1,1
Wokha,264,13,NAGALAND,3,3,2,3,3,3,2,1,1
Dimapur,265,13,NAGALAND,3,3,3,3,3,3,3,0,0
Phek,266,13,NAGALAND,3,2,2,3,2,3,3,0,0
Tuensang,267,13,NAGALAND,3,3,2,3,3,3,2,0,0
Kohima,270,13,NAGALAND,3,2,2,3,2,3,3,0,0
Senapati (Excluding 3 Sub-Divisions),272,14,MANIPUR,3,3,2,3,2,3,2,1,1
Tamenglong,273,14,MANIPUR,3,2,2,2,2,2,1,1,1
Churachandpur,274,14,MANIPUR,3,2,2,2,3,2,2,0,0
Bishnupur,275,14,MANIPUR,3,3,3,3,3,3,2,1,1
Thoubal,276,14,MANIPUR,3,3,3,3,3,2,2,0,0
Imphal West,277,14,MANIPUR,3,2,2,2,2,3,3,0,0
Imphal East,278,14,MANIPUR,3,3,3,3,3,3,3,0,0
Ukhrul,279,14,MANIPUR,2,2,2,3,3,2,2,0,0
Chandel,280,14,MANIPUR,3,2,2,2,3,3,2,0,0
Mamit,281,15,MIZORAM,3,2,2,2,3,2,2,0,0
Kolasib,282,15,MIZORAM,3,2,3,3,3,3,3,0,0
Aizawl,283,15,MIZORAM,2,2,2,2,2,3,3,0,0
Champhai,284,15,MIZORAM,3,2,2,3,3,3,2,1,1
Serchhip,285,15,MIZORAM,3,3,2,2,2,3,3,0,0
Lunglei,286,15,MIZORAM,3,3,3,2,2,2,2,1,1
Lawngtlai,287,15,MIZORAM,3,3,2,2,2,2,1,1,1
Saiha,288,15,MIZORAM,3,3,2,2,2,2,1,1,1
West Tripura ,289,16,TRIPURA,2,2,2,2,2,3,2,1,1
South Tripura ,290,16,TRIPURA,2,2,2,2,2,2,1,1,1
Dhalai,291,16,TRIPURA,2,3,3,3,3,2,1,1,1
North Tripura ,292,16,TRIPURA,2,3,3,2,3,2,1,1,1
West Garo Hills,293,17,MEGHALAYA,2,2,2,2,2,2,1,1,1
East Garo Hills,294,17,MEGHALAYA,2,2,2,3,2,2,1,1,1
South Garo Hills,295,17,MEGHALAYA,2,2,3,3,2,2,1,1,1
West Khasi Hills,296,17,MEGHALAYA,3,2,2,2,3,2,1,1,1
Ri Bhoi,297,17,MEGHALAYA,3,2,2,2,2,2,1,1,1
East Khasi Hills,298,17,MEGHALAYA,3,3,3,2,3,3,3,0,0
Jaintia Hills,299,17,MEGHALAYA,3,3,2,2,3,3,2,0,0
Kokrajhar,300,18,ASSAM,2,2,2,1,1,1,1,0,0
Dhubri,301,18,ASSAM,3,1,1,3,1,1,1,0,0
Goalpara,302,18,ASSAM,3,3,1,3,3,3,1,0,0
Barpeta,303,18,ASSAM,3,1,1,3,1,1,1,0,0
Marigaon,304,18,ASSAM,3,3,3,3,3,1,1,0,0
Nagaon,305,18,ASSAM,2,3,2,1,3,1,1,0,0
Sonitpur,306,18,ASSAM,1,1,1,1,1,1,1,0,0
Lakhimpur,307,18,ASSAM,3,3,2,3,2,1,1,0,0
Dhemaji,308,18,ASSAM,3,3,3,2,3,1,1,0,0
Tinsukia,309,18,ASSAM,3,2,3,3,3,2,1,1,1
Dibrugarh,310,18,ASSAM,3,3,3,3,3,2,1,1,1
Sibsagar,311,18,ASSAM,3,2,2,3,2,2,1,1,1
Jorhat,312,18,ASSAM,3,3,2,1,3,3,2,0,0
Golaghat,313,18,ASSAM,3,3,1,3,1,1,1,0,0
Karbi Anglong,314,18,ASSAM,3,2,2,2,2,3,1,0,0
North Cachar Hills,315,18,ASSAM,3,3,2,2,2,2,1,1,1
Cachar,316,18,ASSAM,1,3,3,3,3,1,1,0,0
Karimganj,317,18,ASSAM,3,2,3,3,2,2,1,0,0
Hailakandi,318,18,ASSAM,3,3,3,3,3,3,1,0,0
Bongaigaon,319,18,ASSAM,3,3,3,2,2,3,1,0,0
Kamrup,321,18,ASSAM,3,3,1,2,1,1,2,0,0
Nalbari,323,18,ASSAM,3,3,3,3,3,2,1,1,1
Darrang,325,18,ASSAM,3,3,1,3,3,1,1,0,0
Darjiling ,327,19,WEST BENGAL,3,3,3,3,3,3,2,1,1
Jalpaiguri ,328,19,WEST BENGAL,1,2,2,1,1,2,1,1,1
Koch Bihar ,329,19,WEST BENGAL,3,3,1,1,1,1,1,0,0
Uttar Dinajpur,330,19,WEST BENGAL,1,3,1,1,1,1,1,0,0
Dakshin Dinajpur,331,19,WEST BENGAL,1,3,1,1,1,1,1,1,1
Maldah ,332,19,WEST BENGAL,2,3,1,2,2,1,1,0,0
Murshidabad ,333,19,WEST BENGAL,2,2,1,1,1,1,1,0,0
Birbhum,334,19,WEST BENGAL,2,2,3,3,2,1,1,1,1
Barddhaman ,335,19,WEST BENGAL,1,2,2,3,3,1,2,0,0
Nadia ,336,19,WEST BENGAL,2,2,3,3,1,2,1,1,1
North Twenty Four Parganas,337,19,WEST BENGAL,2,3,2,2,1,2,2,0,0
Hugli ,338,19,WEST BENGAL,2,3,3,3,1,3,2,1,1
Bankura ,339,19,WEST BENGAL,2,1,3,2,3,2,1,1,1
Puruliya,340,19,WEST BENGAL,3,2,1,3,3,2,1,0,0
Haora ,341,19,WEST BENGAL,3,3,3,3,3,3,2,1,1
Kolkata,342,19,WEST BENGAL,3,3,2,2,3,3,3,0,0
South  Twenty Four Parganas,343,19,WEST BENGAL,2,3,2,1,1,2,1,1,1
Medinipur ,344,19,WEST BENGAL,2,1,2,2,3,1,1,1,1
Garhwa,346,20,JHARKHAND,3,3,1,3,3,1,1,0,0
Chatra,347,20,JHARKHAND,3,3,3,3,3,1,1,0,0
Kodarma,348,20,JHARKHAND,2,2,2,3,3,2,1,1,1
Giridih,349,20,JHARKHAND,2,2,2,3,3,1,1,0,0
Deoghar,350,20,JHARKHAND,2,3,2,3,3,2,1,1,1
Godda,351,20,JHARKHAND,3,2,1,2,2,1,1,0,0
Sahibganj,352,20,JHARKHAND,3,3,1,2,3,1,1,0,0
Pakaur,353,20,JHARKHAND,3,3,3,2,3,1,1,0,0
Dhanbad,354,20,JHARKHAND,3,3,3,2,3,3,2,1,1
Bokaro,355,20,JHARKHAND,3,3,2,2,3,2,2,0,0
Lohardaga,356,20,JHARKHAND,3,3,3,3,3,1,1,0,0
Purbi Singhbhum,357,20,JHARKHAND,3,2,2,3,3,3,2,1,1
Palamu,358,20,JHARKHAND,3,2,2,3,3,1,1,0,0
Hazaribagh,360,20,JHARKHAND,2,2,2,3,3,2,1,1,1
Dumka,362,20,JHARKHAND,3,3,3,2,2,1,1,0,0
Ranchi,364,20,JHARKHAND,3,2,1,3,3,2,1,1,1
Gumla,366,20,JHARKHAND,3,2,1,3,3,1,1,0,0
Pashchimi Singhbhum,368,20,JHARKHAND,2,3,3,3,3,2,1,1,1
Bargarh,370,21,ODISHA,3,2,1,3,2,1,1,1,1
Jharsuguda,371,21,ODISHA,3,2,3,3,3,2,2,0,0
Sambalpur,372,21,ODISHA,3,2,2,3,2,2,1,1,1
Debagarh,373,21,ODISHA,3,1,3,3,3,1,1,0,0
Sundargarh,374,21,ODISHA,2,2,1,3,2,2,1,1,1
Kendujhar,375,21,ODISHA,3,3,3,3,3,1,1,0,0
Mayurbhanj,376,21,ODISHA,2,3,1,3,3,1,1,0,0
Baleshwar,377,21,ODISHA,2,2,2,2,2,2,1,1,1
Bhadrak,378,21,ODISHA,3,2,2,3,2,2,1,1,1
Kendrapara,379,21,ODISHA,3,3,1,2,3,2,1,1,1
Jagatsinghapur,380,21,ODISHA,3,3,3,3,3,2,1,1,1
Cuttack,381,21,ODISHA,3,3,3,3,3,2,2,0,0
Jajapur,382,21,ODISHA,3,3,2,3,2,2,1,1,1
Dhenkanal,383,21,ODISHA,3,3,3,2,3,2,1,1,1
Anugul,384,21,ODISHA,3,3,1,3,2,2,1,1,1
Nayagarh,385,21,ODISHA,3,3,3,3,3,3,1,1,1
Khordha,386,21,ODISHA,3,3,2,3,3,2,2,0,0
Puri,387,21,ODISHA,2,2,2,2,2,2,1,1,1
Ganjam,388,21,ODISHA,3,3,3,3,3,2,1,1,1
Gajapati,389,21,ODISHA,3,3,3,3,3,2,1,1,1
Kandhamal,390,21,ODISHA,3,3,3,3,2,2,1,0,0
Baudh,391,21,ODISHA,3,2,2,3,3,1,1,0,0
Sonapur,392,21,ODISHA,3,2,3,3,3,1,1,0,0
Balangir,393,21,ODISHA,2,2,2,1,2,1,1,0,0
Nuapada,394,21,ODISHA,3,3,3,3,3,1,1,0,0
Kalahandi,395,21,ODISHA,3,2,1,2,3,1,1,0,0
Rayagada,396,21,ODISHA,3,3,2,2,3,3,1,0,0
Nabarangapur,397,21,ODISHA,3,3,3,2,3,1,1,0,0
Koraput,398,21,ODISHA,3,3,3,2,1,1,1,0,0
Malkangiri,399,21,ODISHA,3,3,3,2,2,1,1,0,0
Koriya,400,22,CHHATTISGARH,3,3,3,2,2,2,2,0,0
Surguja,401,22,CHHATTISGARH,3,2,2,3,2,2,1,1,1
Jashpur,402,22,CHHATTISGARH,3,3,1,3,3,2,1,1,1
Raigarh,403,22,CHHATTISGARH,3,2,2,2,2,3,2,1,1
Korba,404,22,CHHATTISGARH,3,3,3,2,3,3,2,1,1
