band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
970768,69479,16486,2981,535,955936,65112,29368,9153,680,909704,94330,37712,17495,1008,362108,320307,215933,120477,41424,621706,180155,125733,88111,44544,342242,543055,141474,32723,755,347849,548468,130043,33325,564,705737,156520,100983,65009,32000,813701,177978,51012,16305,1253,22435,11814,61926,169213,794861,276958,132369,140692,280766,229464,538022,212234,88892,68613,152488,563
860,11125,54247,319084,118817,1605,10537,48955,276781,166255,3769,19494,64597,264105,152168,10833,43991,158638,257743,32928,5417,17332,75955,278098,127331,260,12188,45476,92557,353652,348,13876,43352,96897,349660,5266,21755,60413,241126,175573,5804,11270,94135,283889,109035,83054,226509,125164,62626,6780,15624,195102,226462,51890,15055,6705,51769,123896,246644,75119,170
25214,53449,110650,93123,56731,26294,85434,111906,81299,34118,46590,104271,83997,73600,30543,39829,39491,75360,122554,61738,41976,65085,97282,84774,50417,9312,174073,97232,40208,18774,9490,185836,84630,42048,17637,54313,88640,94104,82748,19404,33258,53067,97286,123928,36366,20109,54086,78402,105562,80052,41911,101355,78847,63573,48781,55980,97961,84868,70967,25135,617
417061,3552,814,405,1144,408523,9392,3040,982,1036,397407,17872,5242,1652,831,63680,86330,128072,105066,39855,270368,87885,41767,17955,5041,158828,242700,20333,1119,46,159673,245223,16953,1155,44,311332,74324,23579,11450,2323,323605,77556,17088,3615,1406,1207,774,4202,31984,384781,131883,99035,82540,72879,36349,282251,67558,32833,20470,19620,576
21087,81822,32240,14407,2978,18852,72822,39231,18008,3621,42346,75681,21055,11785,1667,1732,8947,46586,82131,13138,11862,85369,45713,8550,1040,4683,83362,47989,13835,2665,4836,88011,42568,14656,2463,19226,78160,35770,16411,2967,2103,18944,89744,39541,2202,1925,5748,9858,44476,90527,1455,8459,41577,89965,11078,45264,86397,17768,2935,170,139
10518,175032,298843,244917,65959,55767,224071,237728,236085,41618,19769,209804,238553,273695,53448,332611,194896,179396,78412,9954,73298,157190,188438,216520,159823,3935,107794,405116,256708,21716,4037,121974,382096,268528,18634,25764,172527,202231,237099,157648,217414,170462,191367,185704,30322,217309,367567,144278,54361,11754,217700,194832,134871,155531,92335,13999,52718,159329,195523,373700,537
33787,167388,202512,85141,4695,25351,80561,188509,179798,19304,22918,43965,110025,258009,58606,68373,83852,113576,183728,43994,20985,77524,136045,136991,121978,2384,24476,70877,159770,236016,2494,26549,67114,166140,231226,19363,53026,156384,166224,98526,23209,70991,153323,197392,48608,93524,152090,136375,80074,31460,156476,108592,104939,93951,29565,26453,79515,150105,137313,100137,125
13079,107705,148248,433676,159970,13007,143432,176678,419935,109453,99634,183795,296830,246388,35681,44856,123565,392245,282324,19114,72567,168600,300195,269744,50451,3847,111066,465583,213620,67189,4267,139527,433940,220915,62656,97503,169223,244991,262589,87405,28681,142142,294447,365554,35221,42613,102434,250640,342669,123446,10642,137608,259643,329595,121746,85025,279980,296287,152217,45657,153
40060,53142,32650,40724,27815,79203,56118,34379,18428,6263,110822,58482,18310,4474,2302,66757,72427,39308,12996,2902,87554,61344,34236,10215,1034,189130,5225,13,0,0,188948,5412,8,0,0,101124,62495,23680,4550,2537,87632,58256,38612,8003,1888,9513,6316,18979,63245,96337,4030,19541,29978,62957,77877,61779,75617,38506,14215,4265,320
183,11702,28811,110731,110039,295,9171,26339,100898,124763,2266,20492,44842,122488,71378,4605,18479,56986,135601,45795,4402,26873,69565,104877,55749,3320,23542,48034,79174,107396,3218,25350,45539,82265,105094,6368,31653,56731,91759,74955,3282,9983,35482,118443,94276,21814,83135,91581,60529,4407,110,24475,117871,98420,20590,5259,79342,95867,63858,17139,161
4717,21901,27937,24576,16764,9103,24667,25149,26933,10043,13309,28889,25926,23560,4211,13341,14197,25975,35070,7312,18036,33719,27978,13950,2212,1484,24071,48348,19835,2157,1417,27268,44498,20675,2037,16212,24894,28415,20005,6369,4523,13045,43389,31394,3544,10410,14588,18320,28030,24547,1252,7045,18755,36273,32570,24807,31638,26274,11931,1245,88
4330,119775,306213,330737,123388,10889,184980,271778,290980,125816,16817,178765,232539,294561,161761,236970,123709,151647,203333,168784,31621,105690,215114,247925,284093,4491,49602,203902,334005,292443,4657,53180,194727,346161,285718,33391,72852,241535,303138,233527,149144,144449,169005,241037,180808,151097,348574,200744,148740,35288,261624,272976,222224,87660,39959,35045,83645,165918,189850,409985,559
137328,350412,339465,179652,9171,175197,342424,309089,181573,7745,125100,290740,286055,262627,51506,394306,279665,212714,107274,22069,127157,221062,283595,297118,87096,18036,97874,286485,382955,230678,18445,109543,270609,395498,221933,100115,221192,336749,327158,30814,316414,271858,218483,172769,36504,144436,331143,321153,178544,40752,218188,321131,207035,143360,126314,57888,120358,271002,378548,188232,517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
160931,33164,6612,950,754,183643,15873,1929,461,505,179926,18769,2741,656,319,15141,41081,60004,58726,27459,99937,68264,23725,9428,1057,8325,170149,21791,2026,120,8986,172252,18918,2148,107,147322,37874,13518,3353,344,90602,92188,17501,1671,449,1890,1504,5461,20089,173467,36168,45096,44617,50117,26413,131119,43436,12438,6130,9288,588
2282,15239,51079,139291,148071,2725,50659,73029,133035,96514,36543,99002,165570,53331,1516,11015,37818,126806,151434,28889,124985,164755,57458,8566,198,91220,195528,64336,4815,63,91138,206280,53340,5153,51,121886,148562,66577,17538,1399,4925,21131,132758,191244,5904,7452,17920,79054,173298,78238,233,841,7299,60982,286607,183790,144142,25070,2404,556,216
22494,192666,336542,306223,39984,125787,289918,263202,198648,20354,217892,233024,210109,215285,21599,206698,144937,253690,228980,63604,178703,181026,227124,240822,70234,4026,287786,539029,67029,39,4049,313563,510952,69322,23,216924,238070,257750,170565,14600,177465,181351,277366,230615,31112,106848,109910,257010,252244,171897,124660,259386,186200,137454,190209,171685,227640,245002,201660,51922,547
289367,11827,1342,351,364,290976,9964,1588,381,342,281537,17074,3115,1163,362,27963,70610,73810,75520,55348,155286,113584,24727,8207,1447,7637,227705,63054,4691,164,7968,236604,53471,5059,149,233237,53233,12564,3741,476,166025,113417,21356,2056,397,4897,2280,5693,22898,267483,60887,86391,72665,61799,21509,200128,73495,15423,6466,7739,589
113449,430714,209186,73581,3327,52031,344819,278000,146395,9012,9609,189812,345349,260772,24715,488708,230072,87882,20294,3301,153830,417954,196838,58294,3341,720,2533,9829,38480,778695,723,2722,9608,40943,776261,14196,359665,352559,102967,870,248982,292340,193223,88836,6876,437842,252326,87302,45135,7652,2946,27943,120616,453871,224881,14993,181736,527740,99288,6500,514
206989,193811,283710,214332,6993,205215,258295,276764,154548,11013,163451,337598,252837,138009,13940,141607,359188,304548,92951,7541,59568,149384,266087,302225,128571,62380,384504,346696,95700,16555,63863,411242,316205,99504,15021,73834,183789,258590,273309,116313,197684,299042,274664,119686,14759,14566,100301,269081,402732,119155,352082,283527,136419,84234,49573,37709,148175,217182,235927,266842,406
876,7712,27052,80089,107742,2714,22925,47120,107351,43361,15740,82114,95552,24454,5611,10558,31305,76536,83955,21117,68356,103999,40958,7026,3132,64523,106882,45223,6704,139,65126,112751,38403,7054,137,59637,94073,49335,15235,5191,6003,21916,88554,97309,9689,12239,9598,39803,115046,46785,328,393,2496,42066,178188,99944,99196,17629,5958,744,220
40343,57243,53787,19962,4465,18535,34818,49361,64187,8899,18097,34873,43926,71414,7490,2024,13128,54211,87027,19410,13659,36581,75062,49326,1172,7000,5750,12985,39229,110836,7056,6401,12239,43385,106719,11794,27183,44506,77579,14738,3901,14726,63660,88738,4775,6069,27413,48351,57717,36250,3360,33917,67664,54916,15943,24646,79918,59408,11122,706,70
1224,45477,205001,355661,161856,9943,141373,349060,252878,15965,107501,360940,231064,64910,4804,406484,194757,75639,39017,53322,318667,233813,144612,64532,7595,481097,282367,5549,166,40,484046,280567,4404,164,38,305029,234482,144280,76271,9157,189245,291887,175716,96528,15843,143566,178104,180266,159000,108283,3407,39077,87372,179244,460119,231684,223573,131037,129183,53741,335
10243,98114,150238,139414,34027,5030,62389,157521,153562,53534,8562,109926,154438,128364,30746,15371,83726,178902,129246,24791,5002,50677,171820,163550,40987,0,418,89175,283781,58662,0,703,87210,291354,52769,4232,55752,127440,176405,68207,7443,63068,152829,170445,38251,18182,78612,139758,163512,31972,9493,133715,197713,80120,10995,8367,107188,171726,113510,31245,150
321,12011,59316,387536,731022,125,1853,16099,160511,1011618,73,3226,18411,150662,1017834,5201,18092,48650,184816,933447,1051,3548,22915,204891,957801,640,52996,383814,561246,191510,986,63976,360349,580062,184833,714,5787,31174,162115,990416,1376,3578,13908,94212,1077132,340503,535104,203315,96580,14704,93669,539476,487191,64962,4908,5854,122303,325389,475117,261543,116
10298,42072,44399,40129,23912,23964,40977,40799,40258,14812,32738,48823,41494,32293,5462,11884,20179,48590,71100,9057,37717,55287,46479,18480,2847,2126,47730,92839,17668,447,2035,53556,86335,18480,404,33459,47120,42523,30065,7643,3652,17028,82819,51704,5607,12850,17301,24627,51862,54170,914,7738,29726,67068,55364,49988,64588,36294,9175,765,141
454,12993,100978,430726,265874,5140,15802,88126,334365,367592,7770,25742,65863,327274,384376,11342,32390,96133,325754,345406,8968,23331,53145,230775,494806,10370,40523,109422,219409,431301,10321,45502,102992,234585,417625,10171,28568,48868,174487,548931,8335,10837,51198,291503,449152,51604,403212,225967,97716,32526,207392,429005,113376,43207,18045,29451,77273,135876,288535,279890,120
381718,4303,461,50,6,375526,9128,1676,170,38,366377,15460,4296,356,49,154496,63054,55052,54258,59678,224502,92098,47327,19180,3431,384460,2023,54,1,0,384525,1966,46,1,0,289445,65777,20797,9183,1336,277783,73276,26921,7384,1174,1344,1914,7050,23634,352596,186910,60256,36904,38855,63613,238823,91802,30285,13823,11805,272
2020,12535,65174,143157,42906,12380,54787,126247,65449,6929,36621,85283,116351,26727,810,117173,124096,21184,2707,632,55441,45552,81904,79303,3592,88739,176511,542,0,0,88126,177325,341,0,0,57814,55246,87413,63585,1734,49265,122440,87931,5469,687,34148,89325,70511,47705,24103,7431,67918,68541,52672,69230,40501,39790,34943,57120,93438,379
110386,150138,90224,50760,10234,35729,97056,115660,125914,37383,11468,56856,103379,162792,77247,25252,45874,100471,165006,75139,1968,9874,44246,126953,228701,393,32568,155785,138363,84633,394,42493,144477,143411,80967,2123,19960,59740,139894,190025,23153,44398,88163,163308,92720,7954,100806,170466,119451,13065,348107,47471,10620,3664,1880,1497,16117,57684,103771,232673,581
1571,15966,80495,262639,187946,2423,43827,100041,315774,86552,5779,125863,232679,154444,29852,102049,184992,169164,80239,12173,12309,152175,183419,137376,63338,53257,252014,196845,41286,5215,54265,269695,177215,42540,4902,10875,136862,170639,153579,76662,30547,115970,213991,159087,29022,23835,178073,224110,114680,7919,21520,104218,122771,176698,123410,11106,128633,174189,129640,105049,236
133684,496357,295098,140501,16610,99964,370658,323869,256287,31472,22198,243667,355405,392289,68691,540187,278816,183125,67025,13097,181571,446312,287711,153338,13318,3522,5445,11133,51653,1010497,3748,5494,10969,54523,1007516,22781,380278,436080,238631,4480,319746,277173,249068,207942,28321,546609,352146,110460,60753,12282,21728,79746,190148,553567,237061,28310,200138,623357,206614,23831,515
66393,258346,274631,167229,7454,46085,179342,225478,302763,20385,8541,115691,177772,402949,69100,286057,257689,154677,65062,10568,104160,216270,304418,136291,12914,166,3113,6104,42771,721899,185,3307,5894,45649,719018,18781,191139,331879,225339,6915,135590,158066,250477,209485,20435,444076,197716,75949,45687,10625,18042,74560,157652,378094,145705,27195,126058,401332,198610,20858,498
295,3689,13054,112698,96015,1679,2616,22399,143317,55740,3275,25984,73259,94393,28840,5504,3666,23622,126097,66862,7428,26108,79057,84097,29061,1937,10625,87659,102827,22703,2046,11445,79974,110488,21798,7859,32502,71265,79745,34380,4559,1754,18413,142422,58603,12590,26954,56377,110665,19165,1176,26834,81507,88980,27254,19715,103714,64102,34392,3828,174
124608,167752,104744,95900,9832,58950,186853,123236,111299,22498,27645,177902,153931,113415,29943,72640,138102,155371,115194,21529,14213,44755,146334,202637,94897,4925,22947,24969,148963,301032,4939,23492,22294,151806,300305,12646,61465,153973,181207,93545,57378,160865,145170,108587,30836,18128,91518,166502,198357,28331,242048,151744,61407,30689,16948,11529,51569,130235,161275,148228,431
269157,135220,141876,62420,10493,224747,122435,141855,117350,12537,216465,105788,103959,147839,44623,43245,55982,116953,279843,122392,110186,109492,117626,168271,111581,84064,213660,256480,59151,2806,84957,235804,232301,60282,2818,161828,112397,106523,164344,72679,108371,101706,158734,212731,38914,7313,71273,106683,169018,264105,240916,184365,101671,63074,26776,149084,153747,137095,107515,68965,612
109001,17691,15987,4155,173,110199,18843,15272,2529,164,113947,17513,13727,1801,19,31606,46111,34315,23159,11816,82269,35506,16869,12179,184,138734,8271,2,0,0,138625,8382,0,0,0,102985,21806,16786,5410,20,84084,40022,19635,3147,119,1294,3996,13152,18647,109918,11844,33485,28705,35108,37865,91048,29857,10904,9809,5389,318
287646,66039,24702,10074,1384,297051,61716,21565,8171,1590,312869,55973,15005,5489,1012,70348,89158,91103,94245,45779,248546,107684,27413,6817,1034,284519,73178,19606,6235,8370,284537,76129,16602,6686,7954,241819,102250,33580,11308,2227,150794,153280,66443,19075,1863,2930,6029,14871,53861,312618,6726,38654,66929,143615,133488,229088,125884,28047,5777,862,38
57,4112,88355,404107,157611,137,13872,140562,360867,138804,5256,114766,239559,230053,64608,7520,13165,174419,391073,68065,9497,87741,245455,239384,72165,2542,98916,466615,82951,3218,2551,115179,445820,87810,2882,15545,127860,215220,215149,80468,3544,10578,165920,383409,90791,14294,71041,213056,307954,47897,2130,99372,259831,250691,42218,23896,257920,262282,101142,9002,154
1986,613,299,243,151,1777,759,354,279,106,1970,682,367,181,63,1256,414,405,582,596,1667,753,524,204,57,8,1041,1409,675,50,8,1153,1313,672,37,1822,679,429,240,46,1426,536,768,506,158,821,218,300,647,1267,115,243,393,841,1595,1737,825,382,185,47,634
78822,49762,111149,234211,80103,106285,116155,196998,110343,28068,152648,241640,126717,34882,5628,139346,211899,165946,42918,4957,178246,226820,131933,33500,3138,290749,232858,50165,2293,132,290078,240055,43500,2465,112,182780,202150,128046,49217,8741,137149,177363,171957,59209,5014,19781,45339,126911,212238,157246,3367,23889,80732,204591,245266,160989,213944,118945,55697,15483,203
