band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
942986,84187,23449,7799,1429,399,931895,74697,32736,15959,4522,440,863678,121744,40194,24560,9632,441,294061,297341,211742,144784,84383,27938,568347,184142,114926,95339,62879,34616,59273,753849,164695,69015,13300,117,65707,752948,159817,67264,14394,119,657989,163831,95072,70474,50308,22575,755525,198600,70230,25831,9527,536,21835,5616,27453,83943,173622,747780,252026,114298,108776,137663,284037,163449,474696,229981,95072,63830,56220,140450,563
381,6224,20613,104203,314504,58208,814,6257,18181,87472,300250,91159,2306,11413,32935,93085,283641,80753,8443,23645,77923,197654,182217,14251,4730,8399,33958,113864,268782,74400,88,6293,24086,50815,110980,311871,180,6901,23755,49992,110259,313046,4199,11986,33470,84540,258762,111176,5043,5710,32101,148641,255560,57078,45453,199415,135937,81792,37875,3661,8998,94402,259640,97623,33032,10438,3378,31912,70166,157324,195700,45653,170
17718,41494,81745,71288,88131,38791,17529,60093,94818,79725,68543,18343,26977,85611,81787,65273,62609,16744,34278,28579,46417,78748,107004,43946,35567,44801,73266,82355,66433,37112,2999,118084,128255,48099,30809,11353,2784,125450,120723,47267,31785,11632,42887,68637,80828,74514,61062,11281,27691,37385,63193,109023,81112,25501,16008,30808,64832,71189,95792,59582,29811,79492,76967,57945,50024,40228,43141,76736,78933,66549,51653,17899,617
415062,4967,1125,404,351,1067,404313,11792,3754,1537,679,898,389411,22532,6655,2721,1007,678,51639,65197,95705,107520,74913,28029,244690,89323,49685,23941,12072,3305,54772,318095,45206,4597,333,23,60911,315517,41719,4528,351,22,288651,80853,30632,13742,7867,1263,298717,88135,26231,6914,2137,1136,1140,497,1450,7499,41889,370473,115312,83389,76535,62107,60486,24857,259033,74409,34944,22324,15279,16743,576
8439,72434,43272,16442,10498,1449,10409,55853,49169,22313,13073,1717,22275,81747,26606,13316,7775,815,1378,4327,20345,60646,59339,6499,7000,58925,61831,19986,4266,526,927,51550,67122,23754,7696,1485,899,54954,63605,23464,8116,1496,9137,66353,43867,21077,10137,1963,1564,7758,51525,73152,17488,1047,1364,4087,6084,12682,58987,69330,1030,4264,18491,57201,65846,5702,23765,92926,26744,7865,1133,101,139
2567,122654,193708,256398,180450,39492,20961,187274,190039,207967,171400,17628,8305,146470,191997,210604,216160,21733,298148,163018,166748,117722,43268,6365,50661,123182,147556,164504,189605,119761,843,41838,264373,325279,156861,6075,1043,43971,263771,319000,161688,5796,13706,123971,158236,175573,214795,108988,186412,145886,148174,167178,134271,13348,145962,343661,185073,79317,33182,8074,174477,183195,125510,107933,143020,61134,10809,28951,93532,160499,164370,337108,537
21243,103521,183154,142850,40140,2615,17965,51171,115826,178798,123404,6359,17552,31360,58556,147401,215549,23105,53746,70140,76300,124943,146260,22134,16656,43856,106163,111132,119184,96532,458,17492,34570,95216,147995,197792,483,18283,34102,91129,152730,196796,14915,33487,89287,149375,134501,71958,19251,38037,108138,146873,161076,20148,69814,119842,132206,90549,59124,21988,134192,96587,86021,88434,66633,21656,17772,55540,95919,145090,97090,82112,125
1231,90344,80757,210563,381764,98019,1740,119244,98431,247730,342751,52609,58081,152968,212653,256346,164341,17939,34353,69842,200420,398426,148755,10308,46051,130810,201311,270663,184037,28685,1280,30799,366702,284385,135277,42862,1482,34052,368176,273864,140957,42774,62650,140176,182026,215607,207203,54049,20896,82657,172364,358597,214587,16944,35608,60070,149574,273520,255801,87229,5253,78314,186315,239013,269608,80731,55847,194131,279791,198818,98104,32475,153
27831,52134,30587,28896,32961,21982,67754,50637,33776,26750,10650,4824,93983,62163,25810,7262,3583,1589,49315,67309,46285,22123,7282,2076,71698,61381,35221,20927,4589,567,177143,17102,123,0,0,0,176419,17853,96,0,0,0,82797,64894,32138,9704,2870,1983,75549,52130,43438,17611,4468,1195,8440,4721,9030,26594,68288,77317,2289,13863,20767,31220,64512,61732,43284,74200,42597,22969,8169,3163,320
69,6184,18024,36650,127221,73318,50,4543,15829,30547,123953,86544,683,14560,23010,60994,118841,43378,3908,9810,32439,73060,117476,24773,3698,14344,44117,71462,90696,37149,1141,17711,25028,62610,66982,87994,842,18633,24478,60231,68570,88712,4409,18897,41017,54383,88001,54759,3072,4424,19384,45233,131768,57585,11175,66793,67266,82040,32211,1981,34,4282,77980,98010,69690,11470,1906,45995,89929,65940,49087,8608,161
