band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
824223,160572,42378,18276,8965,4007,1187,464,177,843125,125359,38108,24059,15254,9382,3993,816,153,747956,183900,53566,29121,20517,15116,8368,1605,100,154867,253613,182922,147827,117145,91554,61004,40007,11310,423494,226884,102111,78862,71267,60136,45910,31952,19633,0,494120,319002,125898,66959,40853,11822,1590,5,0,513491,305164,118961,71569,36551,13568,940,5,539470,192727,89623,65941,55302,44303,34757,29463,8663,617885,229965,106275,53333,27433,15295,8067,1900,96,20687,2245,4519,13528,33918,63950,99934,195990,625478,203500,89066,73758,71530,76571,98338,172766,208952,65768,333723,241032,129922,69511,48109,41282,36978,45397,114295,563
30,1425,5150,10634,26268,87914,199712,167545,5455,172,2122,4777,9678,22505,73470,179539,204366,7504,474,4390,8855,18284,34392,73344,168148,189853,6393,5597,7378,19113,42437,84399,148741,146508,47814,2146,3966,2111,7052,18510,38590,90722,174018,151494,17670,12,449,5920,13334,22970,38597,52626,145525,224700,112,494,6475,13423,24270,36054,60196,133402,229707,3147,3027,10011,19708,32619,65683,150546,190950,28442,3959,2425,4369,14087,50447,116208,165382,141176,6080,8502,101472,134894,97742,70366,49621,31568,9024,944,3080,18691,81629,184120,124650,48493,24797,12974,5699,611,9005,25674,41871,65236,120383,143519,85146,12688,170
6054,24274,28884,42138,63229,47666,59901,59414,7607,4991,30372,42259,55966,60227,58350,45395,36400,5091,4063,51891,56634,59100,47516,40444,41167,33840,4346,25398,18683,18776,27452,41499,56214,69587,60818,20545,22625,25134,32609,45953,55572,54096,45635,39260,18650,255,14235,106593,103897,41014,31443,18950,18175,5037,336,19044,108854,97265,42145,28580,23221,14773,5423,24223,38717,48584,55174,49370,50798,44911,23557,3875,18444,19511,27121,36268,59268,76680,58237,42726,5650,10351,12782,23683,42575,44284,49162,61609,64126,29639,15709,35591,58003,54611,42761,37540,35154,29347,25751,21181,43999,54697,55005,46432,44045,38140,22582,8830,617
407516,10433,2080,856,426,247,223,281,914,391077,19095,5933,2822,1602,867,470,456,651,359315,42065,10563,5056,2776,1544,754,548,383,28626,42790,45420,59433,71616,72176,54941,35390,12611,172504,111448,50061,37085,22666,13875,8887,5196,1294,2876,205035,164956,39856,7871,2076,278,70,8,2754,216662,157012,36511,7873,1863,311,54,8,236393,87771,45340,23398,12666,8310,5976,2841,313,228400,113036,45416,20884,8713,3548,1645,942,686,996,264,377,704,2151,6094,19895,55470,336997,86575,56331,55795,52574,45547,40521,41339,34808,9196,184510,109407,39525,25286,17888,14094,10650,10086,11286,576
485,32194,48194,33830,15945,9939,7798,3860,289,1390,23366,41506,38002,20783,12697,9745,4914,131,3722,52814,47486,20398,11222,8302,6229,2348,13,939,1125,3641,10301,23598,47092,46495,17915,1428,2018,15194,48713,47696,24179,9942,3328,1384,80,31,6966,45480,54984,21227,14665,5791,2977,413,35,8104,47714,51446,21944,13679,6695,2462,455,2070,25638,47782,32901,19243,12800,8253,3112,735,993,1600,6729,24794,56217,43666,15252,3240,43,706,1701,3044,3649,5385,9732,27032,76230,25055,530,1266,3498,9565,21954,44173,54605,15190,1753,4134,56195,56362,21183,9483,3943,986,219,29,139
36,23308,101877,121797,170282,158027,133305,79635,7002,335,81980,125920,123599,131710,142697,126626,60124,2278,2730,32530,119515,126846,131562,144193,157762,78584,1547,225686,129858,105622,110999,102707,70764,36071,10369,3193,17260,72370,84213,97243,104143,110674,123685,129226,56455,29,5553,37099,152174,223116,214362,124823,37736,377,23,6012,38979,149854,230954,201963,136787,30213,484,6852,32757,98068,102530,112704,118575,134342,152964,36477,124933,113981,93384,95222,100632,119498,102483,43719,1417,47181,219780,222662,138892,79594,45904,26322,10606,4328,97945,146562,113165,87621,73826,71996,91020,96958,16176,6489,10084,23187,52511,90375,111145,107039,139297,255142,537
2895,42079,79790,123684,115453,86867,35885,6126,744,7295,24412,37429,68553,109623,116448,98296,31049,418,9313,17526,22073,33134,57235,115588,151961,86281,412,31022,47180,45684,48249,61810,91184,106440,58012,3942,12235,12696,35581,67364,77321,72610,76845,88004,50867,3,4670,13277,20153,33713,75920,87756,117349,140682,2,5606,13158,19381,36103,69747,101571,103698,144257,10668,12450,25284,48494,91863,98305,90092,86857,29510,15181,10368,31739,63464,91057,100490,109626,70988,610,24026,84313,81317,89668,78524,54563,42581,29051,9480,89637,80313,60829,57175,58062,59218,51710,22998,13581,4896,27844,40572,58277,83798,98934,67911,63937,47354,125
158,14219,77198,46583,81414,163323,253039,204416,22328,219,31001,89764,58528,95650,191983,244517,140463,10380,6606,116634,87809,133554,167156,168289,132269,46853,3158,23377,29094,51724,107928,221521,269397,131823,24528,2712,19931,72060,84870,118782,175025,178167,139929,67207,5586,192,5328,26559,230198,235642,185247,95296,63630,19213,225,6302,29007,227364,246717,167959,111681,51511,20539,19897,95660,87269,116130,137664,143839,144972,101796,14484,9477,28957,65119,100417,172304,258240,174752,54123,2656,26189,21910,47579,85888,141946,195260,192222,119386,31422,1431,15207,66929,116119,145013,164196,194016,123238,33085,16920,89371,143687,191694,165854,121061,74638,42067,13874,153
11485,35172,33308,21372,17956,20155,22435,22965,9543,40001,48104,30286,24158,20623,15745,8331,5500,1643,55901,65534,34711,20266,9374,3432,2374,2490,308,26303,49708,40613,34639,20856,12913,5744,2538,1076,37721,59390,35968,25122,18820,12206,3825,1213,118,106368,84616,3261,123,0,0,0,0,0,100786,90726,2760,96,0,0,0,0,0,48074,62859,36758,24017,13176,4649,2000,1801,1052,53637,42416,31626,30040,21200,9809,3332,2112,219,5786,4361,3014,4620,10445,20559,38719,68470,38416,681,4808,10663,13071,16369,22547,38609,58465,29170,14303,58927,44254,30924,21289,13353,6290,3690,1352,320
2,430,5821,11009,14721,28944,69606,113424,17509,0,422,4171,9383,15286,21707,60659,139711,10127,12,3884,11347,13244,24395,46365,68873,89482,3864,3401,1962,8355,18520,32656,54323,81645,55692,4912,3204,2299,12539,25403,38066,52110,60905,54522,12418,0,4767,14085,16287,20815,50536,38366,59444,57166,0,5191,14284,15576,23124,46009,45983,51060,60239,2711,5481,15114,25676,32191,37533,56234,65655,20871,2778,738,3980,12018,17235,35364,77708,105075,6570,3573,27131,47264,43135,52199,53972,27445,6532,215,8,184,4124,45634,65197,65159,52965,23673,4522,233,8818,38850,61449,53415,41005,33592,23466,637,161
10,8261,10651,14598,14998,13602,14095,18052,1628,442,11850,12989,13977,14035,13580,15586,12976,460,1321,16003,15660,15394,14493,14325,12885,5638,176,4872,10266,7794,8658,13522,21470,19137,8770,1406,5106,15922,17538,21052,15437,10652,7004,2968,216,7,2420,9054,28020,23168,23368,6934,2417,507,7,2617,9908,26917,24386,21552,7970,1982,556,3349,15118,13632,15222,16341,14249,10002,6674,1308,1906,3695,6431,10920,25376,28236,14212,4914,205,4909,6914,7986,8565,10373,12502,16588,19556,8502,648,871,2883,7186,10514,13834,22222,30859,6878,9307,19145,18359,16191,15397,9808,5867,1718,103,88
4,8132,48397,120926,173183,197225,178949,140385,17242,650,19107,101496,134785,154905,146895,169159,147007,10439,2503,21525,92082,130433,129075,139396,169376,178697,21356,158839,92784,68244,70443,82595,100645,116293,125970,68630,16990,18285,44082,103535,119601,126844,140377,167077,147652,0,7230,26350,45918,104372,182890,181179,256445,80059,0,8266,26331,44675,111430,168593,202337,236282,86529,17939,19475,29058,83582,138036,156890,169300,177151,93012,79589,86157,78643,83184,90923,112105,141287,175159,37396,10286,196790,214721,119953,113655,107448,76190,37052,8348,142373,149331,152692,148046,125909,81704,39826,22684,21878,16835,23463,39872,69756,93873,104265,104929,155161,276289,559
