band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
688268,254718,56498,27689,15747,7702,5296,2503,1007,422,340,59,728181,203714,47025,27672,18976,13760,9552,6407,3400,1122,394,46,653439,210239,87479,34265,23118,17076,13671,10889,7077,2555,416,25,90398,203663,164682,132659,115730,96012,80011,64773,48323,36060,22692,5246,286821,281526,112376,71766,60710,54216,51322,44017,35649,27230,21471,13145,0,59273,565872,187977,92717,71978,39340,29675,10345,2955,116,1,0,65707,569021,183927,89510,70307,42721,24543,11648,2746,118,1,445350,212639,100844,62987,50090,44982,39360,31114,26230,24078,18580,3995,493983,261542,126864,71736,43166,27064,14914,10917,6561,2966,498,38,19954,1881,1829,3787,8997,18456,32852,51091,70870,102752,231459,516321,173676,78350,59829,54469,53985,54791,61108,76555,120244,163793,130436,33013,226467,248229,141127,88854,54997,40075,33177,30653,28635,27585,42751,97699,563
19,362,2096,4128,6782,13831,30579,73624,132903,181601,56671,1537,78,736,2464,3793,6408,11773,24078,63394,121460,178790,89915,1244,130,2176,4207,7206,12311,20624,33676,59409,114134,169507,79625,1128,4709,3734,7600,16045,28847,49076,80155,117499,116237,65980,13842,409,3626,1104,2392,6007,12703,21255,39578,74286,125108,143674,67856,6544,10,78,1104,5189,8918,15168,19571,31244,38088,72892,145888,165983,112,68,1215,5686,8797,14958,22367,27625,38535,71724,149184,163862,2765,1434,3727,8259,13758,19712,29579,54961,105405,153357,101521,9655,3551,1492,2130,3580,8384,23717,56134,92507,125028,130532,55871,1207,5168,40285,99375,100040,77907,58030,46239,35553,25959,11916,3439,222,1623,7375,23480,70922,136875,122765,66019,31604,19583,13449,6125,4313,155,3223,11000,20912,29975,40191,60665,96659,113274,82426,41604,4049,170
2686,15032,19327,22167,38362,43383,29547,41741,47847,40284,34851,3940,1763,15766,28745,31348,36935,57883,38729,40996,30567,37976,16059,2284,1152,25825,45454,40157,41957,39830,33478,31795,29125,33484,14804,1940,20796,13482,13875,14704,19221,27196,35270,43478,56524,50480,32523,11423,16269,19298,19259,25542,33148,40118,42462,39893,33983,32450,26889,10223,231,2768,30125,87959,80483,47772,24306,23793,14190,16619,8467,2886,310,2474,34820,90630,76486,44237,27135,20132,15552,16233,8744,2888,18393,24494,30829,37808,39681,41147,37886,36628,33320,27742,9158,2123,14791,12900,15987,21398,24488,38705,37039,71984,41650,39462,23201,2300,8487,7521,11498,19310,28740,36092,33791,37398,44552,51240,42926,16656,10662,19149,34791,44701,41613,35354,29733,28212,27078,22946,21587,18641,9927,33214,34141,42595,42290,36643,33428,33121,30209,21444,11905,5994,617
397644,17418,3565,1402,703,422,235,169,149,202,302,765,375896,28417,7812,3980,2325,1429,938,599,386,293,427,471,327584,61827,15546,6986,4066,2589,1691,1030,601,406,443,235,17169,34470,30304,34893,42641,53064,54908,52612,41822,33091,21078,6951,111485,133205,53882,35441,29125,20560,14196,9745,6949,5123,2642,663,633,54139,215182,102913,34312,10894,3256,1341,246,87,20,3,842,60069,216198,99319,31381,10338,3415,1113,264,87,19,3,192002,96649,49671,31182,19166,11466,7747,5995,4720,3147,1123,140,176344,122373,55570,32565,16894,9337,4549,2365,1357,780,642,494,946,194,193,304,450,1000,2377,5122,12609,29280,56628,313845,70619,44693,41632,41757,40104,36431,32115,29992,31285,29201,21313,3544,121740,137293,47018,27391,19800,15144,12011,10313,8424,6855,8318,8425,576
26,8413,35817,36617,25502,17770,9122,7320,6196,4302,1366,83,146,10263,25442,30411,30571,18598,13309,9004,7479,5594,1717,0,1112,21163,49285,32462,16902,9704,7245,6071,4981,2794,815,0,782,596,1223,3104,6855,13490,23210,37436,37744,21595,6020,479,965,6035,18778,40147,38256,23575,13510,6476,2702,1564,500,26,6,921,11700,39850,44298,22824,12968,10786,4776,2920,1356,129,7,892,12434,42520,41723,21882,14036,9428,5167,2949,1367,129,795,8342,31535,34818,26207,17660,11717,9360,6784,3353,1712,251,758,806,1981,5777,16633,34892,40846,32306,13526,3962,1046,1,464,900,1697,2390,2719,3365,4788,7894,17080,41907,60560,8770,361,669,1325,2939,6262,12229,21676,35525,43988,21858,4823,879,942,22823,54734,38192,17583,9161,5281,2584,868,265,90,11,139
3,2564,37511,85143,88846,104862,128529,127869,102660,77790,37121,2371,17,20944,91427,95847,94067,95972,102319,105648,97563,73837,16946,682,757,7548,53118,93352,94468,97529,98217,112387,119724,96436,21373,360,179193,118955,84141,78877,85985,80763,68097,49625,30340,12928,4109,2256,7573,43088,59078,64104,71780,75776,80645,83859,90813,98792,88317,31444,5,838,7623,34215,102345,162028,160998,164281,102341,54520,6053,22,6,1037,7825,36146,100940,162831,172568,146432,106856,54832,5775,21,4878,8828,48591,75380,76518,81718,87424,88149,97667,117128,95031,13957,92180,94232,74988,70898,67413,80761,78741,88437,79927,54344,12969,379,16758,129204,181799,161862,113282,71791,46943,32374,21385,11797,5015,3059,60519,113958,101917,81278,67305,58205,53420,54513,66318,76702,55145,5989,3842,6967,9706,19245,35889,57643,76062,84437,81962,82408,138643,198465,537
222,21021,40653,62868,89869,93285,80709,62141,31605,8535,2321,294,3869,14096,21737,29434,46577,69249,94418,84380,77892,45512,6153,206,6358,11194,14381,16979,23858,34698,53752,93649,116667,98882,22919,186,21434,32312,35774,34366,35615,40685,53452,71491,78551,67709,20778,1356,11041,5615,14451,29405,49064,57099,57146,53986,56314,62870,65524,31008,0,458,7633,9859,12779,21791,31230,63986,64841,83154,96071,101721,0,483,8263,10020,12570,21532,35437,55692,68518,84212,95309,101487,9623,5292,13548,19939,31855,57432,76360,73015,68221,66280,59530,12428,13454,5797,11529,26508,44752,63386,70143,76730,81698,79378,19912,236,11521,58293,56901,62941,69368,62838,51600,38949,32917,26207,17304,4684,62674,71518,51906,44681,42710,43311,44075,44359,41048,25585,10531,11125,911,16861,23704,31836,41879,54040,71507,73583,53903,43187,52903,29209,125
146,1085,37049,53295,42551,38206,65312,145251,185039,196725,87802,10217,153,1587,61721,57523,39317,59114,96847,150883,175844,166907,49451,3158,222,57859,88804,64164,94022,118631,128247,128099,105372,58969,17783,156,18711,15642,27526,42316,71935,128485,205199,193227,112146,36609,9275,1033,14557,31494,66767,64043,84414,116897,139115,131548,110594,73443,26886,1799,157,1123,7454,23345,136617,230085,141187,143198,76980,58297,33215,9647,197,1285,8249,25803,141585,226591,151865,121999,83699,57258,33092,9682,10472,52178,72265,67911,82201,99825,106207,109400,110458,96745,48676,5373,6182,14714,31606,51051,73808,98556,149966,208631,143860,70727,16782,162,21315,14293,20773,39297,57802,91772,122590,150930,151365,104436,72978,14251,701,4552,22135,56179,83063,103252,114414,124599,145838,123770,60310,20421,6591,49256,79199,114932,144287,135504,111944,86874,60565,37539,26012,6463,153
4105,23726,30038,22096,14578,16009,12747,16149,16978,15983,17559,4423,17004,50750,27140,23497,19988,13788,15367,11383,6544,4106,4456,368,34273,59710,37347,24816,15740,10070,5117,2145,1711,1872,1502,87,16247,33068,38794,28515,27891,18394,13162,8961,4778,2504,1431,645,18497,53201,36301,25080,19458,15763,12507,8420,3302,1287,506,61,33606,143537,15588,1514,118,5,0,0,0,0,0,0,33896,142523,16512,1341,91,5,0,0,0,0,0,0,29683,53114,38842,26052,19524,12614,6552,3152,1546,1324,1466,517,42290,33259,28447,23683,23359,20079,12324,5287,2703,1765,1112,83,3556,4884,2400,2321,3205,5825,9946,16648,27125,41163,58956,18361,290,1999,5494,8369,9539,11228,13566,17654,26990,37522,52173,9559,3622,39662,42787,31413,24153,18444,13681,9288,5201,2968,2488,675,320
0,69,1003,5181,7727,10297,14441,22209,47048,80173,69697,3621,0,50,795,3748,6129,9700,13364,17183,37804,86149,85380,1164,0,683,5655,8905,9696,13314,23808,37186,50059,68782,42950,428,3230,678,2668,7142,12640,19799,30275,42785,63158,54318,23226,1547,2928,770,3809,10535,17889,26228,30964,40498,44595,46101,32723,4426,0,1141,6870,10841,11013,14015,20869,41741,29369,37613,51478,36516,0,842,7437,11196,10727,13751,24603,35628,31772,36798,51419,37293,2067,2342,6535,12362,19195,21822,24971,29412,39933,48068,46723,8036,2611,461,895,3529,8269,11115,16611,28622,51169,80599,56557,1028,2073,9102,31027,35766,31252,36014,42599,39441,23330,8881,1948,33,6,28,388,3894,29257,48723,50223,47787,41327,28363,8087,3383,66,1840,13525,32470,46096,43833,36218,29722,26059,23028,8485,123,161
