band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
783701,187067,47337,22142,10375,6111,2195,786,401,134,802261,153675,40950,24162,18280,11088,6605,2548,571,109,713391,196313,64345,29985,21582,16130,11674,5821,947,61,127471,234637,177880,142427,120729,95204,71316,49161,32865,8559,377859,243847,104431,75724,65554,60179,50966,37145,27717,16827,0,342242,408678,134377,92520,48954,24505,8218,750,5,0,347849,415993,132475,82155,47888,26501,6824,562,2,507655,198082,92657,63863,54635,46348,35282,29727,25438,6562,572104,241597,116287,61691,32676,18336,10774,5531,1183,70,20375,2060,3099,8715,20655,41271,68607,100606,207547,587314,192153,84805,67777,64592,65773,74919,103415,177351,179019,50445,296299,241723,136969,75265,49493,39399,36509,32104,44425,108063,563
21,839,4046,7079,15233,39014,112798,206286,115839,2978,125,1480,3859,6678,13110,35845,93612,183169,163112,3143,304,3465,6179,13315,23391,41206,93370,170735,149149,3019,5226,5607,13986,30005,55187,103451,145215,112528,31715,1213,3829,1588,4651,12681,24338,51617,106811,171287,115328,12003,10,250,3637,8551,18019,27457,35975,56582,140239,213413,112,236,4306,9570,16612,26740,38780,58117,146300,203360,2975,2291,6747,15008,22634,37779,79531,161595,156454,19119,3800,2004,3168,8102,25780,68355,123418,160471,105913,3122,6756,76298,123780,102729,71242,53922,39644,22982,6189,591,2379,13245,50240,144862,152314,74148,31955,19935,9957,5098,365,6340,19068,32701,46982,76914,127529,119115,66654,8465,170
4281,20933,22665,30784,62294,48356,41160,51963,50417,6314,3334,22960,36708,48726,60712,51194,40416,40883,30060,4058,2546,44044,53500,50771,43514,40483,35663,37937,27130,3413,23474,16355,17382,22109,29954,45406,59258,63296,44822,16916,19820,22156,28752,36333,46573,50709,46189,38585,35585,14832,244,9068,72461,101612,65953,31279,21736,18472,13942,4832,326,9164,85677,100159,53631,30999,23999,18049,13503,4134,21386,32927,42509,46131,49399,44705,42896,39852,16311,3093,17236,16022,23163,29904,41944,55342,71272,52656,32557,3809,9550,10559,17319,36767,37453,40949,47308,58254,55717,24335,13484,28427,49357,51998,43004,35843,32766,30807,26023,22758,16603,39377,46202,51759,44869,39999,39430,31537,17635,7500,617
404217,12844,2511,1041,541,273,187,218,295,849,386018,22505,6324,3068,1944,1096,616,366,468,568,348351,49056,12243,5629,3319,1923,1104,548,521,310,23300,40380,38137,48193,62531,65541,60326,44740,29716,10139,151114,119254,51003,36882,25445,16322,10725,7230,4043,998,1632,157196,183016,59684,16545,3788,935,184,39,7,1791,157882,190552,54671,13251,3702,996,159,38,6,222141,89191,47637,26687,14480,9099,6757,4693,2088,235,210289,113316,52928,24628,11922,5166,2378,1237,802,604,979,228,296,478,1106,3096,8128,23856,56280,328501,80402,51481,50193,48842,44318,38222,36278,36601,29730,6619,161204,121047,41464,26094,18577,14256,11722,8748,9499,10121,576
244,20843,48422,33400,21236,11004,8003,6404,2776,202,855,17997,35010,37812,23757,15474,9978,8030,3605,16,2688,39658,50921,24760,12601,8454,7079,4706,1665,2,886,846,2292,6655,15371,31215,46888,35243,12179,959,1621,10241,36239,49130,30525,15188,6177,2373,986,54,21,4662,24551,58811,31554,16435,9377,4458,2255,410,23,4813,28840,59171,26611,15957,10307,4349,2218,245,1496,17730,42708,35452,21971,13799,10233,6178,2462,505,907,1196,4194,14750,39800,49944,30256,9285,2188,14,611,1314,2532,3216,3862,5996,11806,32670,73041,17486,471,984,2458,6001,13871,27706,47177,42788,9723,1355,2472,42792,59370,27027,11774,5994,2343,592,149,21,139
13,10505,70532,104500,133379,165464,133006,111911,61599,4360,134,55633,119509,104562,118436,119292,128765,107320,40253,1365,2060,17709,97437,112367,117199,121354,137296,136399,52615,833,206442,126169,99026,95870,100407,78989,53441,24971,7180,2774,12769,60529,74581,82609,90911,97527,103344,113176,114763,45060,15,3920,15347,92447,195325,209791,159310,97398,21371,345,15,4022,17631,104343,182774,199322,173190,95338,18489,145,6091,19673,81735,90792,97622,104609,108175,128924,131676,25972,113699,103715,86395,84067,92596,98771,104489,81215,29518,804,32527,184782,212424,155143,89820,54458,34709,19652,7938,3816,82615,135085,109543,85289,70650,64221,68293,87238,81537,10798,5553,8446,16520,36198,66575,92754,101729,93794,139584,234116,537
1344,32443,65791,101597,106743,95769,63826,21315,4208,487,5801,19550,29709,50852,79050,109459,100783,79015,19016,288,7989,14929,18173,25792,40585,69440,124049,133960,58347,259,26307,42066,41593,42259,47961,65615,90669,93059,41439,2555,11742,9243,25007,52517,68166,67879,65345,71646,78857,43121,1,2383,11342,13134,25660,45217,72049,87721,98620,137396,1,2493,12345,14204,23825,43289,78854,87286,105359,125867,10207,9156,20527,32499,65300,91084,84022,82202,76336,22190,14455,8754,21495,49496,71226,82097,96026,101366,48276,332,17244,76280,69457,82633,76248,60127,44420,35654,24053,7407,79242,77234,56735,51857,51732,53207,52393,41558,17014,12551,2804,23649,33069,46446,63263,86842,82515,54798,60176,39961,125
149,12930,53901,53804,51548,96700,186580,247096,144045,15925,172,12835,84140,59292,62976,113702,201847,218088,102466,6987,1808,97826,83759,100036,140273,156557,148316,98072,34381,1300,21410,23446,40941,82624,136194,256051,206143,76181,17140,1974,17818,54749,78199,90401,137005,163190,156388,113356,46877,3574,165,3682,14354,96712,283868,181715,133656,79964,48049,19140,212,4055,16840,122687,259916,174024,144839,76076,48137,14519,15836,81667,77446,91777,118126,126865,132252,130337,77096,10309,7935,20746,49741,92401,105094,189353,230700,134854,34011,1210,24280,18333,34870,67564,100205,150435,187221,155448,100187,23259,1095,9547,46841,90767,121632,138011,157604,171991,94151,27595,12138,72887,114030,165950,164764,131523,94927,57290,35057,10600,153
8069,31991,33297,19845,17350,15300,19880,20844,21082,6733,29039,50164,32299,23819,16846,17533,12144,6284,5197,1066,46959,63863,36399,22083,12652,5658,2253,2221,2132,170,21946,44811,40118,32309,23725,15583,8713,4283,2000,902,29748,57806,36403,24941,19402,14834,8019,2196,944,90,78093,111037,4843,382,13,0,0,0,0,0,78864,110084,5161,251,8,0,0,0,0,0,41309,59815,37366,25129,16210,7470,2827,1723,1706,831,50410,37222,33143,25113,25229,13383,5420,2583,1758,130,4968,4545,2664,3652,6362,12617,23315,39930,66261,30076,498,3532,8638,10903,13348,16630,24033,38924,56535,21342,9562,52217,44113,31504,22685,15821,9681,4534,3202,1063,320
0,183,3390,8312,12392,16419,34106,76625,100750,9289,0,295,2526,6645,10956,15383,27974,72924,120012,4751,3,2263,9319,11173,15495,29347,48398,74090,69533,1845,3326,1279,5700,12779,23073,33913,58676,76925,42451,3344,3115,1287,8773,18100,30884,38681,48990,55887,47027,8722,0,3320,10660,12882,17018,31016,42305,36869,50542,56854,0,3218,11899,13451,15385,30154,45943,36322,56072,49022,2474,3894,11244,20409,26302,30429,39028,52731,59408,15547,2711,571,2339,7644,13615,21867,42315,76128,91318,2958,2941,18873,41940,41195,40285,51296,42522,18007,4294,113,8,102,1611,22864,57711,60160,55046,43374,16585,4005,145,5114,26836,52506,53229,42638,33917,29941,16819,320,161
