band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
0,19,202,1165,6090,36212,147068,269367,22866,0,69,744,3360,16803,74100,169494,190914,27505,6,703,3904,25757,75902,123762,121122,114506,17327,1237,1770,3999,9231,24329,64745,164873,192850,19955,1267,12439,30015,64932,103561,103214,83108,71752,12701,0,8587,108644,89499,76608,71397,47569,42545,38140,0,6204,110986,97054,74883,64851,50829,41845,36337,584,12982,39993,73855,84440,75444,75830,80952,38909,492,685,1753,9143,29858,63260,147107,202175,28516,1346,38523,55017,68821,97047,117712,85014,18932,577,12,397,7739,55011,83171,113186,133558,74493,15422,4129,52714,114207,114392,77256,59452,44293,15717,829,80
0,0,68,815,6377,43777,108554,94310,5714,2,248,2442,11536,32517,91985,92279,26748,1858,42,4029,35488,63008,70098,58433,23757,4095,665,4809,4794,9712,20392,38442,63339,82759,34950,418,4083,11213,34430,59417,71291,53593,21001,4322,265,137,22160,69416,109402,45817,10124,2220,336,3,272,19866,70688,119543,37990,8724,2268,262,2,3149,13428,38700,57618,62888,50155,26359,6315,1003,2083,2792,8650,22244,38274,79819,94688,10459,606,5482,2463,5062,14440,34260,65622,90376,41434,476,66,739,4386,16234,34384,55324,76904,60731,10847,3509,37830,78673,68946,40636,18796,7145,3363,717,178
3,0,2,1,1,0,0,1,6,6,3,6,2,6,3,1,11,11,0,8,6,10,12,2,12,11,16,58,4,2,6,6,4,0,2,2,37,17,10,8,8,12,3,3,0,0,0,6,25,5,0,0,0,0,0,2,12,26,2,0,0,0,0,0,0,15,47,18,19,19,35,8,65,14,7,6,8,12,6,22,28,93,4,0,0,0,0,0,0,10,70,0,0,0,0,0,1,4,57,0,0,0,1,71,20,6,3,20,339
6100,38399,83110,170682,173593,188183,193670,274037,46728,11043,27917,49741,110681,154870,163911,205794,382208,68337,11879,22452,54084,91815,127438,155937,215151,403376,92370,17325,8741,9653,14058,21504,41529,91135,406337,564220,12396,7419,9815,21430,71599,166986,259271,406674,218912,3,7827,6457,17282,70765,267260,340953,332734,131221,8,7595,6572,20829,78918,250500,366238,322613,121229,10792,8839,16129,42538,90550,150355,241048,422371,191880,18538,8996,11678,16974,29281,62019,215157,634810,177049,20828,49285,141652,188134,167380,162737,201230,201997,41259,130327,334689,391737,208364,59082,19998,11393,7453,11459,9743,49806,152147,185925,194854,232505,198535,114134,36853,469
9,24919,33171,36606,56810,44446,26179,18054,2824,69,34218,40736,39665,41679,47076,26683,11845,1047,1432,53088,45989,50763,43590,32603,12840,2292,421,18342,24639,43209,56826,57516,29161,10489,2642,194,18102,32736,44809,49146,41519,32739,17283,6329,355,8,30033,140795,56986,14003,1180,13,0,0,26,24734,139798,66867,10736,840,17,0,0,22575,46593,45074,40629,39888,27866,14468,5256,669,12385,28174,43461,55484,52704,30242,16922,3307,339,11370,3755,8842,22117,41547,53329,52268,43280,6510,508,5936,20534,34181,37354,36464,43137,42721,22183,14218,31933,48666,51371,44540,29284,13077,6700,3229,352
29686,19204,14669,9827,11130,8187,4639,1626,42,29541,17483,12054,11665,11392,9122,5750,1962,41,26028,19300,13413,11660,10898,9071,6437,2172,31,12343,13451,12196,16337,14670,14253,10076,4588,1096,16366,18748,19054,17470,12965,8988,4644,768,7,2677,36251,40339,15800,3633,295,15,0,0,3089,34110,40309,18687,2569,235,11,0,0,16241,19773,15114,13837,12830,10471,7561,3075,108,21854,14674,14107,14844,13119,11453,6743,2183,33,453,2472,4167,6798,9730,12765,15900,22532,24193,306,3016,9355,14592,15812,16854,17381,15576,6118,10182,27183,21723,17325,12806,7016,2344,398,33,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,16,5,3,4,0,1,0,9,4,39,12,16,4,5,3,3,5,4,186,1,1,0,2,3,2,0,0,286,30,6,3,3,7,5,0,0,0,0,64,47,11,0,0,0,0,0,0,56,101,15,0,0,0,0,165,211,187,75,64,47,14,37,3,743,33,48,18,7,8,5,29,22,95,0,0,0,0,0,0,0,152,417,0,0,0,0,0,0,0,54,4,5,9,22,84,20,7,6,211,598
12877,18114,16420,19607,16763,16563,9941,4949,1202,13833,20770,16165,18380,19236,13463,9288,4642,711,13444,25151,18914,18653,15440,12561,8585,3597,187,7816,11322,12282,16369,22502,24951,16454,4421,449,9357,17365,20664,22826,20108,15978,9195,1172,13,3285,33259,26237,18920,16899,12374,4254,1331,135,3705,31408,27171,21273,16240,11006,4567,1202,122,8100,21491,21936,19720,16369,13971,10737,4144,168,12035,12895,13508,14665,19038,25673,15351,3245,92,1451,2824,4271,7788,12423,18817,25246,28329,15373,149,2336,9347,18291,23093,22847,21282,14225,4884,5758,25297,26241,22568,17402,11662,5813,1494,301,22
307339,192509,90918,56087,32188,17272,5441,1407,263,167182,145358,89387,92356,75587,63862,47135,22044,513,124421,98883,82442,69368,69005,79851,93295,82457,3702,24100,23199,33015,58568,87943,123803,168828,153692,30276,60447,70421,46861,43947,50070,64426,91964,135931,139357,140,87968,70823,86641,138855,178079,100841,37474,2603,117,86260,72999,97101,140693,165835,104269,34059,2091,80232,71974,55125,51676,56195,68650,102573,142519,74480,52797,79553,86681,85813,87142,91943,111651,101248,6596,7839,5387,43773,83750,96582,97874,97472,106145,164602,388138,89074,57704,44308,35265,29636,25201,18093,16005,95812,67919,50460,46965,49365,54178,57071,76348,205306,574
