band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
0,4,74,372,1183,5437,17343,78959,193405,181353,4859,0,15,244,1090,3343,13632,53230,113205,143350,151179,3701,2,248,1475,5900,27314,65383,96016,100518,95175,88334,2624,965,1242,2196,4358,8942,19051,44279,96337,172025,126736,6858,918,5950,18479,31961,59436,84995,87307,72808,63514,51964,5657,0,34,45663,103923,71706,62012,55809,41683,39830,34876,27453,0,28,38787,112719,64589,69464,53544,42143,39174,33217,29324,427,4753,22801,43639,64981,67711,62333,60953,64014,67157,24220,381,499,860,2650,9495,24588,43031,87580,168396,138847,6662,525,21042,42421,47927,59281,79160,96192,86952,42644,6564,281,5,110,1556,15522,52738,67682,86561,112501,89944,51250,5120,1239,28633,73410,102152,88545,62827,50056,42780,25625,7417,305,80
0,0,8,146,815,4861,27528,69898,103735,49755,2869,0,92,726,3631,12132,27645,63408,86716,53448,10755,1062,11,928,14009,39850,54619,56884,50845,31619,8320,2331,199,4239,3332,5657,10621,18446,30373,49473,65303,59206,12884,81,3531,5608,18575,36124,51495,59380,48170,25997,8563,2063,109,1,8905,35797,82221,89004,31004,9033,2579,996,73,2,2,8747,31823,86021,85192,35494,8713,2624,934,63,2,2660,5983,22371,38158,48283,51889,44980,29169,12524,2964,634,1728,1757,4057,10724,19974,31253,55937,90456,40348,3236,145,4944,2047,2635,6039,13892,27951,48725,69544,67693,16078,67,41,337,1597,6079,15766,28037,41658,59009,61669,39542,5880,2358,18192,54660,65761,52749,33152,17926,8311,3830,2289,387,178
1,2,1,2,0,1,0,0,1,0,6,4,3,6,2,2,5,4,0,6,7,10,0,7,5,2,11,10,3,5,11,14,9,58,4,1,1,6,4,5,1,1,1,2,19,29,13,7,4,8,9,5,2,2,0,0,0,2,17,17,0,0,0,0,0,0,0,0,4,21,15,2,0,0,0,0,0,0,0,1,22,43,12,12,23,11,32,5,55,19,6,7,5,7,12,6,4,33,14,90,7,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,1,0,6,55,0,0,0,0,3,66,20,5,6,1,20,339
2683,25008,44231,93308,137809,146944,154018,149183,190399,203963,26956,6865,20921,27824,52392,100561,139851,126483,145125,212030,315391,27059,9722,13671,30373,55269,84785,105443,122808,153015,214599,351447,33370,15554,7227,7401,8980,11535,18189,29448,53265,126669,521427,374807,11239,5640,6945,9806,21558,56378,120847,189900,253656,360294,138239,0,4350,5894,7230,21084,63776,183670,254647,321319,237354,75178,0,4396,5447,7577,18591,71190,175906,258791,317933,232129,82542,9799,6098,9358,18202,40685,73252,113631,162719,253354,377332,110072,16724,7597,8585,10831,14726,22526,43051,102350,298768,589508,59836,16586,27410,78792,140338,152991,136810,130359,149415,182034,137916,21851,87233,239138,326092,284148,137548,47042,18829,11020,7665,5378,10409,8455,20109,91467,141726,152714,159630,184543,187404,124712,80370,23372,469
0,5915,34818,29980,37592,41661,33705,28719,17329,11423,1876,13,13687,40211,30730,31178,39256,37428,26689,18291,4935,600,259,27752,50047,33357,41467,40361,28128,15010,5409,1018,210,15373,16922,28003,38745,50455,46275,28549,12495,4803,1297,101,15069,22473,33466,38397,39194,34736,28691,17982,9719,3076,215,0,7380,90703,97507,38215,8020,1156,36,1,0,0,0,7483,70755,115178,38393,10272,897,38,2,0,0,17053,33225,40437,35871,34052,32985,23373,15123,8186,2187,526,10921,16274,34617,43731,41726,41693,26572,17858,8470,1000,156,10863,2740,4468,10120,20888,33978,43053,43778,41996,28362,2772,238,2745,10590,21920,29399,30275,29069,33405,37196,31742,16439,11818,19420,36034,41736,41663,36365,26932,14651,7006,5304,2089,352
25643,17968,11669,10011,8449,8349,8819,4737,2619,730,16,23514,19759,9181,8883,10662,9843,7924,5350,3043,842,9,20825,18554,11839,10156,9572,9744,7458,6203,3714,935,10,9206,11342,10875,11353,12149,12315,12255,10041,6100,2716,658,12061,16479,15089,15731,13262,10803,7834,5407,2123,218,3,135,21666,37793,26850,10349,1907,273,33,4,0,0,157,22404,32410,30804,10478,2488,233,31,5,0,0,12544,16629,13984,11414,11091,10847,9086,7066,4901,1414,34,18874,12264,11057,12474,11457,11019,9628,7210,4186,833,8,213,1791,2552,4054,6011,7935,10248,11582,15060,20158,19406,160,1559,4918,9755,12233,13056,13473,14609,13229,12762,3256,5552,22383,19766,16445,13659,10488,6521,3104,906,173,13,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,14,5,4,5,0,0,0,1,2,7,4,34,14,7,13,3,4,3,4,1,4,4,184,3,0,1,0,1,3,2,1,0,0,277,33,8,4,3,3,6,4,2,0,0,0,0,11,58,45,8,0,0,0,0,0,0,0,6,77,74,15,0,0,0,0,0,130,173,161,132,50,47,52,12,20,25,1,731,36,43,27,5,7,5,4,10,41,4,95,0,0,0,0,0,0,0,0,0,152,417,0,0,0,0,0,0,0,0,0,54,3,4,5,13,19,74,20,11,2,7,210,598
9702,15585,13667,13489,15613,14726,13473,10259,6259,3073,590,9699,18366,14346,13840,15277,14150,12575,9357,5575,3170,133,9068,21802,16557,15432,14379,13290,10769,8225,4941,2059,10,5899,8827,9933,11247,13757,17870,21181,17316,8021,2293,222,6406,13981,15202,17787,18803,16602,13830,9951,3822,285,9,279,24989,23507,20258,16132,13435,10180,4962,2315,603,34,380,24926,21456,22347,14783,15109,9811,4890,2343,591,58,5272,16086,18045,17573,15689,13883,11582,9703,7150,1616,37,9942,10280,10572,11333,11694,17152,20228,17129,6534,1629,9,758,2457,2740,4321,7013,10191,14244,18635,22780,22709,10674,79,1016,4535,10293,16208,18825,18720,18797,15000,10274,2707,2473,18927,21838,20622,17718,14334,10324,6585,2727,792,196,22
256392,188661,103554,59425,41781,27479,15439,7304,2490,717,182,141063,117319,97965,76306,68119,61894,53986,45371,30568,10648,185,107492,82658,74282,59831,57737,57661,64209,71179,77322,50466,587,20459,16671,23535,34011,47216,66211,102937,126884,141826,108549,15125,41659,68533,43005,35573,37627,40910,49495,64669,92131,116163,113659,0,57313,61381,62554,86697,116482,139008,102334,60674,16319,662,0,55875,61303,65930,76308,129481,135511,101108,60799,16194,915,63665,64827,50067,42462,43223,45168,53396,72924,100805,118039,48848,41299,59902,70410,71481,71069,68750,73751,87645,94020,63694,1403,7523,1988,17456,51007,71105,79136,80103,79776,81454,90562,143314,363863,86601,55336,42092,34898,29044,24488,22503,17708,13982,12909,77946,64247,45487,39103,38573,40550,43452,46479,47940,76828,182819,574
