band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
0,0,26,115,462,1400,4697,13960,39463,116132,188510,116605,1619,0,9,70,490,1117,4614,10852,30014,87665,112573,130670,104544,371,1,89,730,2123,7909,26936,57976,75965,90256,81064,77516,62090,334,804,1017,1319,2582,4560,8248,17022,31200,65502,117359,152768,78247,2361,724,2692,12052,19903,32858,54622,72923,74543,65372,56735,52210,35687,2668,0,0,9637,78227,73544,65837,54333,45919,39827,34152,28166,27623,25724,0,0,13536,73548,80686,59339,52713,43510,44254,31617,30580,30072,23134,332,1748,13189,25645,43448,55622,59094,54194,50996,52620,54668,57267,14166,309,395,519,1218,3089,9641,20021,33840,60298,108369,152156,91905,1229,279,10128,33267,38016,42602,52201,67099,80192,80066,55656,20704,2618,161,4,42,466,3695,22355,48289,57121,70118,90083,92222,59494,37830,1270,439,16171,47118,77797,86742,71180,53137,43378,38521,29620,15178,3565,143,80
0,0,0,28,229,918,4093,16475,46022,83841,81041,24972,1996,0,42,254,1341,4901,11151,24360,50565,71920,60165,29034,5218,664,0,308,4636,22407,37652,48671,49671,43073,33820,13834,3868,1639,36,3830,2497,3789,6312,10556,16986,26351,38136,51722,58412,36600,4395,29,3211,3115,10917,22576,34088,46077,50165,43590,28174,12394,4145,1093,70,0,3417,19925,45961,70626,79969,26635,8252,3073,1387,345,25,0,0,4008,21252,42911,81339,71104,25019,8887,3460,1245,367,23,0,2416,3030,13056,25853,35206,43096,43237,39160,29196,16858,6414,1703,390,1446,1513,2377,5495,10580,19048,27016,45525,66584,66001,12176,1829,25,4397,1987,1790,3169,6646,13042,23611,38137,54039,64141,42807,5840,9,24,178,712,2553,7223,14743,23810,33380,45384,54068,48077,25311,4152,1948,9000,35609,54532,53646,42251,27956,16788,8999,4428,2627,1589,242,178
1,2,0,2,1,0,1,0,0,0,1,0,6,3,4,5,3,0,2,5,4,0,1,6,8,8,0,5,3,5,3,11,8,3,1,9,10,14,5,57,3,2,1,3,4,4,5,1,0,2,0,2,12,32,11,9,4,4,7,9,5,2,2,1,0,0,0,0,5,16,15,0,0,0,0,0,0,0,0,0,2,7,20,11,2,0,0,0,0,0,0,0,0,0,7,22,38,9,10,18,13,18,23,3,43,31,6,3,4,5,6,10,6,3,5,39,7,84,11,2,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,1,0,1,25,35,0,0,0,0,0,4,63,19,7,5,3,0,20,339
1338,17725,27952,51488,101198,108241,131119,138550,121532,134430,199338,121048,20543,4072,17482,19550,31687,53277,91848,108759,115949,121531,136711,226827,229454,17355,7985,10317,18283,35489,53828,75193,90340,100098,122213,147021,230365,265631,17739,14306,6250,6190,6742,7866,10222,16331,21926,35427,66293,173805,553170,255974,10400,4584,5425,6649,9591,21046,48445,93143,144007,186641,245757,304579,94235,0,634,7334,4461,6574,22908,56082,134415,215325,254642,232224,175628,64275,0,1006,7217,4113,7785,21649,54690,119214,231548,236960,250732,184204,55384,9278,4214,6883,10541,19182,38059,62094,92354,119742,176947,252041,319194,63973,15357,6639,6844,7892,9291,14750,18143,33875,64164,155304,352936,463447,25860,14136,18417,44465,95046,127290,127942,115224,110224,118653,142015,155344,93004,12742,61754,179738,254013,280442,205408,98440,39075,17906,10545,7503,5779,4386,9513,7686,9120,51426,103137,125478,129831,133897,153259,165431,132887,87208,58546,16596,469
0,1491,24924,28006,19873,35461,25746,41715,26678,16811,14205,6622,1486,0,4030,34310,27089,23786,30225,34785,29906,27176,16951,11964,2394,402,27,12407,46381,31398,31797,33324,35304,25026,16274,7940,2284,752,104,13797,12405,20491,27273,37135,43083,37283,28191,13750,6294,2587,666,63,13133,15434,26570,29484,33715,33264,28682,25983,18257,10905,6217,1232,142,0,3044,27900,109722,58392,35638,7079,1156,81,6,0,0,0,0,3357,34036,106516,61192,29993,6641,1160,117,6,0,0,0,14671,25094,33104,30490,29903,28108,27987,22573,14830,9678,5121,1023,436,9747,9315,22297,32130,39861,34803,36934,23984,17290,11913,4060,608,76,10494,2180,2827,5622,10855,19106,28882,35885,37471,35953,33988,18422,1333,116,1501,5761,13352,21128,25474,25432,24765,26987,30253,31091,23651,13507,10799,12115,26491,33690,35716,34861,30933,24191,15381,8274,4855,4383,1329,352
19688,21101,8778,8980,8261,7964,7117,7307,4809,3100,1592,303,10,19610,19889,9471,7072,8755,7783,9157,5554,5868,3649,1829,367,6,16362,19029,11669,8703,7439,8237,8322,6903,5441,4315,2212,372,6,7430,10285,8256,8940,9227,10998,10944,10968,8935,6726,4004,1851,446,9037,15003,12997,12954,12919,11115,8929,6976,5171,2908,936,62,3,0,11667,27753,31207,16455,9831,1775,262,52,8,0,0,0,0,13381,29332,29063,17158,8135,1610,263,60,6,2,0,0,10216,12712,14244,10550,9462,9817,8941,7558,6650,5232,2923,691,14,16053,11233,10798,9892,9956,9946,8991,8878,5886,4859,2211,303,4,127,1231,1802,2791,3925,5315,6734,8315,9302,11326,14073,18123,15946,91,869,2851,6077,9139,10651,11057,11140,12207,12036,10616,10787,1489,3185,17890,18097,15294,13145,11133,8840,6052,3455,1428,390,93,8,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,2,5,0,0,0,1,0,4,5,4,32,11,9,10,6,3,4,1,4,2,2,5,2,183,3,1,1,0,0,1,1,3,2,0,0,0,259,44,14,3,4,2,2,4,4,4,0,0,0,0,0,0,39,34,43,6,0,0,0,0,0,0,0,0,0,46,62,53,11,0,0,0,0,0,0,114,137,150,100,108,41,40,49,12,12,21,18,1,718,41,34,29,18,5,4,5,3,5,8,42,1,95,0,0,0,0,0,0,0,0,0,0,0,152,417,0,0,0,0,0,0,0,0,0,0,0,54,3,4,2,7,14,18,67,22,7,7,4,5,208,598
7505,13196,11907,11136,13235,12645,12563,10610,10099,6930,4138,2142,330,7018,16019,13061,12001,10657,14268,12083,10949,8478,5909,3882,2154,9,5972,18701,15090,13317,13541,11717,10716,9841,7794,5596,3042,1202,3,4525,7518,7978,9186,8535,13103,15290,18099,16382,10450,4172,1219,109,4343,11798,12199,13865,15412,15755,14147,12193,9658,5794,1444,63,7,9,15526,21595,19904,13966,15361,11769,9047,5247,2747,1118,377,28,11,17008,21284,18819,15462,13800,11455,8565,5970,2667,1247,387,19,3610,12522,14850,15425,14280,12936,11758,10027,8792,7356,4342,719,19,8236,8974,8601,9567,9467,9480,15418,16180,16495,10186,3096,796,6,354,2227,1933,2830,4268,6308,8656,11446,14787,17802,19695,18550,7666,44,494,2354,5916,10373,14405,15787,16036,16082,14461,11023,8176,1303,995,13847,18323,18274,16796,14655,12108,9166,6602,3735,1411,466,158,22
221380,172087,114603,67843,45837,29215,25939,11921,8904,3909,1233,409,144,121288,105501,89746,72204,60941,53931,55578,46166,39782,32523,21234,4417,113,96512,68285,68229,55030,50387,46502,49766,53845,56554,64703,66183,27269,159,17835,14416,16869,23156,31134,43041,59217,78936,101557,115380,120746,72940,8197,29599,63821,40928,33126,30419,31515,34855,40282,48419,65710,88953,98100,97697,0,22196,70982,49883,48405,85615,101866,111836,102857,68548,31637,9094,505,0,25646,68105,49264,53890,80251,98897,107085,113291,62223,35593,8837,342,50724,58764,48137,37858,35980,34844,39645,45303,53910,73045,94601,97045,33568,34342,46162,59917,59123,57089,61364,61499,63768,65806,78237,79716,36023,378,7315,1374,6175,28424,49917,61834,67124,67797,67305,67799,71343,78613,128404,344927,83946,53486,40752,33537,28757,24665,20754,19888,16909,13457,11505,10841,62443,63299,42229,35396,32438,32576,34249,36445,38618,39574,44631,76185,165341,574
