band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
0,0,10,84,258,701,2290,6095,15881,63636,129788,176614,86777,855,0,4,54,384,726,2266,5945,14722,50074,92390,109299,121741,85234,150,0,47,559,1450,4933,17367,37634,64277,76228,82530,73963,73957,49917,127,747,901,1193,1942,3468,6530,11295,20124,38674,75039,122274,136587,62589,1626,656,1966,9474,17109,24654,42162,61302,70291,67608,57257,50598,49095,28880,1937,0,0,882,55405,74854,70800,44830,52669,42918,35372,31007,27307,25959,20986,0,0,4106,50795,81650,65867,46800,48745,41354,35264,34202,25647,27877,20682,297,1105,10059,21539,33387,49036,54770,52913,47677,48528,49061,51435,52047,11135,274,376,471,752,2329,6015,13161,24210,39196,68742,115935,135542,75389,597,214,6648,29270,34358,37667,44415,55576,68713,76752,69600,43419,14497,1723,137,3,35,270,2106,12342,37856,49720,57645,71395,89415,79806,49605,31922,869,300,12315,38231,66176,81179,73367,56368,43827,38435,34043,24269,11843,2528,108,80
0,0,0,14,120,408,1986,7610,24944,57335,75914,73183,16352,1749,0,26,192,828,2834,8441,15729,32562,52700,71191,50470,20130,3987,525,0,180,2754,15192,32091,43504,44203,45027,36439,26417,9679,2719,1400,10,3705,2189,3286,5391,8732,12600,19650,28740,41436,51153,53861,26319,2535,18,3089,2455,8593,17781,28232,39321,45634,44558,35945,21176,8806,3177,798,50,0,2838,11766,36950,53054,93599,34094,18655,5243,2261,938,207,10,0,0,2883,15907,30848,59794,88812,35561,16753,5446,2325,1079,191,16,0,2338,2290,10168,20821,30817,37419,40586,39650,32309,23827,13016,4585,1487,302,1329,1294,1928,4013,8607,13300,21964,33375,44161,70242,50287,7655,1446,14,4166,1999,1600,2404,4847,9432,16877,27718,41493,54133,58910,32467,3567,2,20,138,533,1774,4922,10712,18180,25967,34865,46033,50324,42232,20212,3703,1802,6343,28601,48025,51848,44244,31943,20603,12259,6677,3493,2228,1345,204,178
1,2,0,1,2,0,1,0,0,0,0,1,0,6,3,4,2,4,2,1,4,3,3,0,2,5,8,8,0,2,5,5,2,5,10,7,2,4,8,8,14,5,55,4,3,1,1,5,3,6,2,0,0,2,0,2,9,33,9,11,6,4,4,6,9,2,2,2,1,0,0,0,0,2,12,17,5,0,0,0,0,0,0,0,0,0,2,3,13,17,7,0,0,0,0,0,0,0,0,0,0,1,21,33,19,7,12,15,11,22,18,2,37,35,6,2,7,5,3,8,9,4,2,6,37,7,82,13,2,0,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,1,0,1,57,3,0,0,0,0,0,0,39,38,13,3,5,3,0,20,339
876,15065,23371,40963,64111,121484,113751,120860,107383,126994,130197,196896,93783,18768,2865,16215,18341,24569,38833,77568,96965,99338,106614,113356,145044,231973,187845,14976,7260,9285,15112,28328,43724,61940,72964,95883,94156,122019,150338,236594,222408,14491,13840,6150,5379,5760,6913,9103,11660,17416,24624,39588,72554,201957,553250,206308,10066,4144,5022,5798,7642,13097,31278,59805,107830,146629,183302,245860,272449,81580,0,423,5996,4400,4532,14812,26301,81666,161246,219161,248930,215178,144517,47340,0,407,7005,3300,5008,14232,28717,75782,150376,211079,266749,206282,158425,47140,9037,3768,5918,8313,14620,27429,46296,71369,93561,127827,173690,258146,282826,51702,14837,6250,6021,6706,9139,10388,14546,23513,40913,74058,182471,366416,399812,19432,13074,16044,34719,76163,112049,121837,112235,103898,103210,115758,138434,140591,76422,10068,52839,157550,225978,263519,221374,127112,55085,24816,12714,8750,6487,5109,4010,9159,7382,6686,38116,86285,112291,120559,120813,131234,149269,149820,111078,76358,50239,14372,469
0,1163,14297,27076,25659,23235,35495,30779,31508,17838,17317,12209,5103,1339,0,1103,28078,28831,20998,26174,30396,32683,25159,20893,18043,8508,1826,326,2,7347,42130,33888,26825,31143,30867,28898,21881,11724,6198,1354,689,72,13367,10325,18319,21858,31901,38884,40649,27976,21425,11265,4470,2025,508,46,12537,12954,22198,29032,29368,32145,29565,25465,20329,14606,8814,4966,920,119,0,2775,11498,87603,72577,52194,11907,3914,515,34,1,0,0,0,0,2823,20606,79044,77741,46839,12046,3357,522,35,5,0,0,0,13468,21998,29175,31609,25931,26244,29073,21894,18179,12221,7980,4128,705,413,8951,8923,14932,30110,33324,41047,31438,26413,22455,13240,9198,2388,556,43,10352,1951,2472,4342,8132,14572,22522,30380,34603,34463,33437,30065,14777,950,87,1160,4372,10350,17405,22799,24087,23327,22886,26381,28464,28760,20385,12555,10444,9677,22698,30334,32963,32883,30878,26196,19332,11768,6416,4325,4052,1052,352
17492,18881,12308,8141,7786,7683,6788,6619,5388,3881,2510,1333,192,8,18418,17871,9814,8515,6618,8836,7228,6230,6638,3800,3384,1368,285,5,14797,18009,12031,8428,7540,7380,7433,7147,6160,4568,3514,1741,258,4,6875,9324,7897,8624,9666,7559,11466,8590,10340,7459,5914,3279,1673,344,7944,14270,12008,11504,12424,11349,9348,7161,5942,4240,2196,595,27,2,0,11120,18590,31091,19344,14793,2958,935,147,25,7,0,0,0,0,11114,25548,24265,21142,12954,3021,785,145,31,5,0,0,0,8756,13117,12378,10654,9007,8908,8497,8296,6583,5608,4466,2279,449,12,15408,10321,10505,8649,9181,9072,9156,8954,6193,5765,3978,1634,191,3,105,1014,1642,2289,3233,4401,5599,7053,8197,9017,11040,13793,17101,14526,71,677,2215,4798,7719,9551,10152,10366,10634,11357,10907,9715,9881,967,2536,15637,17435,14661,12801,11209,9239,7087,4532,2516,993,286,73,5,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,2,5,0,0,0,0,1,0,4,5,4,30,10,11,5,11,4,1,4,2,3,1,3,5,1,183,3,1,0,1,0,0,2,2,2,1,0,0,0,241,58,17,2,4,3,3,1,6,2,3,0,0,0,0,0,0,18,47,46,11,0,0,0,0,0,0,0,0,0,0,12,49,76,32,3,0,0,0,0,0,0,113,116,135,109,120,38,35,43,36,11,8,27,11,1,714,44,17,37,25,4,7,3,5,2,7,11,36,1,95,0,0,0,0,0,0,0,0,0,0,0,0,152,417,0,0,0,0,0,0,0,0,0,0,0,15,39,3,1,4,5,10,12,50,43,11,9,3,5,4,208,598
6967,11767,11468,9628,11596,12201,11675,12687,8603,8496,5887,3406,1837,218,6066,14829,12909,9881,11827,11074,12000,11507,9129,7273,5068,3111,1812,2,5064,16583,15215,12311,12571,11314,10878,9971,7888,6719,4573,2511,932,2,3952,6985,7152,7694,9605,9470,13371,15123,16603,14100,8298,3103,1021,89,3489,10775,11342,12362,14127,14343,14308,12330,10233,8109,4298,916,40,6,0,14300,16534,20473,13755,15765,9788,11383,7320,4062,2166,876,259,13,0,14334,19749,16734,15173,14872,10475,10265,7246,4265,2457,816,294,14,3136,10763,13595,14831,13123,12900,11586,10025,8812,7658,6522,3157,512,16,7112,8636,8527,7551,9628,10238,10140,14616,16368,13352,7431,2340,560,3,249,2049,1768,2372,3457,5080,6986,9042,11876,14630,17382,18294,16810,6527,37,360,1751,4497,8346,12109,14316,15079,14532,14884,12777,9499,7443,824,641,11742,16748,17149,16165,14481,12271,10026,7664,5251,2796,1077,381,144,22
204007,176442,107072,70306,43333,38018,25131,16839,12275,6096,2473,965,346,121,115870,99687,79065,68636,63798,54541,50868,48911,38574,33424,28969,18066,2923,92,92199,61162,65121,54793,47703,45258,43070,47154,49663,56626,61898,59346,19321,110,17099,13136,15342,19725,27038,31744,49594,64365,79157,101088,110696,106952,60552,6936,25517,59769,41456,31772,28601,28680,30679,34063,39949,50656,64390,86463,89095,92334,0,14591,60706,54471,39014,69769,72567,111750,112442,83269,53944,25134,5529,238,0,15700,66422,45293,43592,68591,75799,103155,106112,87351,60721,24150,6321,217,45763,56876,45389,37154,32927,33147,34719,37998,44260,55508,73239,89095,89068,28281,32459,40143,53295,55113,60024,50187,57919,49139,65330,67717,72987,71756,27098,257,7229,1234,3598,20620,40422,54196,60847,63230,62704,62703,63188,67013,74083,122357,336364,83227,52646,40078,32966,28126,24376,21454,18878,17788,14931,11912,10584,10094,54794,63976,40937,33789,30551,30481,30743,32771,34644,36527,36627,44155,75773,157656,574
0,2051,9160,22252,39673,53813,83086,112322,161484,160243,123685,70898,31367,3233,430,4840,20759,36545,46962,70961,98253,117494,125579,120319,108183,90581,31510,851,1034,4501,11243,27831,50487,81172,96552,113076,120947,123933,115783,94908,30959,841,73242,98623,70656,56235,52114,49372,53531,58830,65205,77500,87907,84597,41100,4355,14766,14841,35786,50363,56817,66042,78880,96269,113732,117207,104251,78957,38394,6962,0,56,1640,4508,5471,16856,29913,71685,100662,125482,175841,186314,127653,27186,0,49,2181,3770,6169,16204,32636,66175,95704,124013,182812,181467,135802,26285,10894,6506,7990,22925,44310,66417,84448,98328,112813,134727,134578,103618,42008,3705,26016,45289,45051,53816,52189,59157,70574,75029,99746,108566,110967,89859,35551,1457,11354,78880,112482,117509,110405,93380,75730,64569,58510,54809,47703,33806,13328,802,3234,22805,65778,98622,108943,102092,84897,71122,64353,65273,67156,68245,37253,13494,7851,8285,16720,32117,50565,73191,92475,109381,116146,115799,101463,87134,52980,9160,474
151323,146679,23339,6641,2642,1500,559,245,55,26,15,5,2,2,152171,145424,28018,4717,1707,547,259,117,38,16,9,7,3,0,173715,129272,23078,4997,1256,410,162,77,36,15,6,5,4,0,27679,29625,21835,19434,18432,22224,19347,20024,24125,25262,27877,30720,30748,15701,48703,85510,69963,51992,37178,21987,11069,4443,1434,503,197,46,8,0,0,98376,129955,92646,9762,2040,169,66,18,1,0,0,0,0,0,99639,156737,64582,10166,1657,171,64,15,2,0,0,0,0,83843,139394,75320,21634,7353,2974,1301,655,331,154,54,12,6,2,73560,60800,43811,35333,31285,22289,18958,17945,12346,9711,5021,1802,172,0,1,6,13,15,39,76,151,269,695,1933,6098,21682,83246,218809,1779,8580,18135,26292,31018,32321,30397,28711,26828,28243,27432,27510,36897,8890,37124,146840,103364,29956,9729,3510,1428,629,242,93,62,27,19,10,281
194504,144412,30943,10536,3234,2046,788,498,350,323,305,364,375,495,194126,140515,34766,10520,3801,1258,737,486,331,284,304,407,567,285,218159,109421,37954,12112,4353,1800,981,629,387,367,361,382,511,114,10945,9364,9845,12668,16966,22169,34815,46272,53776,56333,57025,34998,16857,4609,37012,125830,70139,45121,32338,24443,17753,12473,8382,5448,3045,1449,457,283,0,1137,10350,31746,38941,118240,99144,67992,11923,2477,588,237,99,5,0,1171,14568,26458,44045,113042,109805,58111,11601,2716,690,226,122,4,116068,119353,68318,34501,17849,11265,7105,4353,2776,1741,921,484,251,70,42994,67866,93541,80748,51449,24351,15110,6896,3627,1899,918,621,521,298,3368,554,372,349,382,536,747,1197,1865,3665,7936,19704,61584,284200,15788,19830,24616,28391,30328,32273,32575,35717,34372,39329,36194,27650,19059,7086,86814,138759,60892,33244,20188,13258,9293,6405,4525,2909,1952,1555,1501,1857,569
0,1,143,576,932,1443,2821,7812,25409,76025,99466,41106,2921,377,0,44,508,1536,5231,11969,29859,44412,63171,53410,37106,9929,1744,113,1,215,2518,13951,35895,53096,54702,45923,30584,14576,4864,1553,1060,94,6220,20656,22055,24304,28806,32914,36390,34800,25983,16836,7590,1922,519,37,546,1504,10559,30046,43544,47828,43685,33565,22455,12745,7238,3466,1276,575,0,1844,24041,92709,58115,53742,17605,8122,1750,758,252,94,0,0,0,1856,39006,77404,63337,49260,18279,7002,1688,803,300,97,0,0,412,1029,6436,24645,42007,47619,44136,37077,25716,15838,8350,3661,1521,585,611,4995,11896,17428,28003,42657,48451,41972,32676,19869,7263,2030,1089,92,186,1407,4275,9423,18663,29812,39732,44650,43792,36337,22237,7704,812,2,50,495,1658,3500,6178,9834,14318,19958,27700,41136,53398,55332,24860,615,196,1101,8410,24878,41522,50172,47351,35733,22699,12556,6535,4072,2743,1064,229
2,1020,9837,14021,11220,8579,6860,10439,18275,43786,81459,62017,5972,1086,59,6838,24013,13171,7302,5620,12665,26204,53959,54930,48242,16869,4071,630,228,20881,24219,8138,9663,18795,33986,50416,48675,35663,15196,5381,2667,665,3455,7537,13925,17103,21144,29685,38332,46005,40901,31049,16921,6069,1897,550,3086,8503,12061,13454,17181,26211,36576,42597,40671,30206,21617,13115,5843,3452,0,12219,60456,94462,43691,37886,14550,7639,2527,864,233,42,4,0,0,12628,77805,75236,47783,35142,15323,6859,2527,938,294,34,4,0,2891,9654,17539,13776,15108,22955,33569,40703,39927,33708,23519,13155,5210,2859,5872,15222,11618,9547,11930,20763,38017,52236,51429,32796,14930,6534,2904,775,982,2509,3015,7849,19081,31589,39112,39974,35490,28777,22856,25107,17480,752,1028,4723,9713,15370,20933,26584,31229,34403,35110,36611,29406,18629,8802,2032,1171,4731,15183,22435,28690,34983,37063,35008,29616,21860,15205,11986,10432,6210,237
