band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
0,94,959,8385,79517,306402,87632,4,438,2992,20667,142464,231040,85384,47,2009,22300,101911,158758,147920,50044,1648,3135,9998,31419,113713,258861,64215,2622,26583,66816,131593,124865,99693,30817,0,56287,145654,97499,78290,58314,46945,0,54901,147517,95545,76618,59849,48559,1402,31598,82423,107683,96205,100496,63182,650,1223,8344,37371,107938,251477,75986,6862,63628,82082,124289,146352,57916,1860,38,2376,50198,107365,160810,129411,32791,12615,104407,154546,100195,72478,36112,2636,80
0,14,528,9596,82279,149097,18101,26,1020,11275,48291,123891,70600,4512,180,17946,75595,89230,62856,12398,1410,5894,8677,21332,48390,92589,80180,2553,5544,26374,67553,90192,57121,11983,848,2838,48716,146653,52749,7504,1145,10,2883,46755,148606,52314,7771,1270,16,4628,30989,68236,80236,56136,17601,1789,2623,5941,21907,55339,114403,57942,1460,6165,4004,14279,44595,95626,91377,3569,158,2307,15634,44147,80898,92556,23915,8145,76626,96092,52546,18936,5721,1549,178
3,1,2,1,0,1,6,7,6,3,7,3,7,16,2,10,7,17,6,16,19,59,4,6,9,2,2,2,42,20,10,10,11,4,1,0,2,29,5,0,0,0,0,5,30,7,0,0,0,0,1,54,26,27,33,20,72,8,12,11,13,8,44,95,2,0,0,0,0,10,70,0,0,0,1,1,60,0,0,0,77,16,8,20,339
15941,64334,185595,234611,234377,327093,112551,19080,42910,116401,196303,219970,377017,202821,16545,43440,105664,168847,216175,386932,236899,19990,11139,16016,29076,64212,274511,759558,14210,10820,20739,91083,254459,429162,354029,423,10396,19344,107967,380407,464108,191857,407,10305,19240,104499,361455,473031,205565,12805,14231,42049,117665,221388,431836,334528,21087,12727,19527,38059,114971,548887,419244,29118,110882,233886,216133,218968,279025,86490,210389,489497,348486,79901,21464,11596,13169,14068,124401,232850,252047,299089,187436,64611,469
1163,41373,48894,66274,49346,29526,6442,1103,56909,47172,63079,46052,26551,2152,7349,76018,57968,59765,33605,7552,761,23692,40177,70785,68625,32690,6495,554,25491,51230,61513,55030,34935,13780,1039,2775,99101,124771,15821,549,1,0,2823,99650,124580,15403,557,5,0,35466,60784,52175,50967,30400,12108,1118,17874,45042,74371,57851,35695,11586,599,12303,6814,22704,52902,69066,63502,15727,1247,14722,40204,47414,49267,57224,32940,20121,53032,65846,57074,31100,10741,5104,352
36373,20449,15469,13407,9269,3843,200,36289,18329,15454,13458,10438,4752,290,32806,20459,14920,14580,10728,5255,262,16199,16521,17225,20056,17799,9193,2017,22214,23512,23773,16509,10182,2791,29,11120,49681,34137,3893,172,7,0,11114,49813,34096,3806,176,5,0,21873,23032,17915,16793,12191,6745,461,25729,19154,18253,18110,11958,5612,194,1119,3931,7634,12652,17214,24833,31627,748,7013,17270,20518,21991,20622,10848,18173,32096,24010,16326,7048,1279,78,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,17,6,5,0,1,4,9,40,16,15,5,5,4,6,186,1,1,2,4,1,0,299,19,7,4,8,3,0,0,18,93,11,0,0,0,0,12,125,35,0,0,0,229,244,158,78,47,35,12,758,54,29,10,7,18,37,95,0,0,0,0,0,152,417,0,0,0,0,0,54,4,9,22,93,20,8,212,598
18734,21096,23797,24362,17099,9293,2055,20895,22790,22901,23507,16402,8179,1814,21647,27526,23885,20849,14607,7084,934,10937,14846,19075,28494,30703,11401,1110,14264,23704,28470,26638,18342,5214,46,14300,37007,29520,21171,11382,3042,272,14334,36483,30045,20740,11511,3273,308,13899,28426,26023,21611,16470,9679,528,15748,16078,19866,24756,29720,9771,563,2298,4140,8537,16028,26506,35676,23337,397,6248,20455,29395,29416,22276,8267,12383,33897,30646,22297,12915,3873,525,22
380449,177378,81351,41970,18371,3438,467,215557,147701,118339,99779,71998,47035,3015,153361,119914,92961,90224,106289,121244,19431,30235,35067,58782,113959,180245,217648,67488,85286,73228,57281,64742,90605,150853,181429,14591,115177,108783,184317,195711,79078,5767,15700,111715,112183,178954,193463,84871,6538,102639,82543,66074,72717,99768,162334,117349,72602,108408,110211,107058,133047,144743,27355,8463,24218,94618,124077,125407,130201,196440,419591,92724,61092,45830,36666,26843,20678,118770,74726,61032,63514,71171,80782,233429,574
