band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
135,13143,63024,89062,118498,98251,77112,23764,90,14639,71460,86558,101526,90166,86531,32019,3053,89548,77499,82305,80192,62735,65105,22552,2549,4885,9654,18719,47246,135269,217031,47636,24703,53941,60610,111191,100126,69329,45861,17228,168,26010,119712,146216,77883,62274,35173,15553,190,23426,136760,129402,84263,56859,36728,15361,31242,62615,72564,84026,74196,62974,59155,36217,1189,2865,10562,30468,77081,168042,162036,30746,6614,37822,35820,44225,66166,96626,113357,82359,243,5625,40570,82622,127128,115538,67726,43537,66503,86065,116141,92509,54541,37686,25932,3612,80
0,0,238,4763,29984,94715,116500,13415,0,131,3176,25897,96617,94606,34632,4556,5,3561,28817,78016,88562,47197,11476,1981,4450,4529,12241,31310,62052,85539,53404,6090,3455,12360,36696,68957,76982,46900,12521,1744,94,7045,36063,123316,56685,32151,3904,357,109,6216,43787,113569,61436,29800,4411,287,2530,12797,40795,65825,71733,47263,16096,2576,2067,2603,15029,38680,72201,100443,26657,1935,5709,3878,9196,33550,81972,98767,26160,383,393,4537,20767,46001,60466,66564,49212,11675,2759,30235,75926,82768,46801,15297,4387,1442,178
2,3,0,1,1,0,0,7,4,8,2,5,4,6,3,17,0,7,9,10,10,6,17,18,60,8,6,3,2,3,0,2,36,24,9,11,8,6,3,1,0,7,18,11,0,0,0,0,0,7,22,13,0,0,0,0,0,0,18,52,16,27,31,17,65,19,3,16,6,6,13,40,91,4,2,0,0,0,0,10,70,1,0,1,0,0,0,61,0,0,0,11,64,12,6,24,339
3818,47878,119978,201241,242765,203100,223929,131793,4128,23844,50414,144741,209073,242795,336703,162804,4639,25878,79306,140219,200879,261520,330890,131171,13998,12165,18418,32877,64707,142315,381412,508610,8333,9651,20505,77499,204771,313683,357458,182602,8,7740,46597,290301,357136,259768,138321,74631,11,7153,57951,268456,382238,239123,144213,75357,7135,13794,46990,106782,172395,254462,361002,211942,11019,11098,17907,32609,67698,208173,559644,266354,28474,81252,151014,214594,236053,234225,192545,36345,75039,218441,373987,299748,136428,47625,14409,8825,6709,73972,191026,258858,266059,210353,118030,49495,469
0,1210,11507,30560,35057,48908,95666,20110,108,18727,39716,29844,41345,65551,43424,4303,2474,44674,41573,46895,56126,37132,13119,1025,29403,68386,66770,42704,22653,9227,3381,494,26211,47928,54756,46750,34398,21089,10955,931,7509,134826,89316,10200,1102,65,0,0,8356,122228,102754,8400,1227,53,0,0,31111,56967,50969,43055,30975,19628,9084,1229,12882,36828,59978,57706,40631,24275,9771,947,12719,18552,45874,56212,44436,37167,24934,3124,46,1410,9828,22264,33001,52365,73147,50957,13048,33901,57734,54652,41580,25121,12202,4780,352
16134,28078,13760,11713,12959,9222,6362,782,20866,25288,13540,12114,13404,9492,3995,311,20974,26416,13821,15008,13642,7325,1759,65,11496,16022,14686,17951,18642,12891,5204,2118,12757,28375,26358,19092,9328,2726,357,17,325,16945,56808,22150,2634,142,6,0,344,16780,59265,19715,2780,122,4,0,20922,24519,17065,16893,12419,5718,1372,102,12726,19938,13372,15093,20913,13927,2935,106,517,2453,4355,8718,15533,20231,28169,19034,121,1618,6262,11192,17044,27420,28437,6916,5221,34436,32555,18406,7231,1094,58,9,69
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,3,1,3,9,2,0,8,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
20707,34212,22987,15423,11431,6581,3588,1951,17080,31705,24366,17214,12327,8277,4393,1518,24308,35123,20491,14786,10903,7188,3399,682,5266,9223,13001,19840,24877,25115,15273,4285,9861,24087,28735,23189,17170,10860,2935,43,38,11062,40812,40311,16616,6246,1580,215,61,9838,46024,35921,17692,5438,1713,193,15849,30104,22898,17853,14391,10208,5099,478,7626,15081,21004,25672,26496,16869,3619,513,1703,2883,4390,7299,11459,18241,33009,37896,467,5070,13122,20836,28167,29460,15311,4447,10761,38725,24173,18965,13849,7929,2227,251,22
295309,242001,80004,46007,24618,10656,4081,748,177550,186734,107117,86295,68835,47184,27348,2361,130448,106213,95328,91166,94960,97709,79327,8273,44655,80699,106392,123083,150946,120200,64684,12765,68856,59969,44892,50182,64718,95717,152077,167013,43,80124,67097,110845,152866,196659,82881,12909,83,71091,83964,101574,168804,178235,87628,12045,85986,55775,49501,55319,65745,97358,163175,130565,89939,136375,139826,104939,89046,76407,58569,8323,4238,49295,121748,115209,93683,84045,85413,149793,429887,87379,53872,40130,34557,27777,19204,10618,88051,51376,40381,42061,48197,57240,69544,306574,574
