band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
3574,85997,164654,157782,70982,3150,100991,151841,140625,86382,58290,127419,131840,103881,61559,5068,14804,49062,246613,167442,61087,97373,175675,105457,43397,5575,176625,171113,95197,34479,7751,184480,169481,87221,34056,70114,111953,129112,100946,70864,2352,16404,82150,267960,114123,29990,58003,87126,157238,150632,1868,58190,168449,169984,84498,112917,177784,116131,58682,17475,80
0,597,23345,161792,73881,25,5623,94197,141304,18466,761,43144,140128,69242,6340,6815,18880,73901,128911,31108,8642,55226,120299,68819,6629,1976,63590,145100,47214,1735,2630,69279,144240,41726,1740,7261,59562,113161,70831,8800,3052,21368,91770,133665,9760,7862,14744,91234,137920,7855,2142,30981,86415,102608,37469,15137,111962,105313,23609,3594,178
3,2,2,0,7,9,5,9,8,18,4,13,17,17,26,65,9,5,3,2,54,15,19,7,3,2,30,4,0,0,4,32,6,0,0,0,26,55,37,43,81,10,17,11,49,95,2,0,0,10,71,0,1,0,61,0,0,66,22,29,339
25562,191060,361984,325590,270306,16049,87926,285736,398892,385899,15605,119602,269514,433058,336723,21056,28667,77098,263760,783921,13368,33427,217755,509895,400057,3589,84499,532886,402136,151392,4106,94233,554415,370860,150888,13913,70052,223013,429671,437853,17235,28045,74928,395877,658417,70496,229580,363276,369534,141616,188609,553113,343993,73421,15366,34705,284906,425912,317190,111789,469
208,17383,52413,96654,76360,6499,57245,55136,99482,24656,28777,68471,84113,56683,4974,67724,107163,51673,14440,2018,53001,85828,65597,32612,5980,68947,167230,6698,143,0,74642,162448,5839,89,0,65998,82617,59234,30143,5026,30128,91570,79786,37309,4225,20658,68102,80760,57802,15696,478,14443,43953,86680,97464,28679,87702,77341,38021,11275,352
35865,24717,19463,15137,3828,39102,22606,21251,13915,2136,40476,23642,23295,10854,743,21798,23922,29540,19047,4703,29949,42240,22523,4187,111,5634,75779,17288,306,3,6662,74920,17197,228,3,37522,28422,24118,8357,591,25589,22758,29271,20368,1024,1871,6770,19364,34003,37002,716,9116,22365,43971,22842,23286,53549,20285,1865,25,69
0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,10,0,0,0,0,14,0,0,0,0,18,0,0,0,0,20,0,0,0,0,17,0,0,0,0,23,0,0,0,0,14,0,0,0,7,30,0,0,0,0,1,3,12,2,8,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
43623,37016,21600,10701,3940,38828,37808,24386,12088,3770,47641,35720,20440,10774,2305,10861,19892,35577,38281,12269,23245,44070,33058,15441,1066,3768,57474,44945,9749,944,4707,59688,43440,8105,940,34936,37925,25784,15513,2722,15905,31855,43169,23857,2094,3293,6838,14855,31600,60294,2651,19482,39478,43510,11759,36981,40787,26362,11774,976,22
480576,151525,52138,16654,2531,294439,195938,125420,71591,16036,198004,153677,148615,153386,49742,88898,172506,216372,182953,42695,108804,74218,91891,161876,266635,22476,141738,204092,284899,50219,37321,135741,223878,257230,49254,120359,80782,94986,167346,239951,175903,209444,153680,123087,41310,21676,178640,166077,135034,201997,488832,91368,58921,43278,21025,121709,66125,72015,92140,351435,574
