band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
118,8203,62449,212474,199745,579,11396,95547,207576,167891,4449,57633,130006,178748,112153,1732,4522,19656,167826,289253,6534,67304,184753,153566,70832,7092,177160,217920,74636,6181,7482,189954,205306,73531,6716,12886,97509,128274,138945,105375,691,1452,12176,225121,243549,60711,55704,112449,188837,65288,591,26125,202157,192733,61383,83092,218003,95266,58633,27992,80
1,456,28204,120325,110629,201,24445,88719,127662,18588,11209,105352,110150,29442,3462,9147,15754,37009,113512,84193,36778,96455,93529,30117,2736,8214,144154,102543,4336,368,8266,152877,93842,4270,360,41739,99025,80859,33465,4527,5181,26674,73346,147998,6416,7152,6292,28236,143912,74023,750,8343,38416,91321,120785,105069,112785,30748,8758,2255,178
2,3,2,1,6,6,5,10,7,21,4,10,21,12,30,61,9,6,6,2,50,17,19,9,3,8,28,0,0,0,13,29,0,0,0,0,28,52,44,37,74,10,14,20,50,93,4,0,0,10,70,1,1,2,56,0,2,79,10,23,339
22571,237066,283026,261483,370356,15898,114457,251051,307580,485516,14809,126777,204126,321476,507314,21723,27314,60190,171982,893293,10112,27849,162699,379794,594048,4003,51905,404408,512322,201864,4178,56745,403253,501820,208506,8142,56693,154204,313104,642359,21481,21514,51348,317052,763107,103446,355669,281545,251997,181845,328536,560502,233732,38165,13567,87242,240114,274473,386990,185683,469
571,79768,111800,38355,12524,18937,104512,70003,40017,9549,45278,114183,61340,18483,3734,75333,105183,47717,13651,1134,23421,59483,111519,44491,4104,38498,119631,83870,1019,0,40888,125900,75256,974,0,22108,87330,92667,35562,5351,72676,77596,65383,24194,3169,15634,13590,84427,121585,7782,5206,75109,88760,44695,29248,14411,37036,104247,76175,11149,352
20694,22844,23336,27114,5022,34660,18789,21056,21629,2876,38855,18344,21087,18356,2368,18462,25234,29465,18405,7444,31624,28046,25024,13813,503,41442,38699,17216,1653,0,43556,38188,15655,1611,0,35701,20317,20551,19378,3063,24020,22573,31072,19699,1646,3282,12834,22083,24219,36592,1443,13658,25055,27645,31209,36652,28619,23817,9588,334,69
0,60,1043,13498,1570195,0,33,312,5956,1578495,0,93,595,8079,1576029,55,132,537,7167,1576905,74,153,1264,22946,1560359,50,450,26166,221174,1336956,51,478,25953,215419,1342895,30,127,867,9423,1574349,8,5,33,768,1583982,1529620,34617,16857,3459,243,1116,671490,892194,19371,625,450,7387,28455,309294,1239207,102
25082,49592,27779,10900,3527,23402,44186,27040,17093,5159,27134,46221,25978,14479,3068,19191,22912,31163,30956,12658,16628,40305,37297,22114,536,3147,33531,60439,18532,1231,3301,36081,58161,17980,1357,14760,38873,35701,24396,3150,26225,23118,28200,34921,4416,3954,6815,24424,49160,32527,644,23116,46657,34700,11763,23159,43390,34673,14145,1513,22
426272,180219,68032,26207,2694,262577,149902,125494,124364,41087,188254,117025,111984,170620,115541,31242,55373,134397,277676,204736,120786,68167,78474,155267,280730,66264,162179,344906,102900,27175,72219,167492,333381,101545,28787,135275,87255,92845,176380,211669,112819,117633,144885,185447,142640,10262,102420,187502,180427,222813,485086,98273,60812,33790,25463,147107,88371,97267,123100,247579,574
979,82953,242043,363167,184125,5652,115019,265415,311205,175976,4098,105281,289606,328184,146098,257008,143454,155276,220216,97313,73463,144759,230615,314486,109944,2650,11138,124803,304298,430378,2786,13026,124540,289407,443508,21696,104285,239178,353358,154750,131595,131769,192912,286861,130130,250073,291023,188381,119460,24330,54665,253137,214727,186439,164299,28847,128343,254911,313357,147807,474
327320,4220,1374,108,11,329316,3233,352,98,34,331058,1495,331,115,34,43743,28036,33508,54128,173618,205613,91392,32828,2983,217,328551,4262,217,3,0,329044,3792,194,3,0,321653,9403,1513,437,27,131112,72297,58027,55710,15887,15,48,316,1849,330805,116152,76532,49966,36483,53900,326221,5927,695,148,42,281
72,3078,31368,104114,31398,289,2512,14073,91002,62154,746,4013,20679,100164,44428,1742,3266,14725,102764,47533,1810,6279,28663,112538,20740,2210,13944,62634,77123,14119,2339,14584,61963,75472,15672,1597,5880,19012,79277,64264,708,1612,6219,98930,62561,7101,53254,77426,28913,3336,768,59566,78673,22742,8281,4536,33962,82721,44453,4358,85
370275,23551,3251,1669,1215,360366,29790,5871,2481,1453,338096,45588,10883,4146,1248,32644,90733,172339,88588,15657,202231,89048,59813,39694,9175,6626,73449,216619,93686,9581,7482,78059,212445,91482,10493,255005,84676,38446,17944,3890,213905,151837,27770,5369,1080,5357,3805,10980,46120,333699,108140,78037,71518,78890,63376,222370,85307,45010,24994,22280,569
