band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
0,24,601,2410,7573,19878,31538,51858,93272,130361,120587,24887,0,180,1236,2603,11112,28550,42635,73251,94135,103441,89572,36274,16,1897,9272,22785,37881,45726,64049,77585,72037,63546,58747,29448,686,740,924,1624,2883,5406,11600,24532,62390,165035,189507,17662,786,2978,9907,24730,45468,74347,83793,79166,62699,42828,37101,19186,18,2917,30341,63303,132757,97660,56744,54554,30147,10997,3033,518,22,2719,26443,88703,104527,100676,68648,48477,28346,11110,2758,560,448,5271,25546,39429,48189,54341,54488,55321,59366,56226,44850,39514,250,300,369,636,1133,2322,6489,22282,87715,219146,116718,25629,13339,37958,22341,21974,26739,37089,55583,76000,82530,68826,35781,4829,41,236,1145,5877,28170,71930,100767,97779,78387,56683,34806,7168,5079,44586,92509,98070,73362,46641,30974,24034,23733,26798,16520,680,80
0,0,1,16,906,5310,18059,30274,50915,82560,68229,3345,0,56,757,7942,21697,31110,42360,54557,55262,36754,7917,1203,0,3086,28022,41321,54713,53377,40522,22144,9740,4336,2032,322,4884,2977,3731,5981,9355,12367,18240,27446,48982,71355,52010,2287,4550,19268,34197,39324,45711,43172,35325,21629,10721,4272,1404,42,243,3260,33080,50531,96416,53474,15822,4116,1568,977,121,7,216,3073,26975,70815,77398,57796,17638,3108,1455,1028,106,7,3443,22822,39288,41434,41213,38648,29896,21050,12926,6143,2187,565,1937,1993,4378,10067,17029,25843,33091,60169,80014,22203,2628,263,5216,1377,1546,2279,4085,7830,14929,30987,66619,78273,41653,4821,129,339,992,2894,6507,12351,19498,27656,37482,55058,68879,27830,18898,57848,67795,49026,28775,15851,9090,5501,3257,2076,1346,152,178
0,2,0,3,0,2,0,0,0,1,1,5,2,4,4,1,1,5,3,4,3,2,9,11,0,2,5,4,4,10,9,3,8,6,19,7,57,1,4,7,1,2,3,6,1,0,0,2,21,26,11,3,9,10,4,5,6,1,2,0,0,4,18,9,5,0,0,0,0,0,0,0,0,6,12,22,2,0,0,0,0,0,0,0,0,0,1,13,26,30,8,19,11,29,17,7,48,23,4,4,5,7,6,9,6,12,26,18,82,9,4,1,1,0,0,0,0,0,0,10,70,0,0,1,0,0,1,1,0,1,3,53,0,0,0,0,4,23,47,13,3,2,2,20,339
555,9359,52487,101680,119743,122715,117179,102821,111492,108593,246725,81153,2243,8635,15494,38993,83350,105907,113543,99646,132987,157338,342548,73818,1797,6731,25899,52820,70803,77951,90387,105643,133407,183000,345036,81028,10642,7802,8393,11409,15026,20398,29153,40725,65845,155802,443613,365694,4702,3893,4256,8569,23019,50620,84652,120271,157068,223073,350911,143468,157,2694,5038,12213,69253,134601,174461,226327,208215,226529,108336,6678,187,2712,4321,16646,55455,143202,199407,206365,207003,238075,93855,7274,2866,3241,7664,21820,38496,55958,72327,92175,130557,194728,345034,209636,11259,7255,7089,8872,10915,16861,28081,49854,124152,281685,499650,128829,15217,50378,113495,156375,151568,127009,106696,97374,103226,123238,111121,18805,108937,151966,186504,248217,233624,131063,55853,25653,13493,8875,5877,4440,5501,48204,90532,102172,101284,102456,121958,168288,174025,113440,86672,59970,469
0,23,16669,37727,27456,65517,43778,21490,11315,10112,6112,2819,1,6912,39397,33453,44574,41782,25700,18010,17233,9391,4948,1617,69,18772,58374,47799,45240,27925,18989,13205,6697,3310,1769,869,21877,37200,46169,41344,37486,26721,14285,9613,5102,2810,398,13,11839,7629,13245,23998,36057,45222,45627,30751,18449,8321,1637,243,4233,24516,37126,41128,76144,48341,9159,2225,141,5,0,0,4403,25247,34317,59447,56985,48935,12099,1479,101,5,0,0,9760,6768,18618,31969,46521,51979,30942,21404,14010,7832,2004,1211,23166,37770,25154,36513,31908,36129,22978,15270,8133,3760,1593,644,10778,3453,3670,4649,9235,22183,47873,64455,52231,21861,2605,25,28,1882,13268,30887,43067,42459,31858,23843,17300,13937,8946,15543,6744,5757,6166,13690,24679,39733,48859,46070,30096,14146,5831,1247,352
3363,11854,11699,10939,6038,10270,7901,12006,12379,10087,2442,32,6462,20111,13254,8215,6071,8268,11371,9464,9034,5366,1389,5,9502,23897,11172,6707,7619,7965,10262,9329,7371,4135,1048,3,6360,8280,8379,10697,10869,12557,12442,10973,7625,5168,3920,1740,11618,14726,12502,11321,11419,10953,10548,8454,5329,2028,112,0,7541,25849,23110,12878,14925,8628,3405,2147,517,10,0,0,7804,26838,21339,17553,10491,8325,4505,1708,435,12,0,0,11182,18804,11682,8165,7736,7584,9457,9568,8373,4938,1499,22,10643,9721,8510,11002,9728,11683,12507,11403,9376,3629,805,3,350,1876,3163,5199,7086,8873,9674,9656,9685,12313,18633,12502,91,686,2358,5273,8505,10436,10623,10940,11147,13287,15925,9739,7809,21984,15076,11502,10973,10702,9377,6961,3560,940,113,13,69
0,0,1,25,84,224,499,1436,4536,17916,678592,881483,0,0,2,10,23,62,174,424,2076,9313,102982,1469730,0,0,5,24,79,136,358,807,2636,10868,81519,1488364,15,23,33,47,100,155,301,744,2274,13033,211768,1356303,38,23,30,52,116,244,694,2278,8083,24773,92925,1455540,1,31,83,148,441,2822,12068,56953,99797,122731,192969,1096752,1,34,72,200,320,2582,16116,56294,95710,129526,184073,1099868,1,21,15,45,97,222,471,1137,2984,13219,49741,1516843,5,3,1,1,4,14,11,28,106,3820,104509,1476294,1173570,338427,30409,13060,10796,8606,5508,2685,1169,457,109,0,9,443,3687,110316,717020,551435,172507,24518,3558,900,257,146,48,202,836,2551,5731,10277,13643,17802,72000,559248,894299,8156,102
1580,14502,20976,24854,16942,11621,10650,6602,4369,2167,2068,549,3028,13727,15986,20067,16286,13351,10418,7872,7400,5205,3250,290,1850,14896,25814,18884,14927,11340,10061,7841,5981,3206,2047,33,6938,9123,8295,9395,10867,12238,14215,13632,12067,11791,7457,862,3410,8380,14385,17869,16776,16272,14477,12490,9787,2922,112,0,494,1745,5963,12427,25189,26840,18199,16028,6986,2313,660,36,494,1745,5287,17537,19464,26757,22797,13648,6208,2387,518,38,955,7512,16082,16302,16454,15847,13507,12007,10755,6274,1179,6,11299,10477,10695,10019,9285,10349,11764,16462,15362,9135,2019,14,1502,1858,1656,2490,4384,7609,12544,17475,20953,23382,20155,2872,4,216,2324,8672,16136,19789,19593,16772,14037,11799,5620,1918,1784,14558,17207,18321,18217,16187,12772,9305,5575,1922,697,335,22
191568,178670,117607,77152,44996,33521,29364,14204,10866,4122,1158,196,124449,100094,80319,63729,52032,54093,56016,49762,52102,49707,20863,258,100447,60366,59329,46902,44381,45006,50700,59271,73008,85984,76783,1247,15097,10156,14717,20457,35383,41306,70187,88416,112923,142031,132310,20441,52032,54669,32189,27200,27698,30277,36800,45735,63285,93843,129018,110678,24,39927,74845,49462,103357,144274,116293,102473,31766,20734,19342,927,21,43390,68779,70167,79380,135855,151242,85197,28798,23333,16291,971,73742,46354,40416,34985,33362,37869,41278,50655,74939,108641,132475,28708,44573,48545,50850,56544,48089,58386,58972,64203,77742,92228,99646,3646,5284,1852,13698,40359,65852,78554,78609,76633,73936,76826,77656,114165,379826,82418,52691,41085,33611,28107,22662,16789,13479,11519,9819,11418,81405,49515,38912,36156,36850,39009,42211,46754,52524,55862,84042,140184,574
0,152,6522,31043,56066,97403,103875,148180,144154,161281,107560,17031,5,1330,18380,46380,71305,102879,109121,129158,138061,140643,108458,7547,0,1202,12846,38152,77605,109054,132957,133821,138209,135326,89316,4779,126021,101035,66887,59088,55752,64148,69237,81833,93320,98685,53475,3786,20552,35736,49007,57456,70653,86954,105554,127886,134587,118550,59098,7234,8,1649,2560,2261,15560,39369,52831,94362,122480,190900,234776,116511,7,1755,2294,3404,13206,39134,64676,88300,118922,208145,212093,121331,9708,7507,18313,39269,65960,90730,109818,124718,155166,154426,89453,8199,47367,60339,58029,53574,52082,72831,93949,109408,117723,125023,78683,4259,67392,129134,133413,123825,106812,86201,70065,58680,49849,35026,12338,532,2346,27572,76143,110718,112407,95338,82599,76469,75772,83112,85544,45247,7533,11304,31214,50192,73310,95307,117727,131854,135140,113841,82786,23057,474
