band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
0,1328,12119,45511,98090,214710,111231,29,2069,17267,63113,131456,170638,98417,934,19339,55481,94881,129707,109931,72716,1170,1856,4548,13343,57480,268460,136132,2552,17844,73726,135090,129825,77287,46665,1175,59526,168635,154404,75053,21876,2320,1009,57639,186624,134630,79182,21837,2068,2684,44695,79523,91639,98970,94496,70982,474,665,1703,7364,57817,320657,94309,43503,39284,44071,78753,132964,118175,26239,164,2667,40088,150620,159166,100132,30152,30867,155144,135640,65745,40928,44800,9862,80
0,4,1087,18048,60041,138808,41627,5,2641,32349,63755,90664,64444,5757,636,45746,88086,82099,32974,8324,1750,6927,7087,14354,26154,55170,115937,33986,15501,58876,74308,68378,33368,8350,834,1897,57493,124140,69296,4943,1770,76,1692,53632,138679,58315,5448,1787,62,16779,67057,70512,58834,32698,11916,1819,3221,8598,25528,49840,120444,50271,1713,6237,2757,6324,19127,66876,127160,31134,317,2039,9844,27271,50442,91526,78176,57699,110729,56829,20975,8557,3784,1042,178
2,1,2,2,0,1,6,6,5,1,8,6,4,19,0,9,6,18,8,15,21,58,9,3,5,7,0,2,43,17,11,13,10,3,1,1,26,9,0,0,0,0,2,30,10,0,0,0,0,0,3,39,36,23,46,14,68,9,12,7,13,25,34,90,5,2,0,0,0,10,70,1,0,1,1,2,55,0,0,5,63,21,4,21,339
4895,97280,202101,201887,187465,195069,285805,8752,28105,129720,172116,203193,275938,356678,5885,48887,113735,146152,188175,311094,360574,16244,15319,23765,41924,77090,282161,717999,7562,7827,33788,115857,218854,382030,408584,1826,10314,77215,309062,338180,368087,69818,1788,9425,90221,278748,366614,371612,56094,5023,16117,60556,108903,172457,334033,477413,16704,12180,19364,33701,114174,464242,514137,45134,198731,262898,199699,168965,206061,93014,215607,331736,407068,156152,39845,15810,8284,33462,154044,174416,190427,292928,209161,120064,469
0,33244,72142,85352,28448,16823,7009,1439,60727,62588,66942,27670,18818,4834,4746,91734,75922,43175,19056,6287,2098,48283,73861,62664,39156,14360,4530,164,16598,25037,61147,78752,45669,14513,1302,21077,63590,98480,57500,2353,18,0,20913,63642,108763,47198,2485,17,0,13987,34282,76981,65656,36041,13718,2353,50121,50768,62293,49886,20049,8146,1755,13264,6232,14453,59132,106566,42382,989,798,25671,69132,63913,37721,24197,21586,11214,11927,39818,75190,72972,26919,4978,352
11380,21145,15813,12763,19119,17524,1266,20723,22440,13375,14408,17848,9594,622,28824,18828,12131,14938,16448,7402,439,12602,14713,19650,22177,15595,9731,4542,22966,21230,19188,18508,13135,3958,25,25951,37320,21032,12033,2592,82,0,26251,37226,22607,10143,2693,90,0,25432,19792,13155,14947,15700,9260,724,18907,14681,18341,21578,17142,8035,326,1588,5715,11561,15924,16561,21218,26443,462,4480,13560,17838,18849,22361,21460,23937,26026,19052,17269,10584,2078,64,69
0,6,113,665,3071,33101,1547840,0,6,45,194,1299,17556,1565696,0,12,125,384,1949,19793,1562533,27,68,147,355,1585,30967,1551647,54,48,174,748,5747,41318,1536707,18,158,528,14890,106674,213049,1249479,14,165,614,13120,110928,219852,1240103,16,39,142,569,2562,23506,1557962,8,1,8,21,70,11316,1573372,1487734,60813,19114,12125,4062,910,38,217,14344,917839,612903,37294,1895,304,166,1700,8687,20655,42893,965405,545287,102
10507,38100,31350,20169,10309,4417,2028,12236,29638,29777,19858,13968,8788,2615,10492,40808,26547,18369,13147,6143,1374,13478,14956,17916,21923,23508,19826,5273,9158,24262,29982,25959,20727,6762,30,1633,12099,32086,45039,21154,4507,362,1553,12053,36246,40360,21864,4543,261,5094,26081,28724,24628,20494,11336,523,19571,17060,16472,19091,28048,15489,1149,2885,3018,6832,17279,31063,39253,16550,87,5233,24849,33925,27692,19772,5322,11472,29760,31552,24732,14458,4100,806,22
327505,190713,93204,55024,27681,8419,878,194952,139043,98941,87007,89441,83095,10945,142438,100111,74062,80894,107087,148412,50420,22291,28088,45927,94375,176753,227383,108607,94811,55745,47798,57074,83746,158535,205715,16635,121957,129023,260567,125715,35958,13569,16661,121710,146812,236667,131499,39488,10587,108637,66036,60178,66522,94462,183247,124342,82962,85092,88732,91311,124738,161187,69402,6307,28147,104020,134705,130396,130619,169230,443505,90039,60720,43129,27758,19950,18323,118484,67030,62624,69599,82363,96867,206457,574
18,19349,84891,179255,243478,259322,86954,363,37445,113747,183184,222560,241935,74033,528,27439,116409,212459,227568,231616,57248,202819,117488,99834,110766,142902,165844,33614,43978,83719,118147,161927,223839,199050,42607,716,4504,16818,92200,161148,307879,290002,694,4404,21176,83457,167859,328753,266924,15355,34560,103340,169092,228195,260279,62446,92242,96248,92581,139152,192866,208624,51554,158626,226348,189352,133305,97577,60986,7073,17317,134255,192083,151861,130668,140888,106195,13733,55452,116616,182907,227949,198037,78571,474
